"geo_entity2","r_PET","m_PlotArea"
"Hawai'i Island",165.534299624023,5068.14904029847
"Kaua'i Island",189.76497,5260.384622
"Maui Nui",122.103950302734,6607.702468
"O'ahu Island",74.4863437792962,5881.458128
