"geo_entity2","m","method","order","SC","qD","qD.LCL","qD.UCL","iteration"
"Hawai'i Island",1000,"interpolated",0,0.998,13.374,12.972,13.776,7
"Hawai'i Island",1000,"interpolated",1,0.998,3.581,3.523,3.64,7
"Hawai'i Island",1000,"interpolated",2,0.998,2.701,2.67,2.733,7
"Kaua'i Island",1000,"interpolated",0,0.992,34.538,33.688,35.387,7
"Kaua'i Island",1000,"interpolated",1,0.992,8.027,7.868,8.186,7
"Kaua'i Island",1000,"interpolated",2,0.992,5.213,5.129,5.296,7
"Maui Nui",1000,"interpolated",0,0.998,15.888,15.562,16.214,7
"Maui Nui",1000,"interpolated",1,0.998,4.708,4.647,4.77,7
"Maui Nui",1000,"interpolated",2,0.998,3.39,3.346,3.433,7
"O'ahu Island",1000,"interpolated",0,0.996,14.055,13.458,14.651,7
"O'ahu Island",1000,"interpolated",1,0.996,3.906,3.851,3.961,7
"O'ahu Island",1000,"interpolated",2,0.996,2.755,2.712,2.798,7
"Hawai'i Island",1000,"interpolated",0,1,10.677,10.559,10.794,8
"Hawai'i Island",1000,"interpolated",1,1,3.854,3.808,3.899,8
"Hawai'i Island",1000,"interpolated",2,1,2.492,2.458,2.526,8
"Kaua'i Island",1000,"interpolated",0,0.994,30.347,29.713,30.98,8
"Kaua'i Island",1000,"interpolated",1,0.994,7.62,7.475,7.764,8
"Kaua'i Island",1000,"interpolated",2,0.994,5.032,4.95,5.115,8
"Maui Nui",1000,"interpolated",0,0.998,15.106,14.867,15.344,8
"Maui Nui",1000,"interpolated",1,0.998,6.265,6.187,6.344,8
"Maui Nui",1000,"interpolated",2,0.998,5.024,4.961,5.088,8
"O'ahu Island",1000,"interpolated",0,0.995,21.035,20.48,21.591,8
"O'ahu Island",1000,"interpolated",1,0.995,7.442,7.331,7.554,8
"O'ahu Island",1000,"interpolated",2,0.995,5.781,5.689,5.874,8
"Hawai'i Island",1000,"interpolated",0,0.999,12.618,12.501,12.735,9
"Hawai'i Island",1000,"interpolated",1,0.999,4.283,4.217,4.348,9
"Hawai'i Island",1000,"interpolated",2,0.999,2.601,2.559,2.644,9
"Kaua'i Island",1000,"interpolated",0,0.996,25.465,24.939,25.992,9
"Kaua'i Island",1000,"interpolated",1,0.996,7.203,7.058,7.347,9
"Kaua'i Island",1000,"interpolated",2,0.996,4.988,4.9,5.075,9
"Maui Nui",1000,"interpolated",0,0.997,19.066,18.556,19.575,9
"Maui Nui",1000,"interpolated",1,0.997,6,5.909,6.092,9
"Maui Nui",1000,"interpolated",2,0.997,3.896,3.827,3.964,9
"O'ahu Island",1000,"interpolated",0,0.997,19.368,18.959,19.777,9
"O'ahu Island",1000,"interpolated",1,0.997,3.229,3.16,3.298,9
"O'ahu Island",1000,"interpolated",2,0.997,2.146,2.113,2.178,9
"Hawai'i Island",1000,"interpolated",0,0.998,10.42,9.933,10.908,10
"Hawai'i Island",1000,"interpolated",1,0.998,2.233,2.191,2.275,10
"Hawai'i Island",1000,"interpolated",2,0.998,1.544,1.522,1.565,10
"Kaua'i Island",1000,"interpolated",0,0.994,35.993,35.2,36.786,10
