"Iteration","geo_entity2","PlotID","Plot_Area"
18,"Maui Nui",343,504.34
18,"Maui Nui",439,336.23
19,"Maui Nui",356,504.34
19,"Maui Nui",177,1000
19,"Maui Nui",142,1000
19,"Maui Nui",219,1000
19,"Maui Nui",348,672.45
19,"Maui Nui",176,1000
19,"Maui Nui",37,1000
19,"Maui Nui",459,168.11
19,"Maui Nui",525,504.34
19,"Maui Nui",299,672.45
20,"Maui Nui",44,1000
20,"Maui Nui",176,1000
20,"Maui Nui",356,504.34
20,"Maui Nui",35,1000
20,"Maui Nui",515,168.11
20,"Maui Nui",459,168.11
20,"Maui Nui",357,504.34
20,"Maui Nui",345,672.45
20,"Maui Nui",294,1000
20,"Maui Nui",34,1000
21,"Maui Nui",348,672.45
21,"Maui Nui",44,1000
21,"Maui Nui",515,168.11
21,"Maui Nui",442,336.23
21,"Maui Nui",29,1000
21,"Maui Nui",25,1000
21,"Maui Nui",357,504.34
21,"Maui Nui",343,504.34
21,"Maui Nui",356,504.34
21,"Maui Nui",180,1000
22,"Maui Nui",377,168.11
22,"Maui Nui",378,672.45
22,"Maui Nui",180,1000
22,"Maui Nui",20,1000
22,"Maui Nui",525,504.34
22,"Maui Nui",356,504.34
22,"Maui Nui",345,672.45
22,"Maui Nui",348,672.45
22,"Maui Nui",294,1000
22,"Maui Nui",175,1000
23,"Maui Nui",525,504.34
23,"Maui Nui",377,168.11
23,"Maui Nui",442,336.23
23,"Maui Nui",175,1000
23,"Maui Nui",180,1000
23,"Maui Nui",348,672.45
23,"Maui Nui",357,504.34
23,"Maui Nui",343,504.34
23,"Maui Nui",177,1000
23,"Maui Nui",44,1000
24,"Maui Nui",356,504.34
24,"Maui Nui",179,1000
24,"Maui Nui",358,504.34
24,"Maui Nui",349,504.34
24,"Maui Nui",357,504.34
24,"Maui Nui",37,1000
24,"Maui Nui",459,168.11
24,"Maui Nui",180,1000
24,"Maui Nui",294,1000
24,"Maui Nui",442,336.23
25,"Maui Nui",349,504.34
25,"Maui Nui",294,1000
25,"Maui Nui",515,168.11
25,"Maui Nui",345,672.45
25,"Maui Nui",222,1000
25,"Maui Nui",525,504.34
25,"Maui Nui",44,1000
25,"Maui Nui",378,672.45
25,"Maui Nui",350,672.45
25,"Maui Nui",219,1000
26,"Maui Nui",299,672.45
26,"Maui Nui",343,504.34
26,"Maui Nui",34,1000
26,"Maui Nui",44,1000
26,"Maui Nui",357,504.34
26,"Maui Nui",349,504.34
26,"Maui Nui",177,1000
26,"Maui Nui",350,672.45
26,"Maui Nui",30,1000
26,"Maui Nui",452,672.45
27,"Maui Nui",30,1000
27,"Maui Nui",343,504.34
27,"Maui Nui",177,1000
27,"Maui Nui",378,672.45
27,"Maui Nui",356,504.34
27,"Maui Nui",25,1000
27,"Maui Nui",44,1000
27,"Maui Nui",349,504.34
27,"Maui Nui",439,336.23
27,"Maui Nui",345,672.45
28,"Maui Nui",439,336.23
28,"Maui Nui",44,1000
28,"Maui Nui",25,1000
28,"Maui Nui",30,1000
28,"Maui Nui",20,1000
28,"Maui Nui",357,504.34
28,"Maui Nui",177,1000
28,"Maui Nui",356,504.34
28,"Maui Nui",350,672.45
28,"Maui Nui",442,336.23
29,"Maui Nui",294,1000
29,"Maui Nui",219,1000
29,"Maui Nui",515,168.11
29,"Maui Nui",349,504.34
29,"Maui Nui",30,1000
29,"Maui Nui",358,504.34
29,"Maui Nui",20,1000
29,"Maui Nui",356,504.34
29,"Maui Nui",25,1000
29,"Maui Nui",378,672.45
30,"Maui Nui",176,1000
30,"Maui Nui",378,672.45
30,"Maui Nui",222,1000
30,"Maui Nui",37,1000
30,"Maui Nui",349,504.34
30,"Maui Nui",357,504.34
30,"Maui Nui",350,672.45
30,"Maui Nui",343,504.34
30,"Maui Nui",452,672.45
30,"Maui Nui",219,1000
31,"Maui Nui",180,1000
31,"Maui Nui",452,672.45
31,"Maui Nui",222,1000
31,"Maui Nui",345,672.45
31,"Maui Nui",176,1000
31,"Maui Nui",515,168.11
31,"Maui Nui",35,1000
31,"Maui Nui",356,504.34
31,"Maui Nui",378,672.45
31,"Maui Nui",358,504.34
32,"Maui Nui",345,672.45
32,"Maui Nui",348,672.45
32,"Maui Nui",442,336.23
32,"Maui Nui",377,168.11
32,"Maui Nui",20,1000
32,"Maui Nui",30,1000
32,"Maui Nui",222,1000
32,"Maui Nui",525,504.34
32,"Maui Nui",294,1000
32,"Maui Nui",177,1000
33,"Maui Nui",175,1000
33,"Maui Nui",452,672.45
33,"Maui Nui",177,1000
33,"Maui Nui",29,1000
33,"Maui Nui",349,504.34
33,"Maui Nui",357,504.34
33,"Maui Nui",378,672.45
33,"Maui Nui",356,504.34
33,"Maui Nui",350,672.45
33,"Maui Nui",345,672.45
34,"Maui Nui",358,504.34
34,"Maui Nui",294,1000
34,"Maui Nui",439,336.23
34,"Maui Nui",142,1000
34,"Maui Nui",180,1000
34,"Maui Nui",378,672.45
34,"Maui Nui",377,168.11
34,"Maui Nui",179,1000
34,"Maui Nui",176,1000
34,"Maui Nui",343,504.34
35,"Maui Nui",175,1000
35,"Maui Nui",345,672.45
35,"Maui Nui",439,336.23
35,"Maui Nui",178,1000
35,"Maui Nui",222,1000
35,"Maui Nui",377,168.11
35,"Maui Nui",343,504.34
35,"Maui Nui",299,672.45
35,"Maui Nui",349,504.34
35,"Maui Nui",176,1000
36,"Maui Nui",37,1000
36,"Maui Nui",176,1000
36,"Maui Nui",294,1000
36,"Maui Nui",377,168.11
36,"Maui Nui",442,336.23
36,"Maui Nui",180,1000
36,"Maui Nui",378,672.45
36,"Maui Nui",20,1000
36,"Maui Nui",345,672.45
36,"Maui Nui",356,504.34
37,"Maui Nui",345,672.45
37,"Maui Nui",515,168.11
37,"Maui Nui",294,1000
37,"Maui Nui",442,336.23
37,"Maui Nui",525,504.34
37,"Maui Nui",378,672.45
37,"Maui Nui",142,1000
37,"Maui Nui",356,504.34
37,"Maui Nui",35,1000
37,"Maui Nui",219,1000
38,"Maui Nui",348,672.45
38,"Maui Nui",350,672.45
38,"Maui Nui",439,336.23
38,"Maui Nui",442,336.23
38,"Maui Nui",29,1000
38,"Maui Nui",44,1000
38,"Maui Nui",25,1000
38,"Maui Nui",35,1000
38,"Maui Nui",349,504.34
38,"Maui Nui",378,672.45
39,"Maui Nui",176,1000
39,"Maui Nui",356,504.34
39,"Maui Nui",37,1000
39,"Maui Nui",175,1000
39,"Maui Nui",343,504.34
39,"Maui Nui",178,1000
39,"Maui Nui",358,504.34
39,"Maui Nui",349,504.34
39,"Maui Nui",299,672.45
39,"Maui Nui",515,168.11
40,"Maui Nui",177,1000
40,"Maui Nui",459,168.11
40,"Maui Nui",222,1000
40,"Maui Nui",176,1000
40,"Maui Nui",525,504.34
40,"Maui Nui",142,1000
40,"Maui Nui",452,672.45
40,"Maui Nui",299,672.45
40,"Maui Nui",219,1000
40,"Maui Nui",358,504.34
41,"Maui Nui",142,1000
41,"Maui Nui",349,504.34
41,"Maui Nui",20,1000
41,"Maui Nui",176,1000
41,"Maui Nui",357,504.34
41,"Maui Nui",356,504.34
41,"Maui Nui",452,672.45
41,"Maui Nui",515,168.11
41,"Maui Nui",345,672.45
41,"Maui Nui",343,504.34
42,"Maui Nui",175,1000
42,"Maui Nui",219,1000
42,"Maui Nui",525,504.34
42,"Maui Nui",377,168.11
42,"Maui Nui",29,1000
42,"Maui Nui",179,1000
42,"Maui Nui",348,672.45
42,"Maui Nui",25,1000
42,"Maui Nui",439,336.23
42,"Maui Nui",142,1000
43,"Maui Nui",442,336.23
43,"Maui Nui",177,1000
43,"Maui Nui",142,1000
43,"Maui Nui",349,504.34
43,"Maui Nui",222,1000
43,"Maui Nui",299,672.45
43,"Maui Nui",179,1000
43,"Maui Nui",377,168.11
43,"Maui Nui",34,1000
43,"Maui Nui",35,1000
44,"Maui Nui",20,1000
