"geo_entity2","mean_MAP","mean_PET","r_PET","m_PlotArea"
"Hawai'i Island",3275.58488499512,1256.37604458984,154.362418791016,3901.256688
"Kaua'i Island",1999.19526732422,1257.51364371094,176.74792264375,4057.410188
"Maui Nui",5006.91117402344,1177.4894621582,96.9634997644531,4739.155076
"O'ahu Island",2060.32810101563,1310.90911859375,66.7168491707029,4247.346496
