"geo_entity2","Scen_Order","Scenario","order","qD","qD.LCL","qD.UCL","geo_order"
"Hawai'i","Het+Age_0","Het+Age","0",12.11122,11.645509,12.569334,"Hawai'i_0"
"Maui Nui","Het+Age_0","Het+Age","0",15.3487,14.65423325,16.09380325,"Maui Nui_0"
"O'ahu","Het+Age_0","Het+Age","0",17.58082,17.02367675,18.14655475,"O'ahu_0"
"Kaua'i","Het+Age_0","Het+Age","0",30.73298,29.94086125,31.5837225,"Kaua'i_0"
"Hawai'i","Age_0","Age","0",11.73821,11.25083875,12.28701075,"Hawai'i_0"
"Maui Nui","Age_0","Age","0",15.20567,14.445614,15.94431175,"Maui Nui_0"
"O'ahu","Age_0","Age","0",17.86145,17.36207425,18.3928195,"O'ahu_0"
"Kaua'i","Age_0","Age","0",33.10007,32.38992275,33.8814905,"Kaua'i_0"
"Hawai'i","Het+Age_1","Het+Age","1",4.23119,3.990797,4.49004975,"Hawai'i_1"
"Maui Nui","Het+Age_1","Het+Age","1",5.08355,4.88510275,5.28531075,"Maui Nui_1"
"O'ahu","Het+Age_1","Het+Age","1",4.79904,4.55218425,5.0566005,"O'ahu_1"
"Kaua'i","Het+Age_1","Het+Age","1",7.33106,7.1600525,7.499719,"Kaua'i_1"
"Hawai'i","Age_1","Age","1",4.32422,4.03357625,4.586446,"Hawai'i_1"
"Maui Nui","Age_1","Age","1",5.00029,4.802846,5.1894935,"Maui Nui_1"
"O'ahu","Age_1","Age","1",4.84974,4.61638975,5.09461425,"O'ahu_1"
"Kaua'i","Age_1","Age","1",7.42668,7.2546285,7.5954175,"Kaua'i_1"
"Hawai'i","Het+Age_2","Het+Age","2",2.98449,2.809506,3.175505,"Hawai'i_2"
"Maui Nui","Het+Age_2","Het+Age","2",3.38159,3.25533075,3.506775,"Maui Nui_2"
"O'ahu","Het+Age_2","Het+Age","2",3.4271,3.209901,3.679182,"O'ahu_2"
"Kaua'i","Het+Age_2","Het+Age","2",4.64165,4.52586625,4.74377575,"Kaua'i_2"
"Hawai'i","Age_2","Age","2",3.03734,2.84079775,3.25863625,"Hawai'i_2"
"Maui Nui","Age_2","Age","2",3.38453,3.251365,3.5242965,"Maui Nui_2"
"O'ahu","Age_2","Age","2",3.45003,3.24823325,3.68711375,"O'ahu_2"
"Kaua'i","Age_2","Age","2",4.58836,4.484976,4.69561075,"Kaua'i_2"
