"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","fit","se.fit","uprS","lwrS"
"1",1,"interpolated",0,1,1,1,0.237,0.234,0.24,"Hawai'i Island","1",1.01569570177488,0.220204005808861,1.54659168951317,0.484799714036592
"2",100,"interpolated",0,9.216,9.11,9.323,0.985,0.984,0.986,"Hawai'i Island","1",8.12384772858704,0.219839669045861,8.65386532664776,7.59383013052633
"3",200,"interpolated",0,10.291,10.122,10.461,0.992,0.991,0.992,"Hawai'i Island","1",9.42690266252045,0.219089465844214,9.9551115747297,8.8986937503112
"4",300,"interpolated",0,10.999,10.791,11.207,0.994,0.994,0.994,"Hawai'i Island","1",9.9752615428618,0.218209739727164,10.5013494988054,9.44917358691824
"5",400,"interpolated",0,11.538,11.309,11.767,0.995,0.995,0.995,"Hawai'i Island","1",10.5877757664604,0.217484824985194,11.1121160052062,10.0634355277146
"6",500,"interpolated",0,11.963,11.725,12.202,0.996,0.996,0.996,"Hawai'i Island","1",10.7641243357278,0.217208713740487,11.2877988901621,10.2404497812934
"7",600,"interpolated",0,12.306,12.067,12.545,0.997,0.997,0.997,"Hawai'i Island","1",11.1876843446373,0.217493297546486,11.7120450101178,10.6633236791569
"8",700,"interpolated",0,12.585,12.352,12.818,0.997,0.997,0.998,"Hawai'i Island","1",11.2487838750905,0.218223312241424,11.7749045533878,10.7226631967933
"9",800,"interpolated",0,12.815,12.591,13.038,0.998,0.998,0.998,"Hawai'i Island","1",11.531840349606,0.219103307257194,12.0600826324643,11.0035980667476
"10",900,"interpolated",0,13.004,12.792,13.217,0.998,0.998,0.998,"Hawai'i Island","1",11.5967323013595,0.219848858030191,12.1267720533992,11.0666925493198
"11",1000,"interpolated",0,13.162,12.963,13.362,0.999,0.998,0.999,"Hawai'i Island","1",11.7447513913757,0.220205495709887,12.275650971158,11.2138518115934
"12",1,"interpolated",0,1,1,1,0.532,0.524,0.539,"Hawai'i Island","2",1.01569570177488,0.220204005808861,1.54659168951317,0.484799714036592
"13",100,"interpolated",0,6.494,6.369,6.618,0.985,0.984,0.985,"Hawai'i Island","2",8.12384772858704,0.219839669045861,8.65386532664776,7.59383013052633
"14",200,"interpolated",0,7.741,7.55,7.932,0.989,0.989,0.99,"Hawai'i Island","2",9.42690266252045,0.219089465844214,9.9551115747297,8.8986937503112
"15",300,"interpolated",0,8.665,8.441,8.889,0.992,0.992,0.992,"Hawai'i Island","2",9.9752615428618,0.218209739727164,10.5013494988054,9.44917358691824
"16",400,"interpolated",0,9.38,9.143,9.616,0.994,0.994,0.994,"Hawai'i Island","2",10.5877757664604,0.217484824985194,11.1121160052062,10.0634355277146
"17",500,"interpolated",0,9.936,9.701,10.171,0.995,0.995,0.995,"Hawai'i Island","2",10.7641243357278,0.217208713740487,11.2877988901621,10.2404497812934
"18",600,"interpolated",0,10.37,10.143,10.596,0.996,0.996,0.996,"Hawai'i Island","2",11.1876843446373,0.217493297546486,11.7120450101178,10.6633236791569
"19",700,"interpolated",0,10.709,10.496,10.923,0.997,0.997,0.997,"Hawai'i Island","2",11.2487838750905,0.218223312241424,11.7749045533878,10.7226631967933
"20",800,"interpolated",0,10.976,10.778,11.174,0.998,0.997,0.998,"Hawai'i Island","2",11.531840349606,0.219103307257194,12.0600826324643,11.0035980667476
"21",900,"interpolated",0,11.186,11.004,11.368,0.998,0.998,0.998,"Hawai'i Island","2",11.5967323013595,0.219848858030191,12.1267720533992,11.0666925493198
"22",1000,"interpolated",0,11.352,11.186,11.518,0.999,0.998,0.999,"Hawai'i Island","2",11.7447513913757,0.220205495709887,12.275650971158,11.2138518115934
"23",1,"interpolated",0,1,1,1,0.431,0.425,0.437,"Hawai'i Island","3",1.01569570177488,0.220204005808861,1.54659168951317,0.484799714036592
"24",100,"interpolated",0,8.827,8.69,8.965,0.971,0.97,0.972,"Hawai'i Island","3",8.12384772858704,0.219839669045861,8.65386532664776,7.59383013052633
"25",200,"interpolated",0,10.922,10.732,11.113,0.984,0.984,0.985,"Hawai'i Island","3",9.42690266252045,0.219089465844214,9.9551115747297,8.8986937503112
"26",300,"interpolated",0,12.19,11.969,12.411,0.99,0.989,0.99,"Hawai'i Island","3",9.9752615428618,0.218209739727164,10.5013494988054,9.44917358691824
"27",400,"interpolated",0,13.073,12.834,13.312,0.992,0.992,0.993,"Hawai'i Island","3",10.5877757664604,0.217484824985194,11.1121160052062,10.0634355277146
"28",500,"interpolated",0,13.728,13.476,13.98,0.994,0.994,0.995,"Hawai'i Island","3",10.7641243357278,0.217208713740487,11.2877988901621,10.2404497812934
"29",600,"interpolated",0,14.233,13.969,14.497,0.996,0.995,0.996,"Hawai'i Island","3",11.1876843446373,0.217493297546486,11.7120450101178,10.6633236791569
"30",700,"interpolated",0,14.634,14.357,14.911,0.996,0.996,0.997,"Hawai'i Island","3",11.2487838750905,0.218223312241424,11.7749045533878,10.7226631967933
"31",800,"interpolated",0,14.96,14.67,15.25,0.997,0.997,0.997,"Hawai'i Island","3",11.531840349606,0.219103307257194,12.0600826324643,11.0035980667476
"32",900,"interpolated",0,15.23,14.926,15.533,0.998,0.997,0.998,"Hawai'i Island","3",11.5967323013595,0.219848858030191,12.1267720533992,11.0666925493198
"33",1000,"interpolated",0,15.458,15.141,15.775,0.998,0.998,0.998,"Hawai'i Island","3",11.7447513913757,0.220205495709887,12.275650971158,11.2138518115934
"34",1,"interpolated",0,1,1,1,0.315,0.31,0.321,"Hawai'i Island","4",1.01569570177488,0.220204005808861,1.54659168951317,0.484799714036592
"35",100,"interpolated",0,6.381,6.265,6.496,0.988,0.987,0.989,"Hawai'i Island","4",8.12384772858704,0.219839669045861,8.65386532664776,7.59383013052633
"36",200,"interpolated",0,7.214,7.043,7.386,0.994,0.993,0.995,"Hawai'i Island","4",9.42690266252045,0.219089465844214,9.9551115747297,8.8986937503112
"37",300,"interpolated",0,7.694,7.473,7.916,0.996,0.995,0.997,"Hawai'i Island","4",9.9752615428618,0.218209739727164,10.5013494988054,9.44917358691824
"38",400,"interpolated",0,8.04,7.777,8.302,0.997,0.996,0.997,"Hawai'i Island","4",10.5877757664604,0.217484824985194,11.1121160052062,10.0634355277146
"39",500,"interpolated",0,8.311,8.015,8.607,0.998,0.997,0.998,"Hawai'i Island","4",10.7641243357278,0.217208713740487,11.2877988901621,10.2404497812934
"40",600,"interpolated",0,8.532,8.209,8.855,0.998,0.998,0.998,"Hawai'i Island","4",11.1876843446373,0.217493297546486,11.7120450101178,10.6633236791569
"41",700,"interpolated",0,8.717,8.373,9.061,0.998,0.998,0.999,"Hawai'i Island","4",11.2487838750905,0.218223312241424,11.7749045533878,10.7226631967933
