"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","fit","se.fit","uprS","lwrS"
"1",1,"interpolated",0,1,1,1,0.474,0.464,0.484,"Hawai'i Island","1",1.01957273412394,0.234042697875627,1.5874190444666,0.45172642378127
"2",100,"interpolated",0,5.185,5.06,5.311,0.989,0.988,0.989,"Hawai'i Island","1",6.18185028856352,0.233476284466724,6.74832233785342,5.61537823927362
"3",200,"interpolated",0,6,5.84,6.16,0.994,0.994,0.995,"Hawai'i Island","1",7.19926863184496,0.232587176454184,7.76358348200411,6.63495378168581
"4",300,"interpolated",0,6.469,6.29,6.648,0.996,0.996,0.997,"Hawai'i Island","1",7.58013618990458,0.231630303673392,8.14212942660186,7.0181429532073
"5",400,"interpolated",0,6.778,6.579,6.977,0.997,0.997,0.998,"Hawai'i Island","1",7.98893662004364,0.230844454100796,8.54902318849476,7.42885005159251
"6",500,"interpolated",0,6.996,6.777,7.214,0.998,0.998,0.998,"Hawai'i Island","1",8.08890915209641,0.230545196261819,8.6482696459413,7.52954865825153
"7",600,"interpolated",0,7.159,6.925,7.392,0.999,0.998,0.999,"Hawai'i Island","1",8.35267281074465,0.230853627950898,8.91278163725801,7.7925639842313
"8",700,"interpolated",0,7.286,7.043,7.53,0.999,0.999,0.999,"Hawai'i Island","1",8.37240111822094,0.231645007145351,8.93443002923054,7.81037220721133
"9",800,"interpolated",0,7.39,7.141,7.639,0.999,0.999,0.999,"Hawai'i Island","1",8.54281230658548,0.23260250636493,9.10716435095464,7.97846026221633
"10",900,"interpolated",0,7.475,7.224,7.726,0.999,0.999,0.999,"Hawai'i Island","1",8.56821871336762,0.233488585926087,9.13472060908459,8.00171681765066
"11",1000,"interpolated",0,7.547,7.297,7.798,0.999,0.999,0.999,"Hawai'i Island","1",8.65142143450153,0.234045169435698,9.21927374146909,8.08356912753398
"12",1,"interpolated",0,1,1,1,0.532,0.524,0.539,"Hawai'i Island","2",1.01957273412394,0.234042697875627,1.5874190444666,0.45172642378127
"13",100,"interpolated",0,4.692,4.647,4.738,0.996,0.995,0.996,"Hawai'i Island","2",6.18185028856352,0.233476284466724,6.74832233785342,5.61537823927362
"14",200,"interpolated",0,4.917,4.89,4.944,0.999,0.999,0.999,"Hawai'i Island","2",7.19926863184496,0.232587176454184,7.76358348200411,6.63495378168581
"15",300,"interpolated",0,4.977,4.965,4.988,1,1,1,"Hawai'i Island","2",7.58013618990458,0.231630303673392,8.14212942660186,7.0181429532073
"16",400,"interpolated",0,4.993,4.989,4.998,1,1,1,"Hawai'i Island","2",7.98893662004364,0.230844454100796,8.54902318849476,7.42885005159251
"17",500,"interpolated",0,4.998,4.997,5,1,1,1,"Hawai'i Island","2",8.08890915209641,0.230545196261819,8.6482696459413,7.52954865825153
"18",600,"interpolated",0,5,4.999,5,1,1,1,"Hawai'i Island","2",8.35267281074465,0.230853627950898,8.91278163725801,7.7925639842313
"19",700,"interpolated",0,5,5,5,1,1,1,"Hawai'i Island","2",8.37240111822094,0.231645007145351,8.93443002923054,7.81037220721133
"20",800,"interpolated",0,5,5,5,1,1,1,"Hawai'i Island","2",8.54281230658548,0.23260250636493,9.10716435095464,7.97846026221633
"21",900,"interpolated",0,5,5,5,1,1,1,"Hawai'i Island","2",8.56821871336762,0.233488585926087,9.13472060908459,8.00171681765066
"22",1000,"interpolated",0,5,5,5,1,1,1,"Hawai'i Island","2",8.65142143450153,0.234045169435698,9.21927374146909,8.08356912753398
"23",1,"interpolated",0,1,1,1,0.692,0.685,0.699,"Hawai'i Island","3",1.01957273412394,0.234042697875627,1.5874190444666,0.45172642378127
"24",100,"interpolated",0,4.666,4.554,4.778,0.988,0.987,0.988,"Hawai'i Island","3",6.18185028856352,0.233476284466724,6.74832233785342,5.61537823927362
"25",200,"interpolated",0,5.528,5.368,5.688,0.994,0.993,0.994,"Hawai'i Island","3",7.19926863184496,0.232587176454184,7.76358348200411,6.63495378168581
"26",300,"interpolated",0,6.05,5.862,6.238,0.996,0.995,0.996,"Hawai'i Island","3",7.58013618990458,0.231630303673392,8.14212942660186,7.0181429532073
"27",400,"interpolated",0,6.433,6.232,6.635,0.997,0.996,0.997,"Hawai'i Island","3",7.98893662004364,0.230844454100796,8.54902318849476,7.42885005159251
"28",500,"interpolated",0,6.727,6.52,6.935,0.997,0.997,0.998,"Hawai'i Island","3",8.08890915209641,0.230545196261819,8.6482696459413,7.52954865825153
"29",600,"interpolated",0,6.957,6.748,7.165,0.998,0.998,0.998,"Hawai'i Island","3",8.35267281074465,0.230853627950898,8.91278163725801,7.7925639842313
"30",700,"interpolated",0,7.138,6.93,7.345,0.998,0.998,0.999,"Hawai'i Island","3",8.37240111822094,0.231645007145351,8.93443002923054,7.81037220721133
"31",800,"interpolated",0,7.282,7.076,7.487,0.999,0.999,0.999,"Hawai'i Island","3",8.54281230658548,0.23260250636493,9.10716435095464,7.97846026221633
"32",900,"interpolated",0,7.398,7.196,7.6,0.999,0.999,0.999,"Hawai'i Island","3",8.56821871336762,0.233488585926087,9.13472060908459,8.00171681765066
"33",1000,"interpolated",0,7.492,7.295,7.69,0.999,0.999,0.999,"Hawai'i Island","3",8.65142143450153,0.234045169435698,9.21927374146909,8.08356912753398
"34",1,"interpolated",0,1,1,1,0.419,0.415,0.422,"Hawai'i Island","4",1.01957273412394,0.234042697875627,1.5874190444666,0.45172642378127
"35",100,"interpolated",0,5.135,5.029,5.241,0.986,0.985,0.986,"Hawai'i Island","4",6.18185028856352,0.233476284466724,6.74832233785342,5.61537823927362
"36",200,"interpolated",0,6.194,6.055,6.333,0.992,0.992,0.993,"Hawai'i Island","4",7.19926863184496,0.232587176454184,7.76358348200411,6.63495378168581
"37",300,"interpolated",0,6.817,6.662,6.972,0.995,0.995,0.995,"Hawai'i Island","4",7.58013618990458,0.231630303673392,8.14212942660186,7.0181429532073
"38",400,"interpolated",0,7.225,7.061,7.388,0.997,0.996,0.997,"Hawai'i Island","4",7.98893662004364,0.230844454100796,8.54902318849476,7.42885005159251
"39",500,"interpolated",0,7.51,7.34,7.68,0.998,0.997,0.998,"Hawai'i Island","4",8.08890915209641,0.230545196261819,8.6482696459413,7.52954865825153
"40",600,"interpolated",0,7.72,7.546,7.894,0.998,0.998,0.998,"Hawai'i Island","4",8.35267281074465,0.230853627950898,8.91278163725801,7.7925639842313
"41",700,"interpolated",0,7.879,7.701,8.058,0.999,0.998,0.999,"Hawai'i Island","4",8.37240111822094,0.231645007145351,8.93443002923054,7.81037220721133
"42",800,"interpolated",0,8.005,7.823,8.186,0.999,0.999,0.999,"Hawai'i Island","4",8.54281230658548,0.23260250636493,9.10716435095464,7.97846026221633
"43",900,"interpolated",0,8.105,7.92,8.291,0.999,0.999,0.999,"Hawai'i Island","4",8.56821871336762,0.233488585926087,9.13472060908459,8.00171681765066
"44",1000,"interpolated",0,8.188,7.999,8.377,0.999,0.999,0.999,"Hawai'i Island","4",8.65142143450153,0.234045169435698,9.21927374146909,8.08356912753398
"45",1,"interpolated",0,1,1,1,0.199,0.196,0.201,"Hawai'i Island","5",1.01957273412394,0.234042697875627,1.5874190444666,0.45172642378127
"46",100,"interpolated",0,8.223,8.126,8.321,0.989,0.988,0.989,"Hawai'i Island","5",6.18185028856352,0.233476284466724,6.74832233785342,5.61537823927362
"47",200,"interpolated",0,8.95,8.832,9.068,0.995,0.995,0.996,"Hawai'i Island","5",7.19926863184496,0.232587176454184,7.76358348200411,6.63495378168581
"48",300,"interpolated",0,9.301,9.176,9.426,0.997,0.997,0.998,"Hawai'i Island","5",7.58013618990458,0.231630303673392,8.14212942660186,7.0181429532073
"49",400,"interpolated",0,9.512,9.391,9.633,0.998,0.998,0.998,"Hawai'i Island","5",7.98893662004364,0.230844454100796,8.54902318849476,7.42885005159251
"50",500,"interpolated",0,9.651,9.539,9.763,0.999,0.999,0.999,"Hawai'i Island","5",8.08890915209641,0.230545196261819,8.6482696459413,7.52954865825153
"51",600,"interpolated",0,9.746,9.645,9.848,0.999,0.999,0.999,"Hawai'i Island","5",8.35267281074465,0.230853627950898,8.91278163725801,7.7925639842313
"52",700,"interpolated",0,9.814,9.724,9.904,0.999,0.999,1,"Hawai'i Island","5",8.37240111822094,0.231645007145351,8.93443002923054,7.81037220721133
"53",800,"interpolated",0,9.862,9.784,9.941,1,0.999,1,"Hawai'i Island","5",8.54281230658548,0.23260250636493,9.10716435095464,7.97846026221633
"54",900,"interpolated",0,9.898,9.83,9.966,1,1,1,"Hawai'i Island","5",8.56821871336762,0.233488585926087,9.13472060908459,8.00171681765066
"55",1000,"interpolated",0,9.924,9.865,9.982,1,1,1,"Hawai'i Island","5",8.65142143450153,0.234045169435698,9.21927374146909,8.08356912753398
"56",1,"interpolated",0,1,1,1,0.72,0.708,0.731,"Hawai'i Island","6",1.01957273412394,0.234042697875627,1.5874190444666,0.45172642378127
"57",100,"interpolated",0,2,2,2,1,1,1,"Hawai'i Island","6",6.18185028856352,0.233476284466724,6.74832233785342,5.61537823927362
"58",200,"interpolated",0,2,2,2,1,1,1,"Hawai'i Island","6",7.19926863184496,0.232587176454184,7.76358348200411,6.63495378168581
"59",300,"interpolated",0,2,2,2,1,1,1,"Hawai'i Island","6",7.58013618990458,0.231630303673392,8.14212942660186,7.0181429532073
"60",400,"interpolated",0,2,2,2,1,1,1,"Hawai'i Island","6",7.98893662004364,0.230844454100796,8.54902318849476,7.42885005159251
"61",500,"interpolated",0,2,2,2,1,1,1,"Hawai'i Island","6",8.08890915209641,0.230545196261819,8.6482696459413,7.52954865825153
"62",600,"interpolated",0,2,2,2,1,1,1,"Hawai'i Island","6",8.35267281074465,0.230853627950898,8.91278163725801,7.7925639842313
"63",700,"interpolated",0,2,2,2,1,1,1,"Hawai'i Island","6",8.37240111822094,0.231645007145351,8.93443002923054,7.81037220721133
"64",800,"interpolated",0,2,2,2,1,1,1,"Hawai'i Island","6",8.54281230658548,0.23260250636493,9.10716435095464,7.97846026221633
"65",900,"interpolated",0,2,2,2,1,1,1,"Hawai'i Island","6",8.56821871336762,0.233488585926087,9.13472060908459,8.00171681765066
"66",1000,"interpolated",0,2,2,2,1,1,1,"Hawai'i Island","6",8.65142143450153,0.234045169435698,9.21927374146909,8.08356912753398
"67",1,"interpolated",0,1,1,1,0.382,0.378,0.385,"Hawai'i Island","7",1.01957273412394,0.234042697875627,1.5874190444666,0.45172642378127
"68",100,"interpolated",0,6.203,6.066,6.34,0.983,0.982,0.984,"Hawai'i Island","7",6.18185028856352,0.233476284466724,6.74832233785342,5.61537823927362
"69",200,"interpolated",0,7.412,7.224,7.6,0.992,0.991,0.992,"Hawai'i Island","7",7.19926863184496,0.232587176454184,7.76358348200411,6.63495378168581
"70",300,"interpolated",0,8.071,7.873,8.269,0.995,0.995,0.995,"Hawai'i Island","7",7.58013618990458,0.231630303673392,8.14212942660186,7.0181429532073
"71",400,"interpolated",0,8.49,8.295,8.685,0.997,0.996,0.997,"Hawai'i Island","7",7.98893662004364,0.230844454100796,8.54902318849476,7.42885005159251
"72",500,"interpolated",0,8.775,8.583,8.966,0.998,0.997,0.998,"Hawai'i Island","7",8.08890915209641,0.230545196261819,8.6482696459413,7.52954865825153
"73",600,"interpolated",0,8.975,8.784,9.166,0.998,0.998,0.999,"Hawai'i Island","7",8.35267281074465,0.230853627950898,8.91278163725801,7.7925639842313
"74",700,"interpolated",0,9.12,8.925,9.314,0.999,0.998,0.999,"Hawai'i Island","7",8.37240111822094,0.231645007145351,8.93443002923054,7.81037220721133
"75",800,"interpolated",0,9.228,9.027,9.429,0.999,0.999,0.999,"Hawai'i Island","7",8.54281230658548,0.23260250636493,9.10716435095464,7.97846026221633
"76",900,"interpolated",0,9.312,9.103,9.521,0.999,0.999,0.999,"Hawai'i Island","7",8.56821871336762,0.233488585926087,9.13472060908459,8.00171681765066
"77",1000,"interpolated",0,9.379,9.161,9.596,0.999,0.999,1,"Hawai'i Island","7",8.65142143450153,0.234045169435698,9.21927374146909,8.08356912753398
"78",1,"interpolated",0,1,1,1,0.452,0.448,0.456,"Hawai'i Island","8",1.01957273412394,0.234042697875627,1.5874190444666,0.45172642378127
"79",100,"interpolated",0,5.047,4.869,5.226,0.983,0.981,0.984,"Hawai'i Island","8",6.18185028856352,0.233476284466724,6.74832233785342,5.61537823927362
"80",200,"interpolated",0,6.216,5.99,6.443,0.992,0.991,0.993,"Hawai'i Island","8",7.19926863184496,0.232587176454184,7.76358348200411,6.63495378168581
"81",300,"interpolated",0,6.805,6.518,7.092,0.996,0.995,0.996,"Hawai'i Island","8",7.58013618990458,0.231630303673392,8.14212942660186,7.0181429532073
"82",400,"interpolated",0,7.178,6.834,7.522,0.997,0.996,0.998,"Hawai'i Island","8",7.98893662004364,0.230844454100796,8.54902318849476,7.42885005159251
"83",500,"interpolated",0,7.453,7.065,7.841,0.998,0.997,0.998,"Hawai'i Island","8",8.08890915209641,0.230545196261819,8.6482696459413,7.52954865825153
