"geo_entity2","mean_MAP","r_MAP","mean_MAT","r_MAT","mean_PET","r_PET","mean_Arid","r_Arid","mean_minElev","mean_maxElev","r_Elev","mean_SubstrateAge","mean_minSubstrateAge","mean_maxSubstrateAge","r_SubstrateAge","m_PlotArea","sd_PlotArea"
"Hawai'i Island",2705.40415075684,3990.15357391357,17.2893699131012,11.3931308460236,2329.70193029785,2238.23442016602,1.2567628976154,2.26776621849794,102.325140228271,1965.32659912109,1863.00145889282,15490.9905,173.475,106877.835,106704.36,7458.7477,475.055178547033
"Kaua'i Island",1785.3784307251,2755.15773803711,19.2333253574371,7.12305628776552,2725.76516699219,1849.98682373047,0.661290557382962,1.10282402893766,85.8051428222657,1145.8817993164,1060.07665649414,4174662.5,2185500,4750000,2564500,7172.1321,452.256328329109
"Maui Nui",4425.67688781738,6492.48961486817,16.0794067697525,9.47158445358276,2246.59234765625,1492.88821655273,2.17053019879828,3.89313971907957,367.573434143066,1762.64702270508,1395.07358856201,625270.855555556,6756,1424450,1417694,7951.8228,204.536395630546
"O'ahu Island",2157.32267028809,3299.44912597656,20.5559498615265,4.52177055358887,3252.09827246094,1437.27724121094,0.690501226471714,1.3051389219005,93.4675598740577,762.136277465821,668.668717591763,2514086.52777778,1446000,3266450,1820450,7441.5127,416.729412673963
