"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
10000,"interpolated",1,6.034,5.985,6.083,1,1,1,"Maui Nui",3
1000,"interpolated",2,4.802,4.754,4.85,0.999,0.999,0.999,"Maui Nui",3
10000,"interpolated",2,4.818,4.77,4.867,1,1,1,"Maui Nui",3
1000,"interpolated",0,15.285,15.097,15.472,0.998,0.998,0.998,"O'ahu Island",3
10000,"interpolated",0,16.941,16.777,17.105,1,1,1,"O'ahu Island",3
1000,"interpolated",1,3.896,3.852,3.94,0.998,0.998,0.998,"O'ahu Island",3
10000,"interpolated",1,3.926,3.881,3.97,1,1,1,"O'ahu Island",3
1000,"interpolated",2,2.692,2.664,2.719,0.998,0.998,0.998,"O'ahu Island",3
10000,"interpolated",2,2.696,2.668,2.723,1,1,1,"O'ahu Island",3
1000,"interpolated",0,9.821,9.756,9.886,1,1,1,"Hawai'i Island",4
10000,"interpolated",0,10,10,10,1,1,1,"Hawai'i Island",4
1000,"interpolated",1,2.266,2.235,2.297,1,1,1,"Hawai'i Island",4
10000,"interpolated",1,2.276,2.245,2.306,1,1,1,"Hawai'i Island",4
1000,"interpolated",2,1.49,1.476,1.505,1,1,1,"Hawai'i Island",4
10000,"interpolated",2,1.491,1.476,1.505,1,1,1,"Hawai'i Island",4
1000,"interpolated",0,13.854,13.445,14.263,0.998,0.998,0.998,"Kaua'i Island",4
10000,"interpolated",0,15.999,15.927,16.071,1,1,1,"Kaua'i Island",4
1000,"interpolated",1,2.209,2.162,2.255,0.998,0.998,0.998,"Kaua'i Island",4
10000,"interpolated",1,2.225,2.178,2.271,1,1,1,"Kaua'i Island",4
1000,"interpolated",2,1.441,1.424,1.459,0.998,0.998,0.998,"Kaua'i Island",4
10000,"interpolated",2,1.442,1.424,1.459,1,1,1,"Kaua'i Island",4
1000,"interpolated",0,13.833,13.531,14.135,0.997,0.997,0.998,"Maui Nui",4
10000,"interpolated",0,16.947,16.819,17.075,1,1,1,"Maui Nui",4
1000,"interpolated",1,4.439,4.389,4.489,0.997,0.997,0.998,"Maui Nui",4
10000,"interpolated",1,4.473,4.422,4.524,1,1,1,"Maui Nui",4
1000,"interpolated",2,3.548,3.518,3.578,0.997,0.997,0.998,"Maui Nui",4
10000,"interpolated",2,3.556,3.526,3.586,1,1,1,"Maui Nui",4
1000,"interpolated",0,16.738,16.559,16.917,0.999,0.999,0.999,"O'ahu Island",4
10000,"interpolated",0,17.983,17.877,18.09,1,1,1,"O'ahu Island",4
1000,"interpolated",1,6.608,6.53,6.686,0.999,0.999,0.999,"O'ahu Island",4
10000,"interpolated",1,6.66,6.582,6.739,1,1,1,"O'ahu Island",4
1000,"interpolated",2,5.129,5.068,5.19,0.999,0.999,0.999,"O'ahu Island",4
10000,"interpolated",2,5.148,5.086,5.21,1,1,1,"O'ahu Island",4
1000,"interpolated",0,8.971,8.937,9.005,1,1,1,"Hawai'i Island",5
10000,"interpolated",0,9,9,9,1,1,1,"Hawai'i Island",5
1000,"interpolated",1,3.39,3.333,3.447,1,1,1,"Hawai'i Island",5
10000,"interpolated",1,3.403,3.346,3.46,1,1,1,"Hawai'i Island",5
1000,"interpolated",2,2.391,2.354,2.428,1,1,1,"Hawai'i Island",5
10000,"interpolated",2,2.394,2.357,2.431,1,1,1,"Hawai'i Island",5
1000,"interpolated",0,6.767,6.624,6.91,0.999,0.999,0.999,"Kaua'i Island",5
10000,"interpolated",0,7.942,7.804,8.08,1,1,1,"Kaua'i Island",5
1000,"interpolated",1,1.895,1.875,1.915,0.999,0.999,0.999,"Kaua'i Island",5
10000,"interpolated",1,1.901,1.881,1.921,1,1,1,"Kaua'i Island",5
