"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","fit","se.fit","uprS","lwrS"
"1",1,"interpolated",0,1,1,1,0.261,0.257,0.265,"Hawai'i Island","1",1.01484368204796,0.200514395568681,1.50752351540681,0.5221638486891
"2",100,"interpolated",0,7.563,7.496,7.63,0.991,0.991,0.991,"Hawai'i Island","1",8.22422670233399,0.200152473115146,8.71601726341097,7.73243614125701
"3",200,"interpolated",0,8.164,8.084,8.245,0.996,0.996,0.996,"Hawai'i Island","1",9.69498657050677,0.1993967204974,10.1849201872346,9.20505295377893
"4",300,"interpolated",0,8.479,8.402,8.557,0.998,0.998,0.998,"Hawai'i Island","1",10.3227495277344,0.198506810165615,10.8104965639291,9.83500249153975
"5",400,"interpolated",0,8.67,8.602,8.737,0.999,0.998,0.999,"Hawai'i Island","1",10.9619786146684,0.197773079888137,11.4479228171573,10.4760344121796
"6",500,"interpolated",0,8.789,8.734,8.844,0.999,0.999,0.999,"Hawai'i Island","1",11.1558607764127,0.197493534448427,11.6411181135009,10.6706034393245
"7",600,"interpolated",0,8.865,8.822,8.908,0.999,0.999,1,"Hawai'i Island","1",11.5767725397058,0.197781657551503,12.0627378181964,11.0908072612152
"8",700,"interpolated",0,8.914,8.881,8.947,1,1,1,"Hawai'i Island","1",11.6403630782199,0.198520545384709,12.1281438629414,11.1525822934984
"9",800,"interpolated",0,8.945,8.92,8.969,1,1,1,"Hawai'i Island","1",11.9150401658497,0.199410707780245,12.4050081504451,11.4250721812544
"10",900,"interpolated",0,8.965,8.946,8.983,1,1,1,"Hawai'i Island","1",11.9767067419213,0.200161675363077,12.468519913654,11.4848935701885
"11",1000,"interpolated",0,8.977,8.964,8.991,1,1,1,"Hawai'i Island","1",12.1175516006071,0.200515869711018,12.6102350560511,11.6248681451632
"12",1,"interpolated",0,1,1,1,0.282,0.278,0.285,"Hawai'i Island","2",1.01484368204796,0.200514395568681,1.50752351540681,0.5221638486891
"13",100,"interpolated",0,8.509,8.407,8.611,0.978,0.977,0.979,"Hawai'i Island","2",8.22422670233399,0.200152473115146,8.71601726341097,7.73243614125701
"14",200,"interpolated",0,10.028,9.887,10.17,0.989,0.989,0.99,"Hawai'i Island","2",9.69498657050677,0.1993967204974,10.1849201872346,9.20505295377893
"15",300,"interpolated",0,10.895,10.723,11.067,0.993,0.993,0.993,"Hawai'i Island","2",10.3227495277344,0.198506810165615,10.8104965639291,9.83500249153975
"16",400,"interpolated",0,11.482,11.289,11.676,0.995,0.995,0.995,"Hawai'i Island","2",10.9619786146684,0.197773079888137,11.4479228171573,10.4760344121796
"17",500,"interpolated",0,11.915,11.71,12.119,0.996,0.996,0.996,"Hawai'i Island","2",11.1558607764127,0.197493534448427,11.6411181135009,10.6706034393245
"18",600,"interpolated",0,12.248,12.039,12.457,0.997,0.997,0.997,"Hawai'i Island","2",11.5767725397058,0.197781657551503,12.0627378181964,11.0908072612152
"19",700,"interpolated",0,12.514,12.305,12.722,0.998,0.997,0.998,"Hawai'i Island","2",11.6403630782199,0.198520545384709,12.1281438629414,11.1525822934984
"20",800,"interpolated",0,12.729,12.524,12.934,0.998,0.998,0.998,"Hawai'i Island","2",11.9150401658497,0.199410707780245,12.4050081504451,11.4250721812544
"21",900,"interpolated",0,12.907,12.707,13.106,0.998,0.998,0.999,"Hawai'i Island","2",11.9767067419213,0.200161675363077,12.468519913654,11.4848935701885
"22",1000,"interpolated",0,13.054,12.861,13.247,0.999,0.999,0.999,"Hawai'i Island","2",12.1175516006071,0.200515869711018,12.6102350560511,11.6248681451632
"23",1,"interpolated",0,1,1,1,0.484,0.478,0.489,"Hawai'i Island","3",1.01484368204796,0.200514395568681,1.50752351540681,0.5221638486891
"24",100,"interpolated",0,7.594,7.463,7.724,0.972,0.971,0.973,"Hawai'i Island","3",8.22422670233399,0.200152473115146,8.71601726341097,7.73243614125701
"25",200,"interpolated",0,9.48,9.311,9.648,0.987,0.987,0.988,"Hawai'i Island","3",9.69498657050677,0.1993967204974,10.1849201872346,9.20505295377893
"26",300,"interpolated",0,10.454,10.256,10.652,0.993,0.992,0.993,"Hawai'i Island","3",10.3227495277344,0.198506810165615,10.8104965639291,9.83500249153975
"27",400,"interpolated",0,11.06,10.836,11.284,0.995,0.995,0.995,"Hawai'i Island","3",10.9619786146684,0.197773079888137,11.4479228171573,10.4760344121796
"28",500,"interpolated",0,11.487,11.24,11.733,0.996,0.996,0.997,"Hawai'i Island","3",11.1558607764127,0.197493534448427,11.6411181135009,10.6706034393245
"29",600,"interpolated",0,11.812,11.548,12.076,0.997,0.997,0.997,"Hawai'i Island","3",11.5767725397058,0.197781657551503,12.0627378181964,11.0908072612152
"30",700,"interpolated",0,12.074,11.796,12.352,0.998,0.997,0.998,"Hawai'i Island","3",11.6403630782199,0.198520545384709,12.1281438629414,11.1525822934984
"31",800,"interpolated",0,12.291,12.002,12.58,0.998,0.998,0.998,"Hawai'i Island","3",11.9150401658497,0.199410707780245,12.4050081504451,11.4250721812544
"32",900,"interpolated",0,12.475,12.177,12.772,0.998,0.998,0.998,"Hawai'i Island","3",11.9767067419213,0.200161675363077,12.468519913654,11.4848935701885
"33",1000,"interpolated",0,12.632,12.327,12.936,0.999,0.998,0.999,"Hawai'i Island","3",12.1175516006071,0.200515869711018,12.6102350560511,11.6248681451632
"34",1,"interpolated",0,1,1,1,0.275,0.269,0.281,"Hawai'i Island","4",1.01484368204796,0.200514395568681,1.50752351540681,0.5221638486891
"35",100,"interpolated",0,8.866,8.723,9.01,0.981,0.98,0.982,"Hawai'i Island","4",8.22422670233399,0.200152473115146,8.71601726341097,7.73243614125701
"36",200,"interpolated",0,10.157,9.979,10.334,0.991,0.991,0.992,"Hawai'i Island","4",9.69498657050677,0.1993967204974,10.1849201872346,9.20505295377893
