"Iteration","geo_entity2","PlotID","Plot_Area","min_dist_km","r_Arid","r_Elev"
1,"Kaua'i Island",341,504.34,2.70512207067027,1.64613062080917,1093.86017227173
1,"Kaua'i Island",196,1000,2.70512207067027,1.64613062080917,1093.86017227173
1,"Kaua'i Island",337,672.45,2.70512207067027,1.64613062080917,1093.86017227173
1,"Kaua'i Island",223,1000,2.70512207067027,1.64613062080917,1093.86017227173
1,"Kaua'i Island",230,1000,2.70512207067027,1.64613062080917,1093.86017227173
1,"Kaua'i Island",521,336.23,2.70512207067027,1.64613062080917,1093.86017227173
1,"Kaua'i Island",462,336.23,2.70512207067027,1.64613062080917,1093.86017227173
1,"Kaua'i Island",295,1000,2.70512207067027,1.64613062080917,1093.86017227173
1,"Kaua'i Island",480,504.34,2.70512207067027,1.64613062080917,1093.86017227173
1,"Kaua'i Island",308,672.45,2.70512207067027,1.64613062080917,1093.86017227173
2,"Kaua'i Island",195,1000,1.73659327482025,1.17847060366854,1020.6113204956
2,"Kaua'i Island",196,1000,1.73659327482025,1.17847060366854,1020.6113204956
2,"Kaua'i Island",218,1000,1.73659327482025,1.17847060366854,1020.6113204956
2,"Kaua'i Island",327,672.45,1.73659327482025,1.17847060366854,1020.6113204956
2,"Kaua'i Island",339,672.45,1.73659327482025,1.17847060366854,1020.6113204956
2,"Kaua'i Island",230,1000,1.73659327482025,1.17847060366854,1020.6113204956
2,"Kaua'i Island",521,336.23,1.73659327482025,1.17847060366854,1020.6113204956
2,"Kaua'i Island",282,1000,1.73659327482025,1.17847060366854,1020.6113204956
2,"Kaua'i Island",308,672.45,1.73659327482025,1.17847060366854,1020.6113204956
2,"Kaua'i Island",454,336.23,1.73659327482025,1.17847060366854,1020.6113204956
3,"Kaua'i Island",282,1000,1.73659327482025,0.753941032157194,858.090293884278
3,"Kaua'i Island",337,672.45,1.73659327482025,0.753941032157194,858.090293884278
3,"Kaua'i Island",304,336.23,1.73659327482025,0.753941032157194,858.090293884278
3,"Kaua'i Island",218,1000,1.73659327482025,0.753941032157194,858.090293884278
3,"Kaua'i Island",196,1000,1.73659327482025,0.753941032157194,858.090293884278
3,"Kaua'i Island",223,1000,1.73659327482025,0.753941032157194,858.090293884278
3,"Kaua'i Island",195,1000,1.73659327482025,0.753941032157194,858.090293884278
3,"Kaua'i Island",230,1000,1.73659327482025,0.753941032157194,858.090293884278
3,"Kaua'i Island",521,336.23,1.73659327482025,0.753941032157194,858.090293884278
3,"Kaua'i Island",454,336.23,1.73659327482025,0.753941032157194,858.090293884278
4,"Kaua'i Island",282,1000,3.51611720431371,0.691039774800893,1093.86017227173
4,"Kaua'i Island",462,336.23,3.51611720431371,0.691039774800893,1093.86017227173
4,"Kaua'i Island",304,336.23,3.51611720431371,0.691039774800893,1093.86017227173
4,"Kaua'i Island",521,336.23,3.51611720431371,0.691039774800893,1093.86017227173
4,"Kaua'i Island",337,672.45,3.51611720431371,0.691039774800893,1093.86017227173
4,"Kaua'i Island",523,672.45,3.51611720431371,0.691039774800893,1093.86017227173
4,"Kaua'i Island",295,1000,3.51611720431371,0.691039774800893,1093.86017227173
4,"Kaua'i Island",230,1000,3.51611720431371,0.691039774800893,1093.86017227173
4,"Kaua'i Island",218,1000,3.51611720431371,0.691039774800893,1093.86017227173
4,"Kaua'i Island",308,672.45,3.51611720431371,0.691039774800893,1093.86017227173
5,"Kaua'i Island",196,1000,2.34925168770688,1.17847060366854,938.237369537354
5,"Kaua'i Island",282,1000,2.34925168770688,1.17847060366854,938.237369537354
5,"Kaua'i Island",304,336.23,2.34925168770688,1.17847060366854,938.237369537354
5,"Kaua'i Island",339,672.45,2.34925168770688,1.17847060366854,938.237369537354
5,"Kaua'i Island",223,1000,2.34925168770688,1.17847060366854,938.237369537354
5,"Kaua'i Island",218,1000,2.34925168770688,1.17847060366854,938.237369537354
5,"Kaua'i Island",454,336.23,2.34925168770688,1.17847060366854,938.237369537354
5,"Kaua'i Island",462,336.23,2.34925168770688,1.17847060366854,938.237369537354
5,"Kaua'i Island",337,672.45,2.34925168770688,1.17847060366854,938.237369537354
5,"Kaua'i Island",195,1000,2.34925168770688,1.17847060366854,938.237369537354
6,"Kaua'i Island",295,1000,2.34925168770688,0.64530383574957,1093.86017227173
6,"Kaua'i Island",196,1000,2.34925168770688,0.64530383574957,1093.86017227173
6,"Kaua'i Island",327,672.45,2.34925168770688,0.64530383574957,1093.86017227173
6,"Kaua'i Island",341,504.34,2.34925168770688,0.64530383574957,1093.86017227173
6,"Kaua'i Island",282,1000,2.34925168770688,0.64530383574957,1093.86017227173
6,"Kaua'i Island",308,672.45,2.34925168770688,0.64530383574957,1093.86017227173
