"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1000,"interpolated",0,15.258,15.014,15.502,0.998,0.998,0.998,"Hawai'i Island",1
10000,"interpolated",0,16.998,16.99,17.007,1,1,1,"Hawai'i Island",1
1000,"interpolated",1,4.903,4.849,4.957,0.998,0.998,0.998,"Hawai'i Island",1
10000,"interpolated",1,4.94,4.886,4.994,1,1,1,"Hawai'i Island",1
1000,"interpolated",2,3.372,3.33,3.414,0.998,0.998,0.998,"Hawai'i Island",1
10000,"interpolated",2,3.379,3.337,3.422,1,1,1,"Hawai'i Island",1
1000,"interpolated",0,28.714,28.219,29.208,0.992,0.992,0.993,"Kaua'i Island",1
10000,"interpolated",0,40.429,39.972,40.886,1,1,1,"Kaua'i Island",1
1000,"interpolated",1,4.026,3.965,4.087,0.992,0.992,0.993,"Kaua'i Island",1
10000,"interpolated",1,4.101,4.038,4.163,1,1,1,"Kaua'i Island",1
1000,"interpolated",2,2.128,2.102,2.155,0.992,0.992,0.993,"Kaua'i Island",1
10000,"interpolated",2,2.131,2.104,2.157,1,1,1,"Kaua'i Island",1
1000,"interpolated",0,18.595,18.219,18.971,0.997,0.997,0.998,"Maui Nui",1
10000,"interpolated",0,21.969,21.847,22.091,1,1,1,"Maui Nui",1
1000,"interpolated",1,6.661,6.568,6.755,0.997,0.997,0.998,"Maui Nui",1
10000,"interpolated",1,6.727,6.632,6.822,1,1,1,"Maui Nui",1
1000,"interpolated",2,4.548,4.473,4.623,0.997,0.997,0.998,"Maui Nui",1
10000,"interpolated",2,4.563,4.487,4.638,1,1,1,"Maui Nui",1
1000,"interpolated",0,27.352,26.833,27.871,0.994,0.994,0.995,"O'ahu Island",1
10000,"interpolated",0,32.967,32.843,33.092,1,1,1,"O'ahu Island",1
1000,"interpolated",1,6.585,6.486,6.683,0.994,0.994,0.995,"O'ahu Island",1
10000,"interpolated",1,6.688,6.587,6.788,1,1,1,"O'ahu Island",1
1000,"interpolated",2,4.093,4.035,4.151,0.994,0.994,0.995,"O'ahu Island",1
10000,"interpolated",2,4.104,4.046,4.162,1,1,1,"O'ahu Island",1
1000,"interpolated",0,12.297,12.022,12.572,0.998,0.998,0.998,"Hawai'i Island",2
10000,"interpolated",0,15.671,15.335,16.008,1,1,1,"Hawai'i Island",2
1000,"interpolated",1,3.786,3.747,3.826,0.998,0.998,0.998,"Hawai'i Island",2
10000,"interpolated",1,3.811,3.772,3.851,1,1,1,"Hawai'i Island",2
1000,"interpolated",2,2.654,2.627,2.681,0.998,0.998,0.998,"Hawai'i Island",2
10000,"interpolated",2,2.658,2.631,2.685,1,1,1,"Hawai'i Island",2
1000,"interpolated",0,26.665,26.24,27.089,0.994,0.993,0.994,"Kaua'i Island",2
10000,"interpolated",0,35.559,35.161,35.957,1,1,1,"Kaua'i Island",2
1000,"interpolated",1,5.564,5.495,5.633,0.994,0.993,0.994,"Kaua'i Island",2
10000,"interpolated",1,5.655,5.584,5.726,1,1,1,"Kaua'i Island",2
1000,"interpolated",2,2.971,2.929,3.012,0.994,0.993,0.994,"Kaua'i Island",2
10000,"interpolated",2,2.976,2.935,3.018,1,1,1,"Kaua'i Island",2
1000,"interpolated",0,24.237,23.956,24.519,0.998,0.997,0.998,"Maui Nui",2
10000,"interpolated",0,25.997,25.955,26.038,1,1,1,"Maui Nui",2
1000,"interpolated",1,9.647,9.5,9.794,0.998,0.997,0.998,"Maui Nui",2
10000,"interpolated",1,9.762,9.613,9.911,1,1,1,"Maui Nui",2
1000,"interpolated",2,6.221,6.1,6.342,0.998,0.997,0.998,"Maui Nui",2
10000,"interpolated",2,6.25,6.129,6.372,1,1,1,"Maui Nui",2
1000,"interpolated",0,28.574,28.103,29.045,0.994,0.994,0.994,"O'ahu Island",2
10000,"interpolated",0,37.677,37.252,38.101,1,1,1,"O'ahu Island",2
1000,"interpolated",1,9.322,9.218,9.427,0.994,0.994,0.994,"O'ahu Island",2
10000,"interpolated",1,9.482,9.377,9.588,1,1,1,"O'ahu Island",2
1000,"interpolated",2,6.087,6.016,6.158,0.994,0.994,0.994,"O'ahu Island",2
