"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","qD_pred"
"1",1,"interpolated",0,1,1,1,0.251,0.247,0.256,"Maui Nui","1",1.01907652695323
"2",100,"interpolated",0,8.376,8.226,8.527,0.984,0.983,0.985,"Maui Nui","1",8.52406495953037
"3",200,"interpolated",0,9.527,9.324,9.731,0.992,0.991,0.992,"Maui Nui","1",10.3193449282619
"4",300,"interpolated",0,10.215,9.993,10.437,0.994,0.994,0.995,"Maui Nui","1",11.2148972883983
"5",400,"interpolated",0,10.69,10.469,10.911,0.996,0.996,0.996,"Maui Nui","1",12.0736654208794
"6",500,"interpolated",0,11.031,10.823,11.239,0.997,0.997,0.997,"Maui Nui","1",12.4512670505219
"7",600,"interpolated",0,11.281,11.092,11.47,0.998,0.998,0.998,"Maui Nui","1",13.0201767734012
"8",700,"interpolated",0,11.465,11.298,11.633,0.998,0.998,0.999,"Maui Nui","1",13.2149384140065
"9",800,"interpolated",0,11.602,11.456,11.748,0.999,0.999,0.999,"Maui Nui","1",13.597802941289
"10",900,"interpolated",0,11.704,11.579,11.829,0.999,0.999,0.999,"Maui Nui","1",13.7569744190531
"11",1000,"interpolated",0,11.78,11.674,11.886,0.999,0.999,1,"Maui Nui","1",13.9816212777176
"12",1,"interpolated",0,1,1,1,0.273,0.268,0.278,"Maui Nui","2",1.01907652695323
"13",100,"interpolated",0,8.027,7.866,8.188,0.981,0.979,0.982,"Maui Nui","2",8.52406495953037
"14",200,"interpolated",0,9.484,9.249,9.719,0.989,0.988,0.99,"Maui Nui","2",10.3193449282619
"15",300,"interpolated",0,10.4,10.124,10.676,0.992,0.992,0.993,"Maui Nui","2",11.2148972883983
"16",400,"interpolated",0,11.052,10.756,11.349,0.994,0.994,0.995,"Maui Nui","2",12.0736654208794
"17",500,"interpolated",0,11.543,11.238,11.849,0.996,0.995,0.996,"Maui Nui","2",12.4512670505219
"18",600,"interpolated",0,11.924,11.614,12.234,0.997,0.996,0.997,"Maui Nui","2",13.0201767734012
"19",700,"interpolated",0,12.225,11.913,12.537,0.997,0.997,0.998,"Maui Nui","2",13.2149384140065
"20",800,"interpolated",0,12.467,12.155,12.78,0.998,0.998,0.998,"Maui Nui","2",13.597802941289
"21",900,"interpolated",0,12.665,12.353,12.977,0.998,0.998,0.998,"Maui Nui","2",13.7569744190531
"22",1000,"interpolated",0,12.828,12.517,13.139,0.999,0.998,0.999,"Maui Nui","2",13.9816212777176
"23",1,"interpolated",0,1,1,1,0.282,0.277,0.287,"Maui Nui","3",1.01907652695323
"24",100,"interpolated",0,8.16,7.991,8.328,0.974,0.973,0.975,"Maui Nui","3",8.52406495953037
"25",200,"interpolated",0,10.01,9.797,10.224,0.987,0.986,0.988,"Maui Nui","3",10.3193449282619
"26",300,"interpolated",0,11.021,10.772,11.269,0.992,0.992,0.993,"Maui Nui","3",11.2148972883983
"27",400,"interpolated",0,11.669,11.398,11.94,0.995,0.994,0.995,"Maui Nui","3",12.0736654208794
"28",500,"interpolated",0,12.131,11.85,12.412,0.996,0.996,0.996,"Maui Nui","3",12.4512670505219
"29",600,"interpolated",0,12.481,12.2,12.762,0.997,0.997,0.997,"Maui Nui","3",13.0201767734012
"30",700,"interpolated",0,12.756,12.482,13.029,0.998,0.997,0.998,"Maui Nui","3",13.2149384140065
"31",800,"interpolated",0,12.975,12.713,13.237,0.998,0.998,0.998,"Maui Nui","3",13.597802941289
"32",900,"interpolated",0,13.153,12.905,13.401,0.998,0.998,0.999,"Maui Nui","3",13.7569744190531
"33",1000,"interpolated",0,13.297,13.065,13.53,0.999,0.999,0.999,"Maui Nui","3",13.9816212777176
"34",1,"interpolated",0,1,1,1,0.387,0.38,0.394,"Maui Nui","4",1.01907652695323
"35",100,"interpolated",0,6.846,6.667,7.024,0.98,0.978,0.981,"Maui Nui","4",8.52406495953037
"36",200,"interpolated",0,8.449,8.194,8.704,0.987,0.987,0.988,"Maui Nui","4",10.3193449282619
"37",300,"interpolated",0,9.497,9.209,9.785,0.991,0.991,0.992,"Maui Nui","4",11.2148972883983
"38",400,"interpolated",0,10.236,9.941,10.532,0.994,0.993,0.994,"Maui Nui","4",12.0736654208794
"39",500,"interpolated",0,10.78,10.491,11.068,0.995,0.995,0.996,"Maui Nui","4",12.4512670505219
"40",600,"interpolated",0,11.19,10.916,11.465,0.996,0.996,0.997,"Maui Nui","4",13.0201767734012
"41",700,"interpolated",0,11.506,11.247,11.765,0.997,0.997,0.998,"Maui Nui","4",13.2149384140065
"42",800,"interpolated",0,11.752,11.507,11.997,0.998,0.997,0.998,"Maui Nui","4",13.597802941289
"43",900,"interpolated",0,11.947,11.713,12.181,0.998,0.998,0.999,"Maui Nui","4",13.7569744190531
"44",1000,"interpolated",0,12.103,11.876,12.329,0.999,0.998,0.999,"Maui Nui","4",13.9816212777176
"45",1,"interpolated",0,1,1,1,0.25,0.246,0.254,"Maui Nui","5",1.01907652695323
"46",100,"interpolated",0,8.728,8.534,8.922,0.977,0.975,0.978,"Maui Nui","5",8.52406495953037
"47",200,"interpolated",0,10.487,10.207,10.767,0.987,0.986,0.988,"Maui Nui","5",10.3193449282619
"48",300,"interpolated",0,11.589,11.249,11.93,0.991,0.99,0.992,"Maui Nui","5",11.2148972883983
"49",400,"interpolated",0,12.367,11.977,12.758,0.993,0.993,0.994,"Maui Nui","5",12.0736654208794
"50",500,"interpolated",0,12.959,12.528,13.39,0.995,0.994,0.995,"Maui Nui","5",12.4512670505219
"51",600,"interpolated",0,13.434,12.97,13.897,0.996,0.995,0.996,"Maui Nui","5",13.0201767734012
"52",700,"interpolated",0,13.829,13.341,14.317,0.996,0.996,0.997,"Maui Nui","5",13.2149384140065
"53",800,"interpolated",0,14.166,13.662,14.671,0.997,0.997,0.997,"Maui Nui","5",13.597802941289
"54",900,"interpolated",0,14.459,13.945,14.974,0.997,0.997,0.997,"Maui Nui","5",13.7569744190531
"55",1000,"interpolated",0,14.717,14.196,15.237,0.998,0.997,0.998,"Maui Nui","5",13.9816212777176
"56",1,"interpolated",0,1,1,1,0.478,0.47,0.487,"Maui Nui","6",1.01907652695323
"57",100,"interpolated",0,9.45,9.316,9.584,0.98,0.98,0.981,"Maui Nui","6",8.52406495953037
"58",200,"interpolated",0,10.529,10.404,10.653,0.994,0.994,0.995,"Maui Nui","6",10.3193449282619
"59",300,"interpolated",0,10.91,10.788,11.032,0.997,0.997,0.998,"Maui Nui","6",11.2148972883983
"60",400,"interpolated",0,11.097,10.968,11.227,0.999,0.998,0.999,"Maui Nui","6",12.0736654208794
"61",500,"interpolated",0,11.211,11.071,11.352,0.999,0.999,0.999,"Maui Nui","6",12.4512670505219
"62",600,"interpolated",0,11.292,11.139,11.444,0.999,0.999,0.999,"Maui Nui","6",13.0201767734012
"63",700,"interpolated",0,11.354,11.19,11.518,0.999,0.999,1,"Maui Nui","6",13.2149384140065
"64",800,"interpolated",0,11.406,11.231,11.581,1,0.999,1,"Maui Nui","6",13.597802941289
"65",900,"interpolated",0,11.451,11.267,11.634,1,0.999,1,"Maui Nui","6",13.7569744190531
"66",1000,"interpolated",0,11.491,11.3,11.682,1,1,1,"Maui Nui","6",13.9816212777176
"67",1,"interpolated",0,1,1,1,0.382,0.376,0.388,"Maui Nui","7",1.01907652695323
"68",100,"interpolated",0,8.395,8.217,8.573,0.971,0.97,0.972,"Maui Nui","7",8.52406495953037
"69",200,"interpolated",0,10.491,10.255,10.726,0.985,0.984,0.986,"Maui Nui","7",10.3193449282619
"70",300,"interpolated",0,11.676,11.41,11.942,0.991,0.99,0.991,"Maui Nui","7",11.2148972883983
"71",400,"interpolated",0,12.449,12.164,12.734,0.994,0.993,0.994,"Maui Nui","7",12.0736654208794
"72",500,"interpolated",0,13.005,12.709,13.301,0.995,0.995,0.995,"Maui Nui","7",12.4512670505219
"73",600,"interpolated",0,13.432,13.131,13.733,0.996,0.996,0.996,"Maui Nui","7",13.0201767734012
"74",700,"interpolated",0,13.771,13.469,14.073,0.997,0.997,0.997,"Maui Nui","7",13.2149384140065
"75",800,"interpolated",0,14.049,13.747,14.35,0.997,0.997,0.998,"Maui Nui","7",13.597802941289
"76",900,"interpolated",0,14.279,13.981,14.578,0.998,0.998,0.998,"Maui Nui","7",13.7569744190531
"77",1000,"interpolated",0,14.474,14.179,14.769,0.998,0.998,0.998,"Maui Nui","7",13.9816212777176
"78",1,"interpolated",0,1,1,1,0.439,0.432,0.447,"Maui Nui","8",1.01907652695323
"79",100,"interpolated",0,9.002,8.869,9.135,0.984,0.983,0.985,"Maui Nui","8",8.52406495953037
"80",200,"interpolated",0,9.919,9.744,10.093,0.994,0.994,0.995,"Maui Nui","8",10.3193449282619
"81",300,"interpolated",0,10.379,10.182,10.576,0.996,0.996,0.997,"Maui Nui","8",11.2148972883983
"82",400,"interpolated",0,10.696,10.488,10.904,0.997,0.997,0.998,"Maui Nui","8",12.0736654208794
"83",500,"interpolated",0,10.934,10.723,11.146,0.998,0.998,0.998,"Maui Nui","8",12.4512670505219
"84",600,"interpolated",0,11.12,10.91,11.329,0.998,0.998,0.999,"Maui Nui","8",13.0201767734012
"85",700,"interpolated",0,11.267,11.062,11.472,0.999,0.999,0.999,"Maui Nui","8",13.2149384140065
"86",800,"interpolated",0,11.386,11.187,11.585,0.999,0.999,0.999,"Maui Nui","8",13.597802941289
"87",900,"interpolated",0,11.482,11.29,11.674,0.999,0.999,0.999,"Maui Nui","8",13.7569744190531
"88",1000,"interpolated",0,11.562,11.377,11.746,0.999,0.999,0.999,"Maui Nui","8",13.9816212777176
"89",1,"interpolated",0,1,1,1,0.38,0.374,0.386,"Maui Nui","9",1.01907652695323
"90",100,"interpolated",0,6.949,6.802,7.096,0.983,0.983,0.984,"Maui Nui","9",8.52406495953037
"91",200,"interpolated",0,8.247,8.043,8.45,0.99,0.989,0.99,"Maui Nui","9",10.3193449282619
"92",300,"interpolated",0,9.095,8.866,9.325,0.993,0.993,0.994,"Maui Nui","9",11.2148972883983
"93",400,"interpolated",0,9.678,9.433,9.923,0.995,0.995,0.996,"Maui Nui","9",12.0736654208794
"94",500,"interpolated",0,10.092,9.838,10.346,0.996,0.996,0.997,"Maui Nui","9",12.4512670505219
"95",600,"interpolated",0,10.396,10.136,10.656,0.997,0.997,0.998,"Maui Nui","9",13.0201767734012
"96",700,"interpolated",0,10.627,10.364,10.891,0.998,0.998,0.998,"Maui Nui","9",13.2149384140065
"97",800,"interpolated",0,10.808,10.543,11.073,0.998,0.998,0.999,"Maui Nui","9",13.597802941289
"98",900,"interpolated",0,10.952,10.687,11.218,0.999,0.998,0.999,"Maui Nui","9",13.7569744190531
"99",1000,"interpolated",0,11.071,10.806,11.337,0.999,0.999,0.999,"Maui Nui","9",13.9816212777176
"100",1,"interpolated",0,1,1,1,0.273,0.268,0.279,"Maui Nui","10",1.01907652695323
"101",100,"interpolated",0,9.488,9.326,9.65,0.984,0.982,0.985,"Maui Nui","10",8.52406495953037
"102",200,"interpolated",0,10.656,10.414,10.897,0.991,0.99,0.992,"Maui Nui","10",10.3193449282619
"103",300,"interpolated",0,11.396,11.095,11.696,0.994,0.993,0.994,"Maui Nui","10",11.2148972883983
"104",400,"interpolated",0,11.949,11.603,12.295,0.995,0.995,0.996,"Maui Nui","10",12.0736654208794
"105",500,"interpolated",0,12.388,12.007,12.769,0.996,0.996,0.996,"Maui Nui","10",12.4512670505219
"106",600,"interpolated",0,12.749,12.341,13.158,0.997,0.996,0.997,"Maui Nui","10",13.0201767734012
"107",700,"interpolated",0,13.055,12.624,13.486,0.997,0.997,0.997,"Maui Nui","10",13.2149384140065
"108",800,"interpolated",0,13.317,12.869,13.766,0.998,0.997,0.998,"Maui Nui","10",13.597802941289
"109",900,"interpolated",0,13.547,13.084,14.01,0.998,0.998,0.998,"Maui Nui","10",13.7569744190531
"110",1000,"interpolated",0,13.749,13.275,14.223,0.998,0.998,0.998,"Maui Nui","10",13.9816212777176
"111",1,"interpolated",0,1,1,1,0.251,0.248,0.255,"Maui Nui","11",1.01907652695323
"112",100,"interpolated",0,9.919,9.674,10.164,0.966,0.964,0.968,"Maui Nui","11",8.52406495953037
"113",200,"interpolated",0,12.662,12.279,13.044,0.977,0.976,0.979,"Maui Nui","11",10.3193449282619
"114",300,"interpolated",0,14.602,14.127,15.077,0.983,0.982,0.984,"Maui Nui","11",11.2148972883983
"115",400,"interpolated",0,16.08,15.543,16.617,0.987,0.986,0.988,"Maui Nui","11",12.0736654208794
"116",500,"interpolated",0,17.249,16.672,17.826,0.99,0.989,0.99,"Maui Nui","11",12.4512670505219
"117",600,"interpolated",0,18.196,17.593,18.799,0.991,0.991,0.992,"Maui Nui","11",13.0201767734012
"118",700,"interpolated",0,18.975,18.357,19.593,0.993,0.993,0.993,"Maui Nui","11",13.2149384140065
"119",800,"interpolated",0,19.624,18.997,20.25,0.994,0.994,0.994,"Maui Nui","11",13.597802941289
"120",900,"interpolated",0,20.169,19.538,20.799,0.995,0.995,0.995,"Maui Nui","11",13.7569744190531
"121",1000,"interpolated",0,20.629,19.999,21.26,0.996,0.995,0.996,"Maui Nui","11",13.9816212777176
"122",1,"interpolated",0,1,1,1,0.286,0.283,0.29,"Maui Nui","12",1.01907652695323
"123",100,"interpolated",0,7.674,7.512,7.837,0.972,0.971,0.973,"Maui Nui","12",8.52406495953037
"124",200,"interpolated",0,9.88,9.666,10.095,0.983,0.982,0.983,"Maui Nui","12",10.3193449282619
"125",300,"interpolated",0,11.27,11.036,11.503,0.989,0.988,0.989,"Maui Nui","12",11.2148972883983
"126",400,"interpolated",0,12.188,11.945,12.431,0.992,0.992,0.993,"Maui Nui","12",12.0736654208794
"127",500,"interpolated",0,12.822,12.575,13.07,0.995,0.994,0.995,"Maui Nui","12",12.4512670505219
"128",600,"interpolated",0,13.278,13.03,13.526,0.996,0.996,0.996,"Maui Nui","12",13.0201767734012
"129",700,"interpolated",0,13.618,13.373,13.862,0.997,0.997,0.997,"Maui Nui","12",13.2149384140065
"130",800,"interpolated",0,13.877,13.639,14.115,0.998,0.998,0.998,"Maui Nui","12",13.597802941289
"131",900,"interpolated",0,14.08,13.852,14.308,0.998,0.998,0.998,"Maui Nui","12",13.7569744190531
"132",1000,"interpolated",0,14.242,14.025,14.458,0.999,0.998,0.999,"Maui Nui","12",13.9816212777176
"133",1,"interpolated",0,1,1,1,0.308,0.304,0.312,"Maui Nui","13",1.01907652695323
"134",100,"interpolated",0,8.841,8.659,9.023,0.975,0.973,0.976,"Maui Nui","13",8.52406495953037
"135",200,"interpolated",0,10.88,10.574,11.187,0.983,0.982,0.984,"Maui Nui","13",10.3193449282619
"136",300,"interpolated",0,12.331,11.942,12.721,0.987,0.987,0.988,"Maui Nui","13",11.2148972883983
"137",400,"interpolated",0,13.457,13.013,13.901,0.99,0.989,0.991,"Maui Nui","13",12.0736654208794
"138",500,"interpolated",0,14.361,13.882,14.841,0.992,0.991,0.992,"Maui Nui","13",12.4512670505219
"139",600,"interpolated",0,15.104,14.601,15.606,0.993,0.993,0.994,"Maui Nui","13",13.0201767734012
"140",700,"interpolated",0,15.723,15.206,16.241,0.994,0.994,0.995,"Maui Nui","13",13.2149384140065
"141",800,"interpolated",0,16.247,15.72,16.774,0.995,0.995,0.995,"Maui Nui","13",13.597802941289
"142",900,"interpolated",0,16.695,16.163,17.228,0.996,0.996,0.996,"Maui Nui","13",13.7569744190531
"143",1000,"interpolated",0,17.082,16.547,17.617,0.996,0.996,0.997,"Maui Nui","13",13.9816212777176
"144",1,"interpolated",0,1,1,1,0.305,0.301,0.31,"Maui Nui","14",1.01907652695323
"145",100,"interpolated",0,6.156,6.006,6.306,0.984,0.983,0.985,"Maui Nui","14",8.52406495953037
"146",200,"interpolated",0,7.449,7.245,7.652,0.99,0.989,0.99,"Maui Nui","14",10.3193449282619
"147",300,"interpolated",0,8.296,8.063,8.529,0.993,0.993,0.994,"Maui Nui","14",11.2148972883983
"148",400,"interpolated",0,8.894,8.638,9.15,0.995,0.994,0.995,"Maui Nui","14",12.0736654208794
"149",500,"interpolated",0,9.342,9.065,9.618,0.996,0.996,0.996,"Maui Nui","14",12.4512670505219
