"geo_entity2","mean_MAP","r_MAP","mean_MAT","r_MAT","mean_PET","r_PET","r_Elev","m_PlotArea"
"Hawai'i Island",3239.26680454799,2821.80130310059,18.6980043928964,9.37412675857544,1230.81303362165,316.859753417967,1850.97193296432,5004.92282862919
"Kaua'i Island",2020.64314819336,1513.5407836914,18.1525597218105,6.74759005546569,1242.56852800642,185.747512207032,992.092420654297,5281.750398
"Maui Nui",4989.43574166434,2536.88982055664,17.1360666997092,6.21101852416993,1176.94013392857,138.305469970703,1111.2691217041,6600.630716
"O'ahu Island",2193.79820539202,2016.42363769531,20.9390261486598,3.66604362487796,1308.37660452706,70.030731201167,548.480358581543,5747.36957
