"geo_entity2","beta_ENS_PIE","l.QD","h.QD"
"Hawai'i",1.76417909952086,1.6542151018193,1.89115738717294
"Maui Nui",1.51505798489202,1.45836757422227,1.58045433442079
"O'ahu",2.03136867888375,1.89519238865986,2.16277442286924
"Kaua'i",2.2248925877342,2.14795115556954,2.31075572339692
