"geo_entity2","beta_ENS_PIE","l.QD","h.QD"
"Hawai'i",1.81514257922923,1.68647835966655,1.94439278282256
"Maui Nui",1.47863909431449,1.41131633777429,1.54706050297717
"O'ahu",1.7530040595884,1.63866313057953,1.87480080546858
"Kaua'i",2.0142667834953,1.92920226337218,2.10225597150458
