"geo_entity2","mean_MAP","mean_PET","r_PET","m_PlotArea","sd_PlotArea"
"Hawai'i Island",3347.85485555013,1248.76699937608,172.483439941406,7181.1476,323.525516200138
"Kaua'i Island",1956.35253851996,1264.59167521159,190.923135986326,7314.3282,249.980471784288
"Maui Nui",4992.25602511936,1178.65931491428,138.335419921876,7656.907,189.196178018394
"O'ahu Island",2039.31224582248,1311.5824239095,76.6111376953071,7377.7032,236.484941792722
