"geo_entity2","SPP_CODE3A","RelAbund","Rank","Rank_N","iteration","RankN_pred"
"1","Maui Nui","ANTPLA",0.000465549348230912,1,0.0555555555555556,"1",0.0852911287493733
"2","Maui Nui","MYRLES",0.000465549348230912,2,0.111111111111111,"1",0.0852911287493733
"3","Maui Nui","OSTANT",0.000465549348230912,3,0.166666666666667,"1",0.0852911287493733
"4","Maui Nui","POUSAN",0.000465549348230912,4,0.222222222222222,"1",0.0852911287493733
"5","Maui Nui","MYOSAN",0.000931098696461825,5,0.277777777777778,"1",0.165027185985891
"6","Maui Nui","PSYSPP",0.00186219739292365,6,0.333333333333333,"1",0.276047588591727
"7","Maui Nui","SADPAL",0.00186219739292365,7,0.388888888888889,"1",0.276047588591727
"8","Maui Nui","SYZSAN",0.00279329608938547,8,0.444444444444444,"1",0.350260090640117
"9","Maui Nui","PSYODO",0.0037243947858473,9,0.5,"1",0.405302151254588
"10","Maui Nui","ILEANO",0.00651769087523277,10,0.555555555555556,"1",0.51255903450716
"11","Maui Nui","MELCLU",0.00837988826815642,11,0.611111111111111,"1",0.555739268829904
"12","Maui Nui","ACAKOA",0.0111731843575419,12,0.666666666666667,"1",0.597076289422071
"13","Maui Nui","NESSAN",0.0200186219739292,13,0.722222222222222,"1",0.654644914683399
"14","Maui Nui","DIOSAN",0.0307262569832402,14,0.777777777777778,"1",0.688910767596386
"15","Maui Nui","CHETRI",0.0614525139664804,15,0.833333333333333,"1",0.763094321415767
"16","Maui Nui","CIBGLA",0.0875232774674116,16,0.888888888888889,"1",0.809876686951553
"17","Maui Nui","CIBMEN",0.249534450651769,17,0.944444444444444,"1",0.935912851968892
"18","Maui Nui","METPOL",0.511638733705773,18,1,"1",1.00406813805329
"19","Maui Nui","PITGLA",0.000441306266548985,1,0.0833333333333333,"2",0.0802207406632223
"20","Maui Nui","POLOAH",0.00088261253309797,2,0.166666666666667,"2",0.157715431606358
"21","Maui Nui","CIBSPP",0.00176522506619594,3,0.25,"2",0.266632810777806
"22","Maui Nui","ILEANO",0.00220653133274492,4,0.333333333333333,"2",0.306541263469722
