"geo_entity2","Partition","Mean","Lower","Upper"
"Hawai'i Island","adjr2_env",0.0681638906984265,0.0223084038511452,0.115314518926622
"Hawai'i Island","adjr2_env_space",0.0758889148222549,0.0035435949100933,0.145278077667248
"Hawai'i Island","adjr2_space",-0.00647241121487938,-0.0525046154866214,0.0408664917523776
"Kaua'i Island","adjr2_env",0.157282838062563,0.120853827933969,0.195442200255516
"Kaua'i Island","adjr2_env_space",0.201608923988771,0.124806564733422,0.274991863255068
"Kaua'i Island","adjr2_space",0.063603219135959,0.013276001009376,0.110358876280047
"Maui Nui","adjr2_env",0.308768271948664,0.264974319063031,0.352876228682538
"Maui Nui","adjr2_env_space",0.53489955407733,0.471107608857213,0.597839765040928
"Maui Nui","adjr2_space",0.289629631858121,0.237808703361139,0.345169130682126
"O'ahu Island","adjr2_env",0.285443011397236,0.242564731004808,0.325993622142073
"O'ahu Island","adjr2_env_space",0.193631488907593,0.126171330588626,0.256702645605468
"O'ahu Island","adjr2_space",-0.039400739499165,-0.0755483960734966,-3.01246793524381e-05
