"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1,"interpolated",0,1,1,1,0.322,0.316,0.327,"Hawai'i Island",1
100,"interpolated",0,7.178,7.105,7.251,0.993,0.993,0.994,"Hawai'i Island",1
200,"interpolated",0,7.518,7.416,7.621,0.998,0.998,0.998,"Hawai'i Island",1
300,"interpolated",0,7.674,7.569,7.779,0.999,0.999,0.999,"Hawai'i Island",1
400,"interpolated",0,7.778,7.683,7.872,0.999,0.999,0.999,"Hawai'i Island",1
500,"interpolated",0,7.849,7.768,7.929,0.999,0.999,1,"Hawai'i Island",1
600,"interpolated",0,7.897,7.832,7.963,1,0.999,1,"Hawai'i Island",1
700,"interpolated",0,7.931,7.879,7.983,1,1,1,"Hawai'i Island",1
800,"interpolated",0,7.953,7.913,7.994,1,1,1,"Hawai'i Island",1
900,"interpolated",0,7.969,7.938,8,1,1,1,"Hawai'i Island",1
1000,"interpolated",0,7.979,7.956,8.003,1,1,1,"Hawai'i Island",1
1,"interpolated",0,1,1,1,0.244,0.239,0.249,"Kaua'i Island",1
100,"interpolated",0,15.164,14.806,15.522,0.936,0.934,0.939,"Kaua'i Island",1
200,"interpolated",0,19.608,19.099,20.116,0.969,0.967,0.97,"Kaua'i Island",1
300,"interpolated",0,22.051,21.447,22.656,0.981,0.98,0.982,"Kaua'i Island",1
400,"interpolated",0,23.652,22.982,24.321,0.987,0.986,0.987,"Kaua'i Island",1
500,"interpolated",0,24.804,24.094,25.514,0.99,0.989,0.991,"Kaua'i Island",1
600,"interpolated",0,25.684,24.951,26.416,0.992,0.992,0.993,"Kaua'i Island",1
700,"interpolated",0,26.379,25.639,27.12,0.994,0.993,0.994,"Kaua'i Island",1
800,"interpolated",0,26.944,26.206,27.682,0.995,0.995,0.995,"Kaua'i Island",1
900,"interpolated",0,27.409,26.681,28.136,0.996,0.995,0.996,"Kaua'i Island",1
1000,"interpolated",0,27.797,27.086,28.508,0.996,0.996,0.997,"Kaua'i Island",1
1,"interpolated",0,1,1,1,0.276,0.269,0.283,"Maui Nui",1
100,"interpolated",0,10.52,10.267,10.772,0.97,0.968,0.972,"Maui Nui",1
200,"interpolated",0,12.826,12.454,13.197,0.982,0.981,0.983,"Maui Nui",1
300,"interpolated",0,14.308,13.866,14.75,0.988,0.987,0.988,"Maui Nui",1
400,"interpolated",0,15.378,14.895,15.86,0.991,0.99,0.991,"Maui Nui",1
500,"interpolated",0,16.193,15.689,16.697,0.993,0.992,0.993,"Maui Nui",1
600,"interpolated",0,16.833,16.321,17.345,0.994,0.994,0.995,"Maui Nui",1
700,"interpolated",0,17.346,16.836,17.856,0.995,0.995,0.996,"Maui Nui",1
800,"interpolated",0,17.763,17.262,18.264,0.996,0.996,0.996,"Maui Nui",1
