"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1,"interpolated",0,1,1,1,0.325,0.317,0.333,"Hawai'i Island",1
100,"interpolated",0,10.622,10.438,10.806,0.978,0.977,0.979,"Hawai'i Island",1
200,"interpolated",0,12.313,12.057,12.57,0.987,0.986,0.987,"Hawai'i Island",1
300,"interpolated",0,13.415,13.143,13.688,0.991,0.991,0.991,"Hawai'i Island",1
400,"interpolated",0,14.169,13.909,14.429,0.994,0.993,0.994,"Hawai'i Island",1
500,"interpolated",0,14.695,14.46,14.929,0.996,0.995,0.996,"Hawai'i Island",1
600,"interpolated",0,15.066,14.861,15.27,0.997,0.997,0.997,"Hawai'i Island",1
700,"interpolated",0,15.329,15.153,15.505,0.998,0.997,0.998,"Hawai'i Island",1
800,"interpolated",0,15.517,15.368,15.666,0.998,0.998,0.999,"Hawai'i Island",1
900,"interpolated",0,15.651,15.526,15.777,0.999,0.999,0.999,"Hawai'i Island",1
1000,"interpolated",0,15.748,15.642,15.853,0.999,0.999,0.999,"Hawai'i Island",1
1,"interpolated",0,1,1,1,0.203,0.2,0.206,"Kaua'i Island",1
100,"interpolated",0,13.64,13.384,13.897,0.945,0.943,0.947,"Kaua'i Island",1
200,"interpolated",0,17.783,17.383,18.183,0.968,0.967,0.97,"Kaua'i Island",1
300,"interpolated",0,20.398,19.904,20.891,0.978,0.977,0.98,"Kaua'i Island",1
400,"interpolated",0,22.238,21.679,22.798,0.984,0.983,0.985,"Kaua'i Island",1
500,"interpolated",0,23.622,23.012,24.233,0.988,0.987,0.989,"Kaua'i Island",1
600,"interpolated",0,24.712,24.06,25.363,0.99,0.99,0.991,"Kaua'i Island",1
700,"interpolated",0,25.598,24.914,26.283,0.992,0.991,0.992,"Kaua'i Island",1
800,"interpolated",0,26.338,25.627,27.049,0.993,0.993,0.994,"Kaua'i Island",1
900,"interpolated",0,26.968,26.236,27.699,0.994,0.994,0.995,"Kaua'i Island",1
1000,"interpolated",0,27.512,26.766,28.259,0.995,0.995,0.995,"Kaua'i Island",1
1,"interpolated",0,1,1,1,0.266,0.261,0.271,"Maui Nui",1
100,"interpolated",0,7.271,7.146,7.396,0.989,0.988,0.99,"Maui Nui",1
200,"interpolated",0,8.086,7.909,8.263,0.994,0.993,0.994,"Maui Nui",1
300,"interpolated",0,8.606,8.399,8.814,0.996,0.995,0.996,"Maui Nui",1
400,"interpolated",0,8.975,8.745,9.205,0.997,0.997,0.997,"Maui Nui",1
500,"interpolated",0,9.252,9.005,9.499,0.998,0.997,0.998,"Maui Nui",1
600,"interpolated",0,9.471,9.211,9.732,0.998,0.998,0.998,"Maui Nui",1
700,"interpolated",0,9.651,9.38,9.922,0.998,0.998,0.999,"Maui Nui",1
800,"interpolated",0,9.801,9.523,10.08,0.999,0.998,0.999,"Maui Nui",1
900,"interpolated",0,9.93,9.647,10.214,0.999,0.999,0.999,"Maui Nui",1
1000,"interpolated",0,10.042,9.755,10.329,0.999,0.999,0.999,"Maui Nui",1
1,"interpolated",0,1,1,1,0.419,0.413,0.425,"O'ahu Island",1
100,"interpolated",0,7.011,6.828,7.194,0.975,0.974,0.976,"O'ahu Island",1
200,"interpolated",0,8.92,8.657,9.183,0.985,0.985,0.986,"O'ahu Island",1
300,"interpolated",0,10.149,9.842,10.457,0.99,0.989,0.99,"O'ahu Island",1
400,"interpolated",0,11.037,10.704,11.37,0.992,0.992,0.993,"O'ahu Island",1
500,"interpolated",0,11.707,11.359,12.055,0.994,0.994,0.995,"O'ahu Island",1
600,"interpolated",0,12.225,11.869,12.581,0.995,0.995,0.996,"O'ahu Island",1
700,"interpolated",0,12.634,12.274,12.994,0.996,0.996,0.997,"O'ahu Island",1
800,"interpolated",0,12.962,12.6,13.323,0.997,0.997,0.997,"O'ahu Island",1
900,"interpolated",0,13.228,12.867,13.588,0.998,0.997,0.998,"O'ahu Island",1
1000,"interpolated",0,13.447,13.088,13.806,0.998,0.998,0.998,"O'ahu Island",1
1,"interpolated",0,1,1,1,0.359,0.352,0.366,"Hawai'i Island",2
100,"interpolated",0,7.17,6.963,7.376,0.979,0.977,0.98,"Hawai'i Island",2
200,"interpolated",0,8.645,8.396,8.893,0.99,0.989,0.991,"Hawai'i Island",2
300,"interpolated",0,9.403,9.149,9.656,0.994,0.994,0.995,"Hawai'i Island",2
400,"interpolated",0,9.846,9.6,10.093,0.997,0.996,0.997,"Hawai'i Island",2
500,"interpolated",0,10.127,9.889,10.365,0.998,0.997,0.998,"Hawai'i Island",2
600,"interpolated",0,10.315,10.083,10.547,0.998,0.998,0.999,"Hawai'i Island",2
700,"interpolated",0,10.447,10.218,10.675,0.999,0.999,0.999,"Hawai'i Island",2
