"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1000,"interpolated",0,20.042,19.762,20.322,0.997,0.997,0.998,"Hawai'i Island",4
10000,"interpolated",0,24.6,24.221,24.98,1,1,1,"Hawai'i Island",4
1000,"interpolated",1,6.953,6.876,7.03,0.997,0.997,0.998,"Hawai'i Island",4
10000,"interpolated",1,7.027,6.949,7.106,1,1,1,"Hawai'i Island",4
1000,"interpolated",2,4.012,3.966,4.059,0.997,0.997,0.998,"Hawai'i Island",4
10000,"interpolated",2,4.023,3.977,4.07,1,1,1,"Hawai'i Island",4
1000,"interpolated",0,25.004,24.583,25.425,0.997,0.996,0.997,"Kaua'i Island",4
10000,"interpolated",0,29.885,29.714,30.056,1,1,1,"Kaua'i Island",4
1000,"interpolated",1,8.071,7.969,8.172,0.997,0.996,0.997,"Kaua'i Island",4
10000,"interpolated",1,8.18,8.077,8.282,1,1,1,"Kaua'i Island",4
1000,"interpolated",2,5.084,5.006,5.161,0.997,0.996,0.997,"Kaua'i Island",4
10000,"interpolated",2,5.103,5.025,5.181,1,1,1,"Kaua'i Island",4
1000,"interpolated",0,14.604,14.29,14.918,0.999,0.999,0.999,"Maui Nui",4
10000,"interpolated",0,15.998,15.716,16.279,1,1,1,"Maui Nui",4
1000,"interpolated",1,4.241,4.172,4.309,0.999,0.999,0.999,"Maui Nui",4
10000,"interpolated",1,4.27,4.201,4.339,1,1,1,"Maui Nui",4
1000,"interpolated",2,2.816,2.766,2.866,0.999,0.999,0.999,"Maui Nui",4
10000,"interpolated",2,2.821,2.77,2.871,1,1,1,"Maui Nui",4
1000,"interpolated",0,26.358,26.023,26.694,0.996,0.996,0.996,"O'ahu Island",4
10000,"interpolated",0,32.467,32.012,32.921,1,1,1,"O'ahu Island",4
1000,"interpolated",1,11.336,11.257,11.415,0.996,0.996,0.996,"O'ahu Island",4
10000,"interpolated",1,11.501,11.42,11.581,1,1,1,"O'ahu Island",4
1000,"interpolated",2,8.06,7.98,8.14,0.996,0.996,0.996,"O'ahu Island",4
10000,"interpolated",2,8.111,8.03,8.193,1,1,1,"O'ahu Island",4
1000,"interpolated",0,14.942,14.789,15.096,0.999,0.999,0.999,"Hawai'i Island",5
10000,"interpolated",0,15.925,15.73,16.12,1,1,1,"Hawai'i Island",5
1000,"interpolated",1,8.783,8.709,8.857,0.999,0.999,0.999,"Hawai'i Island",5
10000,"interpolated",1,8.843,8.768,8.918,1,1,1,"Hawai'i Island",5
1000,"interpolated",2,6.86,6.783,6.937,0.999,0.999,0.999,"Hawai'i Island",5
10000,"interpolated",2,6.897,6.819,6.974,1,1,1,"Hawai'i Island",5
1000,"interpolated",0,21.135,20.758,21.512,0.995,0.995,0.995,"Kaua'i Island",5
10000,"interpolated",0,31.545,30.956,32.135,1,1,1,"Kaua'i Island",5
1000,"interpolated",1,4.386,4.335,4.438,0.995,0.995,0.995,"Kaua'i Island",5
10000,"interpolated",1,4.446,4.394,4.498,1,1,1,"Kaua'i Island",5
1000,"interpolated",2,2.411,2.386,2.437,0.995,0.995,0.995,"Kaua'i Island",5
10000,"interpolated",2,2.414,2.389,2.44,1,1,1,"Kaua'i Island",5
1000,"interpolated",0,16.005,15.634,16.377,0.997,0.997,0.997,"Maui Nui",5
10000,"interpolated",0,19.945,19.766,20.125,1,1,1,"Maui Nui",5
1000,"interpolated",1,6.13,6.073,6.187,0.997,0.997,0.997,"Maui Nui",5
10000,"interpolated",1,6.185,6.128,6.243,1,1,1,"Maui Nui",5
1000,"interpolated",2,4.675,4.628,4.722,0.997,0.997,0.997,"Maui Nui",5
10000,"interpolated",2,4.69,4.643,4.737,1,1,1,"Maui Nui",5
1000,"interpolated",0,29.295,28.945,29.646,0.994,0.994,0.994,"O'ahu Island",5
10000,"interpolated",0,36.674,36.288,37.06,1,1,1,"O'ahu Island",5
1000,"interpolated",1,11.046,10.922,11.17,0.994,0.994,0.994,"O'ahu Island",5
10000,"interpolated",1,11.234,11.108,11.361,1,1,1,"O'ahu Island",5
1000,"interpolated",2,7.681,7.588,7.774,0.994,0.994,0.994,"O'ahu Island",5
10000,"interpolated",2,7.728,7.633,7.822,1,1,1,"O'ahu Island",5
1000,"interpolated",0,19.491,19.043,19.939,0.996,0.995,0.996,"Hawai'i Island",6
10000,"interpolated",0,26.451,26.041,26.861,1,1,1,"Hawai'i Island",6
1000,"interpolated",1,6.287,6.229,6.344,0.996,0.995,0.996,"Hawai'i Island",6
10000,"interpolated",1,6.361,6.302,6.42,1,1,1,"Hawai'i Island",6
1000,"interpolated",2,4.501,4.465,4.537,0.996,0.995,0.996,"Hawai'i Island",6
10000,"interpolated",2,4.515,4.478,4.551,1,1,1,"Hawai'i Island",6
1000,"interpolated",0,30.791,30.179,31.402,0.992,0.992,0.992,"Kaua'i Island",6
10000,"interpolated",0,43.682,43.335,44.029,1,1,1,"Kaua'i Island",6
