"geo_entity2","mean_MAP","r_MAP","mean_MAT","r_MAT","mean_PET","r_PET","r_Elev","m_PlotArea","sd_PlotArea"
"Hawai'i Island",3358.47860632324,2366.12020812988,18.8443033466339,8.2300269317627,1235.36074523926,273.216581420898,1575.66519477844,3896.3611,366.6537938068
"Kaua'i Island",1978.10925854492,1302.24301879883,18.782577047348,6.2207874584198,1263.2055144043,184.218580322264,920.04248123169,3938.19,578.05219234665
"Maui Nui",5114.20642089844,1984.05704833984,17.1783548431397,5.7347111606598,1178.43230737305,127.602354736328,1024.21711914063,4439.609,302.139001041747
"O'ahu Island",2069.32251123047,1575.70775878906,21.1322583312988,3.28811542510989,1311.7518527832,66.0088452148392,479.94776971817,4186.0963,341.197535536042
