"geo_entity2","beta_S","l.QD","h.QD"
"Hawai'i",4.53518412698413,4.31837341269841,4.76079005952381
"Maui Nui",3.29347265512266,3.09816362554113,3.4940823502886
"O'ahu",5.65541428571429,5.358835,5.98918583333333
"Kaua'i",8.34300849673203,7.89334822712418,8.86212091094771
