"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","qD_pred"
"59",300,"interpolated",0,12.953,12.651,13.256,0.987,0.986,0.988,"Maui Nui","6",11.0360684996406
"60",400,"interpolated",0,14.033,13.697,14.369,0.991,0.99,0.992,"Maui Nui","6",11.897340665704
"61",500,"interpolated",0,14.825,14.455,15.195,0.993,0.993,0.994,"Maui Nui","6",12.2840558128155
"62",600,"interpolated",0,15.444,15.043,15.844,0.994,0.994,0.995,"Maui Nui","6",12.8441970205628
"63",700,"interpolated",0,15.951,15.525,16.378,0.995,0.995,0.996,"Maui Nui","6",13.0407000574376
"64",800,"interpolated",0,16.383,15.935,16.831,0.996,0.996,0.996,"Maui Nui","6",13.4124407545958
"65",900,"interpolated",0,16.759,16.294,17.225,0.996,0.996,0.997,"Maui Nui","6",13.567588362846
"66",1000,"interpolated",0,17.094,16.615,17.572,0.997,0.997,0.997,"Maui Nui","6",13.7833113214636
"67",1,"interpolated",0,1,1,1,0.606,0.597,0.615,"Maui Nui","7",1.02001246810175
"68",100,"interpolated",0,7.725,7.58,7.869,0.978,0.977,0.979,"Maui Nui","7",8.31903446661933
"69",200,"interpolated",0,9.159,8.966,9.352,0.991,0.99,0.991,"Maui Nui","7",10.1229805702121
"70",300,"interpolated",0,9.862,9.64,10.083,0.995,0.994,0.995,"Maui Nui","7",11.0360684996406
"71",400,"interpolated",0,10.306,10.069,10.542,0.996,0.996,0.997,"Maui Nui","7",11.897340665704
"72",500,"interpolated",0,10.621,10.378,10.864,0.997,0.997,0.998,"Maui Nui","7",12.2840558128155
"73",600,"interpolated",0,10.857,10.611,11.104,0.998,0.998,0.998,"Maui Nui","7",12.8441970205628
"74",700,"interpolated",0,11.039,10.791,11.288,0.998,0.998,0.999,"Maui Nui","7",13.0407000574376
"75",800,"interpolated",0,11.182,10.932,11.433,0.999,0.999,0.999,"Maui Nui","7",13.4124407545958
"76",900,"interpolated",0,11.296,11.044,11.548,0.999,0.999,0.999,"Maui Nui","7",13.567588362846
"77",1000,"interpolated",0,11.388,11.133,11.642,0.999,0.999,0.999,"Maui Nui","7",13.7833113214636
"78",1,"interpolated",0,1,1,1,0.269,0.263,0.275,"Maui Nui","8",1.02001246810175
"79",100,"interpolated",0,11.976,11.763,12.19,0.968,0.967,0.97,"Maui Nui","8",8.31903446661933
"80",200,"interpolated",0,14.281,13.997,14.564,0.983,0.982,0.984,"Maui Nui","8",10.1229805702121
"81",300,"interpolated",0,15.66,15.33,15.991,0.989,0.988,0.99,"Maui Nui","8",11.0360684996406
"82",400,"interpolated",0,16.588,16.216,16.96,0.992,0.992,0.993,"Maui Nui","8",11.897340665704
"83",500,"interpolated",0,17.261,16.852,17.67,0.994,0.994,0.995,"Maui Nui","8",12.2840558128155
"84",600,"interpolated",0,17.778,17.34,18.216,0.995,0.995,0.996,"Maui Nui","8",12.8441970205628
"85",700,"interpolated",0,18.193,17.734,18.652,0.996,0.996,0.997,"Maui Nui","8",13.0407000574376
"86",800,"interpolated",0,18.536,18.063,19.009,0.997,0.997,0.997,"Maui Nui","8",13.4124407545958
"87",900,"interpolated",0,18.825,18.345,19.306,0.997,0.997,0.998,"Maui Nui","8",13.567588362846
"88",1000,"interpolated",0,19.073,18.591,19.556,0.998,0.998,0.998,"Maui Nui","8",13.7833113214636
"89",1,"interpolated",0,1,1,1,0.224,0.221,0.228,"Maui Nui","9",1.02001246810175
"90",100,"interpolated",0,8.312,8.189,8.434,0.985,0.984,0.986,"Maui Nui","9",8.31903446661933
"91",200,"interpolated",0,9.405,9.224,9.586,0.992,0.991,0.992,"Maui Nui","9",10.1229805702121
"92",300,"interpolated",0,10.095,9.889,10.301,0.994,0.994,0.995,"Maui Nui","9",11.0360684996406
"93",400,"interpolated",0,10.579,10.367,10.792,0.996,0.996,0.996,"Maui Nui","9",11.897340665704
"94",500,"interpolated",0,10.929,10.72,11.137,0.997,0.997,0.997,"Maui Nui","9",12.2840558128155
"95",600,"interpolated",0,11.185,10.987,11.383,0.998,0.998,0.998,"Maui Nui","9",12.8441970205628
"96",700,"interpolated",0,11.376,11.192,11.56,0.998,0.998,0.999,"Maui Nui","9",13.0407000574376
"97",800,"interpolated",0,11.52,11.353,11.687,0.999,0.999,0.999,"Maui Nui","9",13.4124407545958
"98",900,"interpolated",0,11.629,11.479,11.779,0.999,0.999,0.999,"Maui Nui","9",13.567588362846
"99",1000,"interpolated",0,11.713,11.58,11.846,0.999,0.999,0.999,"Maui Nui","9",13.7833113214636
"100",1,"interpolated",0,1,1,1,0.445,0.438,0.451,"Maui Nui","10",1.02001246810175
"101",100,"interpolated",0,6.297,6.167,6.428,0.983,0.983,0.984,"Maui Nui","10",8.31903446661933
"102",200,"interpolated",0,7.567,7.403,7.731,0.99,0.99,0.991,"Maui Nui","10",10.1229805702121
"103",300,"interpolated",0,8.325,8.143,8.506,0.994,0.994,0.994,"Maui Nui","10",11.0360684996406
"104",400,"interpolated",0,8.815,8.619,9.011,0.996,0.996,0.996,"Maui Nui","10",11.897340665704
"105",500,"interpolated",0,9.158,8.95,9.366,0.997,0.997,0.997,"Maui Nui","10",12.2840558128155
"106",600,"interpolated",0,9.413,9.196,9.629,0.998,0.998,0.998,"Maui Nui","10",12.8441970205628
"107",700,"interpolated",0,9.611,9.388,9.833,0.998,0.998,0.998,"Maui Nui","10",13.0407000574376
"108",800,"interpolated",0,9.77,9.544,9.997,0.999,0.998,0.999,"Maui Nui","10",13.4124407545958
"109",900,"interpolated",0,9.901,9.672,10.13,0.999,0.999,0.999,"Maui Nui","10",13.567588362846
"110",1000,"interpolated",0,10.011,9.78,10.241,0.999,0.999,0.999,"Maui Nui","10",13.7833113214636
"111",1,"interpolated",0,1,1,1,0.251,0.245,0.256,"Maui Nui","11",1.02001246810175
"112",100,"interpolated",0,9.864,9.638,10.09,0.971,0.97,0.973,"Maui Nui","11",8.31903446661933
"113",200,"interpolated",0,12.139,11.818,12.461,0.982,0.981,0.983,"Maui Nui","11",10.1229805702121
"114",300,"interpolated",0,13.662,13.281,14.043,0.987,0.987,0.988,"Maui Nui","11",11.0360684996406
"115",400,"interpolated",0,14.773,14.353,15.194,0.99,0.99,0.991,"Maui Nui","11",11.897340665704
"116",500,"interpolated",0,15.63,15.185,16.075,0.992,0.992,0.993,"Maui Nui","11",12.2840558128155
"117",600,"interpolated",0,16.315,15.856,16.773,0.994,0.994,0.994,"Maui Nui","11",12.8441970205628
"118",700,"interpolated",0,16.875,16.411,17.339,0.995,0.995,0.995,"Maui Nui","11",13.0407000574376
"119",800,"interpolated",0,17.342,16.878,17.806,0.996,0.995,0.996,"Maui Nui","11",13.4124407545958
"120",900,"interpolated",0,17.737,17.277,18.197,0.996,0.996,0.997,"Maui Nui","11",13.567588362846
"121",1000,"interpolated",0,18.074,17.62,18.528,0.997,0.997,0.997,"Maui Nui","11",13.7833113214636
"122",1,"interpolated",0,1,1,1,0.268,0.262,0.273,"Maui Nui","12",1.02001246810175
"123",100,"interpolated",0,8.841,8.727,8.955,0.988,0.987,0.989,"Maui Nui","12",8.31903446661933
"124",200,"interpolated",0,9.638,9.472,9.803,0.994,0.994,0.995,"Maui Nui","12",10.1229805702121
"125",300,"interpolated",0,10.114,9.919,10.31,0.996,0.996,0.996,"Maui Nui","12",11.0360684996406
"126",400,"interpolated",0,10.454,10.24,10.668,0.997,0.997,0.997,"Maui Nui","12",11.897340665704
"127",500,"interpolated",0,10.705,10.479,10.931,0.998,0.998,0.998,"Maui Nui","12",12.2840558128155
"128",600,"interpolated",0,10.895,10.662,11.129,0.998,0.998,0.999,"Maui Nui","12",12.8441970205628
"129",700,"interpolated",0,11.044,10.804,11.283,0.999,0.998,0.999,"Maui Nui","12",13.0407000574376
"130",800,"interpolated",0,11.162,10.918,11.405,0.999,0.999,0.999,"Maui Nui","12",13.4124407545958
"131",900,"interpolated",0,11.258,11.012,11.504,0.999,0.999,0.999,"Maui Nui","12",13.567588362846
"132",1000,"interpolated",0,11.338,11.09,11.586,0.999,0.999,0.999,"Maui Nui","12",13.7833113214636
"133",1,"interpolated",0,1,1,1,0.469,0.461,0.477,"Maui Nui","13",1.02001246810175
"134",100,"interpolated",0,5.35,5.207,5.493,0.984,0.983,0.985,"Maui Nui","13",8.31903446661933
"135",200,"interpolated",0,6.575,6.394,6.755,0.991,0.99,0.991,"Maui Nui","13",10.1229805702121
"136",300,"interpolated",0,7.303,7.111,7.494,0.994,0.994,0.995,"Maui Nui","13",11.0360684996406
"137",400,"interpolated",0,7.774,7.584,7.964,0.996,0.996,0.996,"Maui Nui","13",11.897340665704
"138",500,"interpolated",0,8.095,7.914,8.277,0.997,0.997,0.998,"Maui Nui","13",12.2840558128155
"139",600,"interpolated",0,8.322,8.153,8.492,0.998,0.998,0.998,"Maui Nui","13",12.8441970205628
"140",700,"interpolated",0,8.487,8.332,8.642,0.999,0.998,0.999,"Maui Nui","13",13.0407000574376
"141",800,"interpolated",0,8.608,8.468,8.748,0.999,0.999,0.999,"Maui Nui","13",13.4124407545958
"142",900,"interpolated",0,8.698,8.573,8.824,0.999,0.999,0.999,"Maui Nui","13",13.567588362846
"143",1000,"interpolated",0,8.767,8.655,8.878,0.999,0.999,1,"Maui Nui","13",13.7833113214636
"144",1,"interpolated",0,1,1,1,0.298,0.294,0.302,"Maui Nui","14",1.02001246810175
"145",100,"interpolated",0,6.943,6.813,7.074,0.984,0.983,0.985,"Maui Nui","14",8.31903446661933
"146",200,"interpolated",0,8.166,7.991,8.34,0.991,0.99,0.991,"Maui Nui","14",10.1229805702121
"147",300,"interpolated",0,8.926,8.739,9.114,0.994,0.994,0.994,"Maui Nui","14",11.0360684996406
"148",400,"interpolated",0,9.437,9.25,9.625,0.996,0.996,0.996,"Maui Nui","14",11.897340665704
"149",500,"interpolated",0,9.796,9.615,9.977,0.997,0.997,0.997,"Maui Nui","14",12.2840558128155
"150",600,"interpolated",0,10.058,9.887,10.229,0.998,0.998,0.998,"Maui Nui","14",12.8441970205628
"151",700,"interpolated",0,10.255,10.095,10.414,0.998,0.998,0.998,"Maui Nui","14",13.0407000574376
"152",800,"interpolated",0,10.405,10.258,10.552,0.999,0.999,0.999,"Maui Nui","14",13.4124407545958
"153",900,"interpolated",0,10.522,10.387,10.657,0.999,0.999,0.999,"Maui Nui","14",13.567588362846
"154",1000,"interpolated",0,10.614,10.49,10.737,0.999,0.999,0.999,"Maui Nui","14",13.7833113214636
"155",1,"interpolated",0,1,1,1,0.297,0.291,0.303,"Maui Nui","15",1.02001246810175
"156",100,"interpolated",0,8.948,8.758,9.137,0.973,0.971,0.974,"Maui Nui","15",8.31903446661933
"157",200,"interpolated",0,11.027,10.752,11.303,0.984,0.983,0.985,"Maui Nui","15",10.1229805702121
