"geo_entity2","beta_ENS_PIE","l.QD","h.QD"
"Hawai'i",1.89043529806884,1.77473040024433,2.01150986137985
"Maui Nui",1.49458244517577,1.43313224453822,1.56657593391819
"O'ahu",1.83064021604676,1.69932649289675,1.95347792865421
"Kaua'i",2.21850174518061,2.14146990165106,2.29575460340093
