"geo_entity2","beta_ENS_PIE","l.QD","h.QD"
"Hawai'i",1.87583379231523,1.74198132941389,2.0348869201178
"Maui Nui",1.65190903857335,1.58299764263672,1.72089109236884
"O'ahu",2.58765021149762,2.42967872288958,2.74792470961713
"Kaua'i",2.20463031740975,2.12511666792409,2.28748353661536
