"geo_entity2","PlotID","beta_S","beta_ENS_PIE","Iteration"
"Maui Nui",177,2.83333333333333,1.28491314735435,5
"Kaua'i Island",194,2.66666666666667,0.411515859542034,5
"Kaua'i Island",196,2.35294117647059,0.613779244781237,5
"Maui Nui",222,17,3.99612147122178,5
"O'ahu Island",229,17,5.22002212244823,5
"Kaua'i Island",230,6.66666666666667,2.06541827595923,5
"Kaua'i Island",287,2.5,0.640325117481988,5
"Hawai'i Island",292,1.42857142857143,0.743036229889202,5
"O'ahu Island",300,4.25,1.79920425660468,5
"Kaua'i Island",304,40,4.0396433139786,5
"Kaua'i Island",308,13.3333333333333,1.74064414006745,5
"O'ahu Island",314,8.5,2.8033533501818,5
"O'ahu Island",319,4.25,1.76280590848874,5
"Maui Nui",378,17,3.99612147122178,5
"Hawai'i Island",385,10,2.08994471350107,5
"Kaua'i Island",409,13.3333333333333,1.97019517592235,5
"O'ahu Island",1,2.14285714285714,0.719845777242954,6
"Maui Nui",39,2,0.780081635750885,6
"Maui Nui",43,2,0.998033729396666,6
"Maui Nui",46,4,1.5394660502797,6
"Hawai'i Island",92,8,1.97496673974891,6
"Hawai'i Island",96,2,1.10961130801438,6
"Hawai'i Island",116,4,0.987483369874454,6
"O'ahu Island",141,2.14285714285714,0.862633135125905,6
"Maui Nui",147,2,0.928365774514511,6
"Maui Nui",178,6,1.10171412378634,6
"Kaua'i Island",194,2.6,0.413846055178113,6
"Kaua'i Island",195,4.33333333333333,1.12765282222277,6
"Kaua'i Island",196,2.29411764705882,0.617254750486648,6
"Maui Nui",222,12,2.08988966602216,6
"O'ahu Island",229,15,2.07934231145246,6
"Hawai'i Island",250,4,1.47099850980256,6
"Hawai'i Island",270,8,1.97496673974891,6
"O'ahu Island",285,5,1.68405067411905,6
"Kaua'i Island",287,2.4375,0.643950938358221,6
"O'ahu Island",288,7.5,1.86113972321362,6
"Kaua'i Island",304,39,4.06251766742886,6
"Kaua'i Island",308,13,1.75050048286713,6
"Maui Nui",365,4,1.84081097611804,6
"Kaua'i Island",409,13,1.98135134425634,6
"Hawai'i Island",417,2,0.640793276876177,6
"O'ahu Island",437,15,2.07934231145246,6
"O'ahu Island",461,15,2.07934231145246,6
"Hawai'i Island",482,8,1.97496673974891,6
"Maui Nui",15,1.77777777777778,0.474745198019919,7
"Maui Nui",25,2,0.641006131739954,7
"Maui Nui",31,3.2,1.58312714934328,7
"Maui Nui",35,2.28571428571429,1.32796314921417,7
"O'ahu Island",50,3.2,1.30695041059727,7
"Hawai'i Island",62,8,2.22694337048232,7
"Hawai'i Island",133,1.14285714285714,0.822390462001018,7
"O'ahu Island",143,1.33333333333333,0.833756839946993,7
"Maui Nui",146,4,1.83470306158918,7
"Maui Nui",147,2.66666666666667,1.16376944510318,7
"Kaua'i Island",194,1.66666666666667,0.284751031855216,7
"Kaua'i Island",195,2.77777777777778,0.775893114564501,7
"Kaua'i Island",218,25,2.7952570364179,7
"O'ahu Island",229,16,2.02234644951666,7
"Kaua'i Island",230,4.16666666666667,1.42917939042866,7
"Hawai'i Island",245,8,2.22694337048232,7
"Hawai'i Island",253,8,2.22694337048232,7
"Hawai'i Island",268,8,2.22694337048232,7
"Hawai'i Island",283,8,2.22694337048232,7
"Kaua'i Island",295,8.33333333333333,1.18329981064155,7
"O'ahu Island",296,3.2,1.10039439164877,7
"Hawai'i Island",302,8,2.22694337048232,7
"Kaua'i Island",304,25,2.7952570364179,7
"Kaua'i Island",308,8.33333333333333,1.20444984921976,7
"O'ahu Island",314,8,1.08607809727477,7
"O'ahu Island",319,4,0.682948115274879,7
"Maui Nui",407,5.33333333333333,1.56355491089857,7
"O'ahu Island",437,16,2.02234644951666,7
"O'ahu Island",1,2.57142857142857,0.696153003627586,8
"Hawai'i Island",18,9,1.47684539884573,8
"Maui Nui",22,4,1.98519897148623,8
"Hawai'i Island",56,9,1.47684539884573,8
"O'ahu Island",143,1.5,0.829039233711311,8
"Maui Nui",151,6,2.14570079491691,8
"Maui Nui",162,2.4,0.609958143090832,8
"Maui Nui",163,2.4,1.22416065867764,8
"Maui Nui",180,6,1.13981188817683,8
"Kaua'i Island",194,2.46666666666667,0.531247115810001,8
"Hawai'i Island",209,9,1.47684539884573,8
"Maui Nui",222,12,2.27598220482594,8
"O'ahu Island",229,18,2.01090350384732,8
"Kaua'i Island",230,6.16666666666667,2.66635532167753,8
"Hawai'i Island",234,3,0.547357277429962,8
"Hawai'i Island",253,9,1.47684539884573,8
"O'ahu Island",285,6,1.62862236900135,8
"Kaua'i Island",287,2.3125,0.826628825974227,8
"Hawai'i Island",292,1.28571428571429,0.525061562728743,8
"Kaua'i Island",295,12.3333333333333,2.20762891514815,8
"O'ahu Island",300,4.5,0.693105519262913,8
"Kaua'i Island",308,12.3333333333333,2.24708758513342,8
"O'ahu Island",319,4.5,0.679083822794264,8
"Maui Nui",345,2,0.886311704052709,8
"Kaua'i Island",409,12.3333333333333,2.54342689478926,8
"O'ahu Island",437,18,2.01090350384732,8
"Kaua'i Island",460,18.5,5.0331417401271,8
"Hawai'i Island",472,9,1.47684539884573,8
"Maui Nui",20,2.4,0.795643324744266,9
"Maui Nui",21,2.4,1.16349893427624,9
"Maui Nui",27,4,1.25049470620525,9
"Maui Nui",31,2.4,1.58900479186165,9
"Maui Nui",40,2,1.39122193287004,9
"O'ahu Island",50,4.6,1.138873176599,9
"Hawai'i Island",67,6,2.44254177605578,9
"Hawai'i Island",80,6,2.44254177605578,9
"Hawai'i Island",96,1.5,1.37231271821499,9
"Hawai'i Island",108,3,2.25495456765469,9
"O'ahu Island",141,3.28571428571429,0.731091874141009,9
"O'ahu Island",143,1.91666666666667,0.72653353418944,9
"Maui Nui",164,1.71428571428571,0.87463914115146,9
"Maui Nui",168,3,1.52747104100886,9
"O'ahu Island",173,4.6,1.41498620750307,9
"Kaua'i Island",194,2.73333333333333,0.469417800756877,9
"Kaua'i Island",196,2.41176470588235,0.700140460093241,9
"Kaua'i Island",230,6.83333333333333,2.35603095789024,9
"Hawai'i Island",248,6,2.44254177605578,9
"Kaua'i Island",282,20.5,4.2081664055395,9
"Kaua'i Island",287,2.5625,0.730421444151125,9
"O'ahu Island",288,11.5,1.57733812078055,9
"Hawai'i Island",293,2,1.30518163255953,9
"Kaua'i Island",295,13.6666666666667,1.95069352735416,9
"O'ahu Island",296,4.6,0.958880800807159,9
"Kaua'i Island",409,13.6666666666667,2.24740958361244,9
"O'ahu Island",437,23,1.76226741769964,9
"Hawai'i Island",458,3,1.2275093488474,9
"O'ahu Island",1,3.28571428571429,1.74073630099852,10
"Maui Nui",19,8,3.60241225218354,10
"Maui Nui",41,4,2.64246977516003,10
"Maui Nui",46,5.33333333333333,2.69445142094502,10
"O'ahu Island",50,4.6,3.24954883688562,10
"Hawai'i Island",70,10,2.8173428636351,10
"Hawai'i Island",122,1.42857142857143,1.58344407899278,10
"O'ahu Island",141,3.28571428571429,2.08602572971823,10
"O'ahu Island",143,1.91666666666667,2.07301941032103,10
"Maui Nui",154,4,1.44882687577409,10
"Maui Nui",162,3.2,0.980290450754187,10
"Maui Nui",175,2,1.24334591396086,10
"Kaua'i Island",196,1.35294117647059,0.58919112632345,10
"Hawai'i Island",200,3.33333333333333,1.41493219373674,10
"Hawai'i Island",217,10,2.8173428636351,10
"Kaua'i Island",218,23,3.87781440044681,10
"Kaua'i Island",230,3.83333333333333,1.98267720958077,10
"Hawai'i Island",238,3.33333333333333,1.10275288082188,10
"Kaua'i Island",282,11.5,3.54130984503614,10
"Kaua'i Island",295,7.66666666666667,1.64157248724149,10
"Kaua'i Island",308,7.66666666666667,1.67091359008106,10
"O'ahu Island",314,11.5,2.70038081716759,10
"O'ahu Island",319,5.75,1.69805467418654,10
"Maui Nui",348,8,1.85306790749407,10
"Hawai'i Island",390,3.33333333333333,1.72664639099707,10
"Kaua'i Island",409,7.66666666666667,1.89126876584505,10
"Hawai'i Island",420,3.33333333333333,2.39714796255738,10
"O'ahu Island",461,23,5.02828072092144,10
"O'ahu Island",1,2.57142857142857,0.819170810586509,11
"Maui Nui",48,6,1.41745651337579,11
"Hawai'i Island",69,11,4.86989944094983,11
"Hawai'i Island",77,5.5,2.5871340780046,11
"Hawai'i Island",100,11,4.86989944094983,11
"O'ahu Island",143,1.5,0.975539482769535,11
"Maui Nui",161,4,1.33204417410209,11
"Maui Nui",167,4,2.41546163144561,11
"O'ahu Island",173,3.6,1.89994659301389,11
"Maui Nui",174,2.4,1.07242812448677,11
"Kaua'i Island",194,1.8,0.502051919889073,11
"Kaua'i Island",195,3,1.36799724748279,11
"Kaua'i Island",218,27,4.92839008369459,11
"Maui Nui",219,6,1.51946180166005,11
"Maui Nui",224,2.66666666666667,0.839798049700763,11
"Hawai'i Island",233,5.5,2.45866020047154,11
"O'ahu Island",288,9,2.1179416256617,11
"Kaua'i Island",295,9,2.08630654599009,11
"O'ahu Island",296,3.6,1.28751948318623,11
"Kaua'i Island",308,9,2.12359672683591,11
"O'ahu Island",319,4.5,0.799085319859014,11
"Maui Nui",348,12,2.01492683128682,11
