"geo_entity2","m","method","order","SC","qD","qD.LCL","qD.UCL","iteration"
"Hawai'i Island",1000,"interpolated",0,0.999,8.645,8.458,8.833,1
"Hawai'i Island",1000,"interpolated",1,0.999,3.801,3.744,3.857,1
"Hawai'i Island",1000,"interpolated",2,0.999,2.805,2.753,2.858,1
"Kaua'i Island",1000,"interpolated",0,0.999,29.642,29.31,29.975,1
"Kaua'i Island",1000,"interpolated",1,0.999,6.795,6.458,7.132,1
"Kaua'i Island",1000,"interpolated",2,0.999,3.071,2.928,3.215,1
"Maui Nui",1000,"interpolated",0,0.999,9.701,9.53,9.872,1
"Maui Nui",1000,"interpolated",1,0.999,3.987,3.922,4.051,1
"Maui Nui",1000,"interpolated",2,0.999,3.042,2.988,3.096,1
"O'ahu Island",1000,"interpolated",0,0.999,6.815,6.498,7.132,1
"O'ahu Island",1000,"interpolated",1,0.999,3.53,3.491,3.57,1
"O'ahu Island",1000,"interpolated",2,0.999,2.764,2.718,2.81,1
"Hawai'i Island",1000,"interpolated",0,0.999,10.835,10.75,10.919,2
"Hawai'i Island",1000,"interpolated",1,0.999,3.539,3.484,3.595,2
"Hawai'i Island",1000,"interpolated",2,0.999,2.615,2.58,2.651,2
"Kaua'i Island",1000,"interpolated",0,1,10.995,10.98,11.01,2
"Kaua'i Island",1000,"interpolated",1,1,3.645,3.52,3.77,2
"Kaua'i Island",1000,"interpolated",2,1,2.334,2.252,2.416,2
"Maui Nui",1000,"interpolated",0,0.998,13.189,12.882,13.496,2
"Maui Nui",1000,"interpolated",1,0.998,2.78,2.72,2.84,2
"Maui Nui",1000,"interpolated",2,0.998,2.028,1.99,2.067,2
"O'ahu Island",1000,"interpolated",0,0.998,8.4,8.006,8.795,2
"O'ahu Island",1000,"interpolated",1,0.998,2.928,2.884,2.972,2
"O'ahu Island",1000,"interpolated",2,0.998,2.363,2.324,2.401,2
"Hawai'i Island",1000,"interpolated",0,1,10.568,10.312,10.824,3
"Hawai'i Island",1000,"interpolated",1,1,4.313,4.223,4.403,3
"Hawai'i Island",1000,"interpolated",2,1,3.061,3.002,3.12,3
"Kaua'i Island",1000,"interpolated",0,0.996,23.028,22.292,23.763,3
"Kaua'i Island",1000,"interpolated",1,0.996,5.717,5.56,5.874,3
"Kaua'i Island",1000,"interpolated",2,0.996,3.69,3.597,3.783,3
"Maui Nui",1000,"interpolated",0,0.999,11.61,11.42,11.8,3
"Maui Nui",1000,"interpolated",1,0.999,5.416,5.332,5.5,3
"Maui Nui",1000,"interpolated",2,0.999,4.141,4.06,4.222,3
"O'ahu Island",1000,"interpolated",0,0.999,17.75,17.441,18.06,3
"O'ahu Island",1000,"interpolated",1,0.999,4.785,4.598,4.972,3
"O'ahu Island",1000,"interpolated",2,0.999,3.305,3.198,3.412,3
"Hawai'i Island",1000,"interpolated",0,0.999,10.897,10.624,11.171,4
"Hawai'i Island",1000,"interpolated",1,0.999,7.356,7.277,7.435,4
"Hawai'i Island",1000,"interpolated",2,0.999,5.811,5.707,5.915,4
"Kaua'i Island",1000,"interpolated",0,0.997,30.597,30.053,31.14,4
"Kaua'i Island",1000,"interpolated",1,0.997,6.95,6.634,7.267,4
"Kaua'i Island",1000,"interpolated",2,0.997,3.157,3.031,3.284,4
"Maui Nui",1000,"interpolated",0,0.999,11.586,11.385,11.787,4
"Maui Nui",1000,"interpolated",1,0.999,3.733,3.662,3.804,4
"Maui Nui",1000,"interpolated",2,0.999,2.517,2.47,2.564,4
"O'ahu Island",1000,"interpolated",0,1,15.992,15.95,16.033,4
"O'ahu Island",1000,"interpolated",1,1,5.889,5.581,6.196,4
"O'ahu Island",1000,"interpolated",2,1,3.445,3.268,3.621,4
"Hawai'i Island",1000,"interpolated",0,0.999,8.452,8.244,8.66,5
"Hawai'i Island",1000,"interpolated",1,0.999,3.02,2.974,3.067,5
"Hawai'i Island",1000,"interpolated",2,0.999,2.481,2.455,2.507,5
"Kaua'i Island",1000,"interpolated",0,0.999,13.035,12.67,13.4,5
"Kaua'i Island",1000,"interpolated",1,0.999,4.63,4.545,4.714,5
"Kaua'i Island",1000,"interpolated",2,0.999,3.657,3.598,3.716,5
"Maui Nui",1000,"interpolated",0,0.999,9.276,9.042,9.51,5
"Maui Nui",1000,"interpolated",1,0.999,3.818,3.77,3.866,5
"Maui Nui",1000,"interpolated",2,0.999,3.132,3.093,3.172,5
"O'ahu Island",1000,"interpolated",0,0.999,7.765,7.634,7.896,5
"O'ahu Island",1000,"interpolated",1,0.999,2.574,2.53,2.618,5
"O'ahu Island",1000,"interpolated",2,0.999,1.939,1.909,1.969,5
"Hawai'i Island",1000,"interpolated",0,1,9.956,9.914,9.997,6
"Hawai'i Island",1000,"interpolated",1,1,3.313,3.252,3.374,6
"Hawai'i Island",1000,"interpolated",2,1,2.339,2.287,2.391,6
"Kaua'i Island",1000,"interpolated",0,0.995,29.011,28.274,29.748,6
"Kaua'i Island",1000,"interpolated",1,0.995,6.29,6.092,6.487,6
"Kaua'i Island",1000,"interpolated",2,0.995,3.61,3.499,3.721,6
"Maui Nui",1000,"interpolated",0,0.999,10.767,10.652,10.883,6
"Maui Nui",1000,"interpolated",1,0.999,3.876,3.816,3.935,6
"Maui Nui",1000,"interpolated",2,0.999,2.885,2.845,2.926,6
"O'ahu Island",1000,"interpolated",0,0.999,12.683,12.416,12.951,6
"O'ahu Island",1000,"interpolated",1,0.999,3.619,3.519,3.718,6
"O'ahu Island",1000,"interpolated",2,0.999,2.651,2.585,2.718,6
"Hawai'i Island",1000,"interpolated",0,1,13.973,13.952,13.994,7
"Hawai'i Island",1000,"interpolated",1,1,6.907,6.79,7.024,7
"Hawai'i Island",1000,"interpolated",2,1,4.859,4.75,4.968,7
"Kaua'i Island",1000,"interpolated",0,1,8.875,8.784,8.966,7
"Kaua'i Island",1000,"interpolated",1,1,3.809,3.751,3.867,7
"Kaua'i Island",1000,"interpolated",2,1,3.091,3.039,3.142,7
"Maui Nui",1000,"interpolated",0,1,10.914,10.851,10.977,7
"Maui Nui",1000,"interpolated",1,1,2.746,2.685,2.806,7
"Maui Nui",1000,"interpolated",2,1,1.775,1.742,1.808,7
"O'ahu Island",1000,"interpolated",0,0.998,15.008,14.62,15.396,7
"O'ahu Island",1000,"interpolated",1,0.998,5.034,4.938,5.129,7
"O'ahu Island",1000,"interpolated",2,0.998,4.101,4.036,4.166,7
"Hawai'i Island",1000,"interpolated",0,1,6.962,6.923,7.001,8
"Hawai'i Island",1000,"interpolated",1,1,2.004,1.965,2.044,8
"Hawai'i Island",1000,"interpolated",2,1,1.477,1.456,1.499,8
"Kaua'i Island",1000,"interpolated",0,0.997,22.393,21.947,22.84,8
"Kaua'i Island",1000,"interpolated",1,0.997,6.113,5.974,6.252,8
"Kaua'i Island",1000,"interpolated",2,0.997,4.043,3.957,4.129,8
"Maui Nui",1000,"interpolated",0,0.999,18.132,17.775,18.489,8
"Maui Nui",1000,"interpolated",1,0.999,6.802,6.635,6.969,8
"Maui Nui",1000,"interpolated",2,0.999,4.165,4.041,4.289,8
"O'ahu Island",1000,"interpolated",0,0.999,10.476,10.241,10.712,8
"O'ahu Island",1000,"interpolated",1,0.999,4.473,4.413,4.533,8
"O'ahu Island",1000,"interpolated",2,0.999,3.942,3.895,3.99,8
