"geo_entity2","value","l.QD","h.QD"
"Hawai'i",1.96107388039421,1.87142371254849,2.04212597187218
"Maui Nui",1.62106709698482,1.48364881783507,1.77113330614744
"O'ahu",2.13572611322538,1.69718140740811,2.55145228855224
"Kaua'i",2.74343385804948,1.83516837540824,3.72019319132726
