"geo_entity2","beta_S","l.QD","h.QD"
"Hawai'i",4.02712380952381,3.83552277777778,4.21586996031746
"Maui Nui",3.24249083694084,3.05748420634921,3.41747467712843
"O'ahu",5.47885714285714,5.17171238095238,5.79603607142857
"Kaua'i",8.42008333333333,8.00075695669935,8.86529492238562
