"geo_entity2","beta_ENS_PIE","l.QD","h.QD"
"Hawai'i",1.76417909952086,1.6487362070119,1.87245795805109
"Maui Nui",1.51505798489202,1.45829615902004,1.57839992960159
"O'ahu",2.03136867888375,1.89643324621186,2.16698853424345
"Kaua'i",2.2248925877342,2.1370438587363,2.30754818901713
