"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration","qD_pred"
"58",200,"interpolated",0,12.234,12.007,12.46,0.989,0.989,0.99,"Maui Nui","6",9.75720113978417
"59",300,"interpolated",0,13.103,12.838,13.369,0.993,0.992,0.993,"Maui Nui","6",10.6052504077115
"60",400,"interpolated",0,13.702,13.411,13.993,0.995,0.994,0.995,"Maui Nui","6",11.4202499144328
"61",500,"interpolated",0,14.145,13.834,14.455,0.996,0.996,0.997,"Maui Nui","6",11.7793426865683
"62",600,"interpolated",0,14.488,14.161,14.815,0.997,0.997,0.997,"Maui Nui","6",12.313873455365
"63",700,"interpolated",0,14.763,14.422,15.104,0.998,0.997,0.998,"Maui Nui","6",12.4950799705531
"64",800,"interpolated",0,14.991,14.638,15.343,0.998,0.998,0.998,"Maui Nui","6",12.8501873565543
"65",900,"interpolated",0,15.183,14.821,15.545,0.998,0.998,0.998,"Maui Nui","6",12.9943040008188
"66",1000,"interpolated",0,15.348,14.978,15.719,0.998,0.998,0.999,"Maui Nui","6",13.1989199939679
"67",1,"interpolated",0,1,1,1,0.321,0.316,0.326,"Maui Nui","7",1.01981110409481
"68",100,"interpolated",0,8.083,7.9,8.267,0.976,0.975,0.977,"Maui Nui","7",8.06753997015173
"69",200,"interpolated",0,9.838,9.612,10.064,0.987,0.987,0.988,"Maui Nui","7",9.75720113978417
"70",300,"interpolated",0,10.841,10.601,11.082,0.992,0.992,0.993,"Maui Nui","7",10.6052504077115
"71",400,"interpolated",0,11.493,11.248,11.739,0.995,0.994,0.995,"Maui Nui","7",11.4202499144328
"72",500,"interpolated",0,11.951,11.703,12.199,0.996,0.996,0.996,"Maui Nui","7",11.7793426865683
"73",600,"interpolated",0,12.291,12.041,12.541,0.997,0.997,0.997,"Maui Nui","7",12.313873455365
"74",700,"interpolated",0,12.552,12.3,12.805,0.998,0.997,0.998,"Maui Nui","7",12.4950799705531
"75",800,"interpolated",0,12.759,12.504,13.014,0.998,0.998,0.998,"Maui Nui","7",12.8501873565543
"76",900,"interpolated",0,12.925,12.668,13.183,0.998,0.998,0.999,"Maui Nui","7",12.9943040008188
"77",1000,"interpolated",0,13.062,12.801,13.323,0.999,0.999,0.999,"Maui Nui","7",13.1989199939679
"78",1,"interpolated",0,1,1,1,0.558,0.549,0.568,"Maui Nui","8",1.01981110409481
"79",100,"interpolated",0,8.677,8.491,8.864,0.97,0.969,0.971,"Maui Nui","8",8.06753997015173
"80",200,"interpolated",0,10.732,10.461,11.003,0.986,0.985,0.987,"Maui Nui","8",9.75720113978417
"81",300,"interpolated",0,11.879,11.548,12.211,0.991,0.99,0.991,"Maui Nui","8",10.6052504077115
"82",400,"interpolated",0,12.678,12.296,13.06,0.993,0.992,0.994,"Maui Nui","8",11.4202499144328
"83",500,"interpolated",0,13.298,12.873,13.723,0.994,0.994,0.995,"Maui Nui","8",11.7793426865683
"84",600,"interpolated",0,13.812,13.349,14.274,0.995,0.995,0.996,"Maui Nui","8",12.313873455365
"85",700,"interpolated",0,14.254,13.761,14.747,0.996,0.996,0.996,"Maui Nui","8",12.4950799705531
"86",800,"interpolated",0,14.644,14.125,15.163,0.996,0.996,0.997,"Maui Nui","8",12.8501873565543
"87",900,"interpolated",0,14.994,14.455,15.534,0.997,0.996,0.997,"Maui Nui","8",12.9943040008188
"88",1000,"interpolated",0,15.312,14.757,15.867,0.997,0.997,0.997,"Maui Nui","8",13.1989199939679
"89",1,"interpolated",0,1,1,1,0.272,0.267,0.277,"Maui Nui","9",1.01981110409481
"90",100,"interpolated",0,9.203,9.029,9.378,0.973,0.972,0.974,"Maui Nui","9",8.06753997015173
"91",200,"interpolated",0,11.118,10.895,11.34,0.987,0.986,0.987,"Maui Nui","9",9.75720113978417
"92",300,"interpolated",0,12.152,11.911,12.393,0.992,0.992,0.993,"Maui Nui","9",10.6052504077115
"93",400,"interpolated",0,12.784,12.526,13.041,0.995,0.995,0.995,"Maui Nui","9",11.4202499144328
"94",500,"interpolated",0,13.207,12.931,13.484,0.996,0.996,0.997,"Maui Nui","9",11.7793426865683
"95",600,"interpolated",0,13.516,13.221,13.811,0.997,0.997,0.998,"Maui Nui","9",12.313873455365
"96",700,"interpolated",0,13.757,13.445,14.07,0.998,0.998,0.998,"Maui Nui","9",12.4950799705531
"97",800,"interpolated",0,13.956,13.627,14.284,0.998,0.998,0.998,"Maui Nui","9",12.8501873565543
"98",900,"interpolated",0,14.125,13.784,14.467,0.998,0.998,0.999,"Maui Nui","9",12.9943040008188
"99",1000,"interpolated",0,14.274,13.921,14.628,0.999,0.998,0.999,"Maui Nui","9",13.1989199939679
"100",1,"interpolated",0,1,1,1,0.217,0.214,0.219,"Maui Nui","10",1.01981110409481
"101",100,"interpolated",0,11.995,11.822,12.168,0.966,0.965,0.968,"Maui Nui","10",8.06753997015173
"102",200,"interpolated",0,14.38,14.108,14.651,0.982,0.981,0.983,"Maui Nui","10",9.75720113978417
"103",300,"interpolated",0,15.841,15.511,16.171,0.988,0.987,0.988,"Maui Nui","10",10.6052504077115
"104",400,"interpolated",0,16.887,16.522,17.252,0.991,0.991,0.991,"Maui Nui","10",11.4202499144328
"105",500,"interpolated",0,17.68,17.293,18.066,0.993,0.993,0.993,"Maui Nui","10",11.7793426865683
"106",600,"interpolated",0,18.3,17.899,18.702,0.994,0.994,0.995,"Maui Nui","10",12.313873455365
"107",700,"interpolated",0,18.8,18.388,19.211,0.996,0.995,0.996,"Maui Nui","10",12.4950799705531
"108",800,"interpolated",0,19.21,18.789,19.63,0.996,0.996,0.997,"Maui Nui","10",12.8501873565543
"109",900,"interpolated",0,19.553,19.125,19.981,0.997,0.997,0.997,"Maui Nui","10",12.9943040008188
"110",1000,"interpolated",0,19.845,19.41,20.28,0.997,0.997,0.998,"Maui Nui","10",13.1989199939679
"111",1,"interpolated",0,1,1,1,0.267,0.258,0.276,"Maui Nui","11",1.01981110409481
"112",100,"interpolated",0,10.441,10.333,10.549,0.985,0.985,0.986,"Maui Nui","11",8.06753997015173
"113",200,"interpolated",0,11.284,11.18,11.387,0.995,0.995,0.995,"Maui Nui","11",9.75720113978417
"114",300,"interpolated",0,11.621,11.533,11.709,0.998,0.997,0.998,"Maui Nui","11",10.6052504077115
"115",400,"interpolated",0,11.79,11.723,11.858,0.999,0.999,0.999,"Maui Nui","11",11.4202499144328
"116",500,"interpolated",0,11.882,11.832,11.931,0.999,0.999,1,"Maui Nui","11",11.7793426865683
"117",600,"interpolated",0,11.933,11.898,11.967,1,0.999,1,"Maui Nui","11",12.313873455365
"118",700,"interpolated",0,11.962,11.938,11.985,1,1,1,"Maui Nui","11",12.4950799705531
"119",800,"interpolated",0,11.978,11.962,11.994,1,1,1,"Maui Nui","11",12.8501873565543
"120",900,"interpolated",0,11.987,11.977,11.998,1,1,1,"Maui Nui","11",12.9943040008188
"121",1000,"interpolated",0,11.993,11.986,12,1,1,1,"Maui Nui","11",13.1989199939679
"122",1,"interpolated",0,1,1,1,0.561,0.552,0.57,"Maui Nui","12",1.01981110409481
"123",100,"interpolated",0,7.552,7.363,7.74,0.976,0.975,0.978,"Maui Nui","12",8.06753997015173
"124",200,"interpolated",0,9.273,8.993,9.553,0.987,0.986,0.988,"Maui Nui","12",9.75720113978417
"125",300,"interpolated",0,10.365,10.033,10.696,0.991,0.99,0.991,"Maui Nui","12",10.6052504077115
"126",400,"interpolated",0,11.169,10.805,11.533,0.993,0.992,0.994,"Maui Nui","12",11.4202499144328
"127",500,"interpolated",0,11.79,11.402,12.178,0.995,0.994,0.995,"Maui Nui","12",11.7793426865683
"128",600,"interpolated",0,12.284,11.874,12.693,0.996,0.995,0.996,"Maui Nui","12",12.313873455365
"129",700,"interpolated",0,12.685,12.256,13.114,0.996,0.996,0.997,"Maui Nui","12",12.4950799705531
"130",800,"interpolated",0,13.017,12.57,13.465,0.997,0.997,0.997,"Maui Nui","12",12.8501873565543
"131",900,"interpolated",0,13.298,12.832,13.763,0.997,0.997,0.998,"Maui Nui","12",12.9943040008188
"132",1000,"interpolated",0,13.538,13.056,14.02,0.998,0.997,0.998,"Maui Nui","12",13.1989199939679
"133",1,"interpolated",0,1,1,1,0.306,0.302,0.31,"Maui Nui","13",1.01981110409481
"134",100,"interpolated",0,8.276,8.099,8.452,0.977,0.975,0.978,"Maui Nui","13",8.06753997015173
"135",200,"interpolated",0,10.062,9.804,10.32,0.986,0.985,0.987,"Maui Nui","13",9.75720113978417
"136",300,"interpolated",0,11.268,10.958,11.579,0.99,0.989,0.99,"Maui Nui","13",10.6052504077115
"137",400,"interpolated",0,12.177,11.831,12.522,0.992,0.991,0.993,"Maui Nui","13",11.4202499144328
"138",500,"interpolated",0,12.889,12.518,13.261,0.994,0.993,0.994,"Maui Nui","13",11.7793426865683
"139",600,"interpolated",0,13.465,13.072,13.858,0.995,0.994,0.995,"Maui Nui","13",12.313873455365
"140",700,"interpolated",0,13.939,13.527,14.35,0.996,0.995,0.996,"Maui Nui","13",12.4950799705531
"141",800,"interpolated",0,14.336,13.908,14.764,0.996,0.996,0.997,"Maui Nui","13",12.8501873565543
"142",900,"interpolated",0,14.674,14.232,15.117,0.997,0.997,0.997,"Maui Nui","13",12.9943040008188
"143",1000,"interpolated",0,14.966,14.509,15.422,0.997,0.997,0.998,"Maui Nui","13",13.1989199939679
"144",1,"interpolated",0,1,1,1,0.336,0.333,0.34,"Maui Nui","14",1.01981110409481
"145",100,"interpolated",0,6.12,6.009,6.231,0.984,0.983,0.985,"Maui Nui","14",8.06753997015173
"146",200,"interpolated",0,7.406,7.247,7.564,0.99,0.989,0.99,"Maui Nui","14",9.75720113978417
"147",300,"interpolated",0,8.263,8.071,8.455,0.993,0.992,0.993,"Maui Nui","14",10.6052504077115
"148",400,"interpolated",0,8.881,8.665,9.098,0.995,0.994,0.995,"Maui Nui","14",11.4202499144328
"149",500,"interpolated",0,9.354,9.121,9.586,0.996,0.996,0.996,"Maui Nui","14",11.7793426865683
"150",600,"interpolated",0,9.728,9.485,9.971,0.997,0.996,0.997,"Maui Nui","14",12.313873455365
"151",700,"interpolated",0,10.032,9.784,10.281,0.997,0.997,0.997,"Maui Nui","14",12.4950799705531
"152",800,"interpolated",0,10.284,10.033,10.534,0.998,0.998,0.998,"Maui Nui","14",12.8501873565543
"153",900,"interpolated",0,10.493,10.242,10.744,0.998,0.998,0.998,"Maui Nui","14",12.9943040008188
"154",1000,"interpolated",0,10.669,10.419,10.92,0.998,0.998,0.999,"Maui Nui","14",13.1989199939679
"155",1,"interpolated",0,1,1,1,0.463,0.455,0.47,"Maui Nui","15",1.01981110409481
"156",100,"interpolated",0,6.102,5.951,6.254,0.984,0.983,0.985,"Maui Nui","15",8.06753997015173
"157",200,"interpolated",0,7.38,7.181,7.579,0.99,0.99,0.99,"Maui Nui","15",9.75720113978417
"158",300,"interpolated",0,8.193,7.979,8.407,0.993,0.993,0.994,"Maui Nui","15",10.6052504077115
"159",400,"interpolated",0,8.737,8.516,8.959,0.996,0.995,0.996,"Maui Nui","15",11.4202499144328
"160",500,"interpolated",0,9.12,8.893,9.346,0.997,0.996,0.997,"Maui Nui","15",11.7793426865683
"161",600,"interpolated",0,9.401,9.17,9.632,0.998,0.997,0.998,"Maui Nui","15",12.313873455365
"162",700,"interpolated",0,9.615,9.38,9.85,0.998,0.998,0.998,"Maui Nui","15",12.4950799705531
"163",800,"interpolated",0,9.784,9.546,10.023,0.998,0.998,0.999,"Maui Nui","15",12.8501873565543
"164",900,"interpolated",0,9.922,9.68,10.163,0.999,0.999,0.999,"Maui Nui","15",12.9943040008188
"165",1000,"interpolated",0,10.035,9.791,10.279,0.999,0.999,0.999,"Maui Nui","15",13.1989199939679
"166",1,"interpolated",0,1,1,1,0.316,0.311,0.321,"Maui Nui","16",1.01981110409481
"167",100,"interpolated",0,7.292,7.155,7.429,0.983,0.982,0.983,"Maui Nui","16",8.06753997015173
"168",200,"interpolated",0,8.549,8.367,8.731,0.991,0.99,0.991,"Maui Nui","16",9.75720113978417
"169",300,"interpolated",0,9.29,9.082,9.498,0.994,0.994,0.994,"Maui Nui","16",10.6052504077115
"170",400,"interpolated",0,9.801,9.576,10.025,0.996,0.995,0.996,"Maui Nui","16",11.4202499144328
"171",500,"interpolated",0,10.182,9.949,10.415,0.997,0.996,0.997,"Maui Nui","16",11.7793426865683
"172",600,"interpolated",0,10.48,10.244,10.717,0.997,0.997,0.998,"Maui Nui","16",12.313873455365
"173",700,"interpolated",0,10.72,10.484,10.956,0.998,0.998,0.998,"Maui Nui","16",12.4950799705531
"174",800,"interpolated",0,10.916,10.682,11.149,0.998,0.998,0.998,"Maui Nui","16",12.8501873565543
"175",900,"interpolated",0,11.077,10.848,11.306,0.999,0.998,0.999,"Maui Nui","16",12.9943040008188
"176",1000,"interpolated",0,11.212,10.989,11.435,0.999,0.999,0.999,"Maui Nui","16",13.1989199939679
"177",1,"interpolated",0,1,1,1,0.28,0.276,0.285,"Maui Nui","17",1.01981110409481
"178",100,"interpolated",0,7.244,7.136,7.352,0.987,0.987,0.988,"Maui Nui","17",8.06753997015173
"179",200,"interpolated",0,8.115,7.969,8.261,0.994,0.993,0.994,"Maui Nui","17",9.75720113978417
"180",300,"interpolated",0,8.631,8.46,8.803,0.996,0.995,0.996,"Maui Nui","17",10.6052504077115
"181",400,"interpolated",0,8.994,8.803,9.185,0.997,0.997,0.997,"Maui Nui","17",11.4202499144328
"182",500,"interpolated",0,9.268,9.064,9.473,0.998,0.997,0.998,"Maui Nui","17",11.7793426865683
"183",600,"interpolated",0,9.485,9.27,9.7,0.998,0.998,0.998,"Maui Nui","17",12.313873455365
"184",700,"interpolated",0,9.661,9.439,9.883,0.998,0.998,0.999,"Maui Nui","17",12.4950799705531
"185",800,"interpolated",0,9.808,9.581,10.035,0.999,0.999,0.999,"Maui Nui","17",12.8501873565543
"186",900,"interpolated",0,9.931,9.701,10.161,0.999,0.999,0.999,"Maui Nui","17",12.9943040008188
"187",1000,"interpolated",0,10.037,9.805,10.269,0.999,0.999,0.999,"Maui Nui","17",13.1989199939679
"188",1,"interpolated",0,1,1,1,0.312,0.308,0.315,"Maui Nui","18",1.01981110409481
"189",100,"interpolated",0,6.253,6.13,6.376,0.984,0.983,0.984,"Maui Nui","18",8.06753997015173
"190",200,"interpolated",0,7.552,7.375,7.729,0.99,0.989,0.99,"Maui Nui","18",9.75720113978417
"191",300,"interpolated",0,8.413,8.196,8.63,0.993,0.992,0.993,"Maui Nui","18",10.6052504077115
"192",400,"interpolated",0,9.041,8.79,9.292,0.995,0.994,0.995,"Maui Nui","18",11.4202499144328
"193",500,"interpolated",0,9.529,9.25,9.808,0.996,0.995,0.996,"Maui Nui","18",11.7793426865683
"194",600,"interpolated",0,9.923,9.622,10.225,0.996,0.996,0.997,"Maui Nui","18",12.313873455365
"195",700,"interpolated",0,10.25,9.931,10.57,0.997,0.997,0.997,"Maui Nui","18",12.4950799705531
"196",800,"interpolated",0,10.528,10.195,10.861,0.997,0.997,0.998,"Maui Nui","18",12.8501873565543
"197",900,"interpolated",0,10.766,10.422,11.11,0.998,0.998,0.998,"Maui Nui","18",12.9943040008188
"198",1000,"interpolated",0,10.972,10.619,11.325,0.998,0.998,0.998,"Maui Nui","18",13.1989199939679
"199",1,"interpolated",0,1,1,1,0.242,0.239,0.245,"Maui Nui","19",1.01981110409481
"200",100,"interpolated",0,8.766,8.612,8.919,0.977,0.976,0.978,"Maui Nui","19",8.06753997015173
"201",200,"interpolated",0,10.473,10.258,10.689,0.987,0.987,0.988,"Maui Nui","19",9.75720113978417
"202",300,"interpolated",0,11.51,11.255,11.766,0.992,0.991,0.992,"Maui Nui","19",10.6052504077115
"203",400,"interpolated",0,12.231,11.948,12.514,0.994,0.993,0.994,"Maui Nui","19",11.4202499144328
"204",500,"interpolated",0,12.772,12.47,13.074,0.995,0.995,0.996,"Maui Nui","19",11.7793426865683
"205",600,"interpolated",0,13.198,12.884,13.512,0.996,0.996,0.996,"Maui Nui","19",12.313873455365
"206",700,"interpolated",0,13.546,13.225,13.867,0.997,0.997,0.997,"Maui Nui","19",12.4950799705531
"207",800,"interpolated",0,13.837,13.513,14.162,0.997,0.997,0.998,"Maui Nui","19",12.8501873565543
"208",900,"interpolated",0,14.084,13.759,14.41,0.998,0.998,0.998,"Maui Nui","19",12.9943040008188
"209",1000,"interpolated",0,14.297,13.972,14.621,0.998,0.998,0.998,"Maui Nui","19",13.1989199939679
"210",1,"interpolated",0,1,1,1,0.29,0.287,0.294,"Maui Nui","20",1.01981110409481
"211",100,"interpolated",0,8.067,7.879,8.255,0.971,0.97,0.972,"Maui Nui","20",8.06753997015173
"212",200,"interpolated",0,10.345,10.074,10.615,0.982,0.981,0.983,"Maui Nui","20",9.75720113978417
"213",300,"interpolated",0,11.829,11.51,12.147,0.988,0.987,0.988,"Maui Nui","20",10.6052504077115
"214",400,"interpolated",0,12.889,12.537,13.24,0.991,0.99,0.991,"Maui Nui","20",11.4202499144328
"215",500,"interpolated",0,13.691,13.316,14.066,0.993,0.992,0.993,"Maui Nui","20",11.7793426865683
"216",600,"interpolated",0,14.323,13.93,14.717,0.994,0.994,0.995,"Maui Nui","20",12.313873455365
"217",700,"interpolated",0,14.837,14.43,15.244,0.995,0.995,0.996,"Maui Nui","20",12.4950799705531
"218",800,"interpolated",0,15.264,14.845,15.683,0.996,0.996,0.996,"Maui Nui","20",12.8501873565543
"219",900,"interpolated",0,15.625,15.197,16.053,0.997,0.996,0.997,"Maui Nui","20",12.9943040008188
"220",1000,"interpolated",0,15.935,15.499,16.371,0.997,0.997,0.997,"Maui Nui","20",13.1989199939679
"221",1,"interpolated",0,1,1,1,0.52,0.513,0.527,"Maui Nui","21",1.01981110409481
"222",100,"interpolated",0,6.035,5.939,6.131,0.984,0.983,0.984,"Maui Nui","21",8.06753997015173
"223",200,"interpolated",0,7.249,7.115,7.382,0.991,0.991,0.991,"Maui Nui","21",9.75720113978417
"224",300,"interpolated",0,7.972,7.817,8.127,0.994,0.994,0.995,"Maui Nui","21",10.6052504077115
"225",400,"interpolated",0,8.45,8.284,8.616,0.996,0.996,0.996,"Maui Nui","21",11.4202499144328
"226",500,"interpolated",0,8.788,8.617,8.958,0.997,0.997,0.997,"Maui Nui","21",11.7793426865683
"227",600,"interpolated",0,9.037,8.868,9.207,0.998,0.998,0.998,"Maui Nui","21",12.313873455365
"228",700,"interpolated",0,9.228,9.064,9.393,0.998,0.998,0.998,"Maui Nui","21",12.4950799705531
"229",800,"interpolated",0,9.378,9.222,9.534,0.999,0.999,0.999,"Maui Nui","21",12.8501873565543
"230",900,"interpolated",0,9.497,9.351,9.643,0.999,0.999,0.999,"Maui Nui","21",12.9943040008188
"231",1000,"interpolated",0,9.592,9.457,9.727,0.999,0.999,0.999,"Maui Nui","21",13.1989199939679
"232",1,"interpolated",0,1,1,1,0.196,0.193,0.2,"Maui Nui","22",1.01981110409481
"233",100,"interpolated",0,10.089,9.886,10.292,0.975,0.974,0.977,"Maui Nui","22",8.06753997015173
"234",200,"interpolated",0,11.949,11.649,12.248,0.986,0.985,0.987,"Maui Nui","22",9.75720113978417
"235",300,"interpolated",0,13.138,12.765,13.51,0.99,0.989,0.991,"Maui Nui","22",10.6052504077115
"236",400,"interpolated",0,14.009,13.577,14.442,0.992,0.992,0.993,"Maui Nui","22",11.4202499144328
"237",500,"interpolated",0,14.701,14.219,15.182,0.994,0.993,0.994,"Maui Nui","22",11.7793426865683
"238",600,"interpolated",0,15.278,14.756,15.8,0.995,0.994,0.995,"Maui Nui","22",12.313873455365
"239",700,"interpolated",0,15.776,15.222,16.33,0.995,0.995,0.996,"Maui Nui","22",12.4950799705531
"240",800,"interpolated",0,16.215,15.634,16.795,0.996,0.996,0.996,"Maui Nui","22",12.8501873565543
"241",900,"interpolated",0,16.606,16.005,17.206,0.996,0.996,0.997,"Maui Nui","22",12.9943040008188
"242",1000,"interpolated",0,16.957,16.341,17.574,0.997,0.996,0.997,"Maui Nui","22",13.1989199939679
"243",1,"interpolated",0,1,1,1,0.28,0.276,0.285,"Maui Nui","23",1.01981110409481
"244",100,"interpolated",0,9.438,9.288,9.588,0.973,0.972,0.974,"Maui Nui","23",8.06753997015173
"245",200,"interpolated",0,11.449,11.25,11.649,0.985,0.984,0.985,"Maui Nui","23",9.75720113978417
"246",300,"interpolated",0,12.662,12.447,12.877,0.99,0.99,0.991,"Maui Nui","23",10.6052504077115
"247",400,"interpolated",0,13.448,13.231,13.665,0.994,0.993,0.994,"Maui Nui","23",11.4202499144328
"248",500,"interpolated",0,13.982,13.77,14.195,0.996,0.995,0.996,"Maui Nui","23",11.7793426865683
"249",600,"interpolated",0,14.36,14.155,14.565,0.997,0.997,0.997,"Maui Nui","23",12.313873455365
"250",700,"interpolated",0,14.634,14.437,14.832,0.998,0.997,0.998,"Maui Nui","23",12.4950799705531
"251",800,"interpolated",0,14.839,14.648,15.03,0.998,0.998,0.998,"Maui Nui","23",12.8501873565543
"252",900,"interpolated",0,14.995,14.809,15.18,0.999,0.998,0.999,"Maui Nui","23",12.9943040008188
"253",1000,"interpolated",0,15.116,14.934,15.297,0.999,0.999,0.999,"Maui Nui","23",13.1989199939679
"254",1,"interpolated",0,1,1,1,0.203,0.201,0.206,"Maui Nui","24",1.01981110409481
"255",100,"interpolated",0,10.531,10.382,10.68,0.973,0.972,0.974,"Maui Nui","24",8.06753997015173
