"geo_entity2","Partition","Mean","Lower","Upper"
"Hawai'i Island","adjr2_env",0.0622982767201657,0.017414844388922,0.107421721848578
"Hawai'i Island","adjr2_env_space",0.0824886626221217,0.013442824457275,0.152760363999808
"Hawai'i Island","adjr2_space",0.00836827023152853,-0.0321923186549623,0.0483725392294054
"Kaua'i Island","adjr2_env",0.161061613895445,0.12128648312062,0.203442235879538
"Kaua'i Island","adjr2_env_space",0.0927604102332197,0.0242707292134467,0.161094060415871
"Kaua'i Island","adjr2_space",0.0349004726166118,-0.00646667872950164,0.078461550168083
"Maui Nui","adjr2_env",0.401908624864703,0.349896155011904,0.454146262074961
"Maui Nui","adjr2_env_space",0.573522220255503,0.510110602472789,0.636322030272987
"Maui Nui","adjr2_space",0.287172818514609,0.225733133978628,0.350174269374142
"O'ahu Island","adjr2_env",0.257026305094591,0.220361398572025,0.293552308229705
"O'ahu Island","adjr2_env_space",0.20403522274667,0.141330224977192,0.264791670597753
"O'ahu Island","adjr2_space",-0.0691832316603529,-0.110128308823563,-0.0289205183533483
