"geo_entity2","value","l.QD","h.QD"
"Hawai'i",1.96107388039421,1.86927322206275,2.04666472376254
"Maui Nui",1.62106709698482,1.49432888122234,1.7729846917005
"O'ahu",2.13572611322538,1.73578410405611,2.5926685372889
"Kaua'i",2.74343385804948,1.75251073483373,3.67827354574765
