"geo_entity2","mean_MAP","r_MAP","mean_MAT","r_MAT","mean_PET","r_PET","r_Elev","m_PlotArea","sd_PlotArea"
"Hawai'i Island",3110.35131402588,3008.21898620606,21.9091429843903,6.70040144920348,1328.80166589355,196.582894287109,1097.64794691086,7130.5953,375.16058088963
"Kaua'i Island",1859.23350549316,1219.28621826172,20.3535334014893,6.94416486740109,1318.3889197998,192.166844482422,930.146223793029,7050.3557,547.797481835729
"Maui Nui",4352.36717138672,4395.42840820312,19.7627899360657,8.20329169273377,1242.4270222168,213.743834228517,1312.9355770874,7146.3019,335.528035212447
"O'ahu Island",1905.40850427246,2411.06627563477,21.5175092449188,4.37432004928594,1329.6285090332,110.452601318359,629.314663124085,6887.1314,359.451651628736
