"geo_entity2","mean_MAP","r_MAP","mean_MAT","r_MAT","mean_PET","r_PET","mean_Arid","r_Arid","mean_minElev","mean_maxElev","r_Elev","mean_SubstrateAge","mean_minSubstrateAge","mean_maxSubstrateAge","r_SubstrateAge","m_PlotArea","sd_PlotArea"
"Hawai'i Island",2681.20031869507,4102.38159454346,17.6261596021652,11.5609607124329,2404.5553079834,2430.95960205078,1.22819094918363,2.41984632327378,66.9084615135193,1962.83791748047,1895.92945596695,13081.9465,175.54,91298.75,91123.21,7247.8307,489.803408638248
"Kaua'i Island",1900.6320390625,2863.29236572266,19.733218667984,7.04766421318057,2813.85371264649,1916.17620117187,0.693592421008686,1.1941660922672,74.7894491958618,1132.44796020508,1057.65851100921,3902330.75396825,2049000,4750000,2701000,7076.0686,729.972299504909
"Maui Nui",3744.42934161377,6737.49751647949,16.7896138906479,10.4641953277588,2344.1777364502,1596.95029663086,1.78909500469751,3.9654118643541,211.193796386719,1741.18049804688,1529.98670166016,740761.755555556,17501.5,1476900,1459398.5,7611.3881,402.918101873775
"O'ahu Island",1901.31208227539,3278.74971923828,20.9442370758057,4.82944166183471,3220.37981274414,1603.08318847657,0.611966512923845,1.23876254052537,76.2774306523801,740.837652587891,664.560221935511,2570342.51984127,1806000,3224950,1418950,6887.3904,469.719767058504
