"geo_entity2","value","l.QD","h.QD"
"Hawai'i",1.96107388039421,1.87286262652511,2.03886675045553
"Maui Nui",1.62106709698482,1.48491121810427,1.7625975828514
"O'ahu",2.13572611322538,1.71867945913299,2.58367120396283
"Kaua'i",2.74343385804948,1.83037495879101,3.7087734632165
