"geo_entity2","beta_ENS_PIE","l.QD","h.QD"
"Hawai'i",1.93996244815232,1.83930072503705,2.04418907858379
"Maui Nui",1.5893324296716,1.5341837340916,1.64825740677411
"O'ahu",2.21748864464954,2.09286772972193,2.34156116145603
"Kaua'i",2.43475717197811,2.3829240258079,2.48822393776797
