"geo_entity2","m","method","order","SC","qD","qD.LCL","qD.UCL","iteration"
"Hawai'i Island",1000,"interpolated",0,0.999,11.644,11.512,11.775,1
"Hawai'i Island",1000,"interpolated",1,0.999,5.419,5.346,5.491,1
"Hawai'i Island",1000,"interpolated",2,0.999,3.894,3.827,3.962,1
"Kaua'i Island",1000,"interpolated",0,0.995,28.339,27.649,29.029,1
"Kaua'i Island",1000,"interpolated",1,0.995,6.736,6.578,6.895,1
"Kaua'i Island",1000,"interpolated",2,0.995,4.066,3.991,4.141,1
"Maui Nui",1000,"interpolated",0,0.999,10.177,9.977,10.378,1
"Maui Nui",1000,"interpolated",1,0.999,4.468,4.421,4.516,1
"Maui Nui",1000,"interpolated",2,0.999,3.571,3.523,3.618,1
"O'ahu Island",1000,"interpolated",0,0.997,16.813,16.356,17.27,1
"O'ahu Island",1000,"interpolated",1,0.997,5.261,5.176,5.346,1
"O'ahu Island",1000,"interpolated",2,0.997,3.515,3.449,3.582,1
"Hawai'i Island",1000,"interpolated",0,1,10.531,10.289,10.773,2
"Hawai'i Island",1000,"interpolated",1,1,3.983,3.918,4.047,2
"Hawai'i Island",1000,"interpolated",2,1,3.015,2.969,3.061,2
"Kaua'i Island",1000,"interpolated",0,0.996,28.906,28.297,29.515,2
"Kaua'i Island",1000,"interpolated",1,0.996,6.006,5.844,6.169,2
"Kaua'i Island",1000,"interpolated",2,0.996,3.194,3.109,3.28,2
"Maui Nui",1000,"interpolated",0,1,9.88,9.808,9.953,2
"Maui Nui",1000,"interpolated",1,1,5.288,5.222,5.354,2
"Maui Nui",1000,"interpolated",2,1,4.204,4.137,4.27,2
"O'ahu Island",1000,"interpolated",0,0.999,16.698,16.457,16.939,2
"O'ahu Island",1000,"interpolated",1,0.999,5.626,5.488,5.764,2
"O'ahu Island",1000,"interpolated",2,0.999,3.66,3.557,3.763,2
"Hawai'i Island",1000,"interpolated",0,0.999,6.212,6.019,6.405,3
"Hawai'i Island",1000,"interpolated",1,0.999,2.909,2.882,2.937,3
"Hawai'i Island",1000,"interpolated",2,0.999,2.433,2.406,2.461,3
"Kaua'i Island",1000,"interpolated",0,0.994,24.502,23.737,25.268,3
"Kaua'i Island",1000,"interpolated",1,0.994,6.809,6.688,6.93,3
"Kaua'i Island",1000,"interpolated",2,0.994,4.849,4.778,4.919,3
"Maui Nui",1000,"interpolated",0,0.998,15.565,15.171,15.959,3
"Maui Nui",1000,"interpolated",1,0.998,5.589,5.497,5.681,3
"Maui Nui",1000,"interpolated",2,0.998,3.694,3.619,3.768,3
"O'ahu Island",1000,"interpolated",0,0.998,14.821,14.492,15.15,3
"O'ahu Island",1000,"interpolated",1,0.998,3.515,3.447,3.582,3
"O'ahu Island",1000,"interpolated",2,0.998,2.527,2.483,2.57,3
"Hawai'i Island",1000,"interpolated",0,0.999,13.423,13.258,13.587,4
"Hawai'i Island",1000,"interpolated",1,0.999,3.695,3.634,3.755,4
"Hawai'i Island",1000,"interpolated",2,0.999,2.304,2.267,2.341,4
"Kaua'i Island",1000,"interpolated",0,0.998,14.655,14.281,15.03,4
"Kaua'i Island",1000,"interpolated",1,0.998,4.807,4.719,4.895,4
"Kaua'i Island",1000,"interpolated",2,0.998,3.419,3.366,3.472,4
"Maui Nui",1000,"interpolated",0,0.999,10.519,10.344,10.695,4
"Maui Nui",1000,"interpolated",1,0.999,4.671,4.602,4.74,4
"Maui Nui",1000,"interpolated",2,0.999,3.277,3.214,3.339,4
"O'ahu Island",1000,"interpolated",0,0.997,15.016,14.615,15.416,4
"O'ahu Island",1000,"interpolated",1,0.997,3.389,3.329,3.448,4
"O'ahu Island",1000,"interpolated",2,0.997,2.211,2.172,2.249,4
"Hawai'i Island",1000,"interpolated",0,1,6.707,6.591,6.824,5
"Hawai'i Island",1000,"interpolated",1,1,1.699,1.677,1.721,5
"Hawai'i Island",1000,"interpolated",2,1,1.288,1.279,1.298,5
"Kaua'i Island",1000,"interpolated",0,0.997,18.687,18.172,19.202,5
"Kaua'i Island",1000,"interpolated",1,0.997,5.026,4.925,5.127,5
"Kaua'i Island",1000,"interpolated",2,0.997,3.617,3.552,3.682,5
"Maui Nui",1000,"interpolated",0,0.999,8.739,8.598,8.88,5
"Maui Nui",1000,"interpolated",1,0.999,3.911,3.857,3.965,5
"Maui Nui",1000,"interpolated",2,0.999,2.921,2.871,2.971,5
"O'ahu Island",1000,"interpolated",0,0.997,13.675,13.231,14.118,5
"O'ahu Island",1000,"interpolated",1,0.997,3.689,3.631,3.747,5
"O'ahu Island",1000,"interpolated",2,0.997,2.658,2.614,2.702,5
"Hawai'i Island",1000,"interpolated",0,0.999,8.396,8.142,8.65,6
"Hawai'i Island",1000,"interpolated",1,0.999,2.825,2.78,2.871,6
"Hawai'i Island",1000,"interpolated",2,0.999,2.383,2.354,2.412,6
"Kaua'i Island",1000,"interpolated",0,0.998,16.242,15.878,16.607,6
"Kaua'i Island",1000,"interpolated",1,0.998,5.905,5.811,5.998,6
"Kaua'i Island",1000,"interpolated",2,0.998,4.431,4.369,4.493,6
"Maui Nui",1000,"interpolated",0,0.999,8.764,8.663,8.865,6
