"Scenario","geo_entity2","mean_distt","min_distt","min_min"
"Age","Hawai'i Island",53.9412000953826,3.55172173970879,0.179054277568889
"Age","Kaua'i Island",14.1308663013982,1.62256611538106,1.05750938201913
"Age","Maui Nui",48.8500895127159,0.79515025625454,0.118354772424156
"Age","O'ahu Island",23.7660525636532,2.11866826816559,0.676219038169457
"Het+Age","Hawai'i Island",50.5681174512736,4.2290556771402,0.255743640138628
"Het+Age","Kaua'i Island",14.9275477099956,1.7930367646805,1.05750938201913
"Het+Age","Maui Nui",47.9069369432757,0.739327717041983,0.111922728457553
"Het+Age","O'ahu Island",23.3541381699942,2.22355223667098,0.676219038169457
