"geo_entity2","beta_ENS_PIE","l.QD","h.QD"
"Hawai'i",1.80842791491408,1.69202088218347,1.92716727210553
"Maui Nui",1.53344972492091,1.46562906646479,1.60464180561424
"O'ahu",1.81833463199598,1.69285161105809,1.9412400020703
"Kaua'i",1.84639050217259,1.77832009428592,1.91254889438124
