"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1,"interpolated",0,1,1,1,0.34,0.335,0.346,"Hawai'i Island",1
100,"interpolated",0,6.879,6.729,7.029,0.991,0.99,0.992,"Hawai'i Island",1
200,"interpolated",0,7.567,7.342,7.792,0.995,0.994,0.995,"Hawai'i Island",1
300,"interpolated",0,8.035,7.771,8.3,0.996,0.996,0.996,"Hawai'i Island",1
400,"interpolated",0,8.385,8.097,8.673,0.997,0.997,0.997,"Hawai'i Island",1
500,"interpolated",0,8.655,8.353,8.956,0.998,0.997,0.998,"Hawai'i Island",1
600,"interpolated",0,8.868,8.559,9.177,0.998,0.998,0.998,"Hawai'i Island",1
700,"interpolated",0,9.04,8.729,9.351,0.998,0.998,0.999,"Hawai'i Island",1
800,"interpolated",0,9.181,8.873,9.49,0.999,0.999,0.999,"Hawai'i Island",1
900,"interpolated",0,9.299,8.995,9.602,0.999,0.999,0.999,"Hawai'i Island",1
1000,"interpolated",0,9.397,9.101,9.694,0.999,0.999,0.999,"Hawai'i Island",1
1,"interpolated",0,1,1,1,0.181,0.177,0.186,"Kaua'i Island",1
100,"interpolated",0,12.854,12.57,13.138,0.962,0.96,0.964,"Kaua'i Island",1
200,"interpolated",0,15.632,15.224,16.041,0.979,0.978,0.98,"Kaua'i Island",1
300,"interpolated",0,17.4,16.917,17.882,0.985,0.984,0.986,"Kaua'i Island",1
400,"interpolated",0,18.673,18.145,19.202,0.989,0.988,0.99,"Kaua'i Island",1
500,"interpolated",0,19.638,19.08,20.197,0.992,0.991,0.992,"Kaua'i Island",1
600,"interpolated",0,20.394,19.816,20.972,0.993,0.993,0.994,"Kaua'i Island",1
700,"interpolated",0,21.002,20.412,21.591,0.995,0.994,0.995,"Kaua'i Island",1
800,"interpolated",0,21.501,20.905,22.097,0.995,0.995,0.996,"Kaua'i Island",1
900,"interpolated",0,21.919,21.32,22.517,0.996,0.996,0.996,"Kaua'i Island",1
1000,"interpolated",0,22.274,21.677,22.871,0.997,0.996,0.997,"Kaua'i Island",1
1,"interpolated",0,1,1,1,0.266,0.262,0.271,"Maui Nui",1
100,"interpolated",0,13.137,12.822,13.451,0.946,0.944,0.948,"Maui Nui",1
200,"interpolated",0,16.886,16.48,17.293,0.974,0.973,0.975,"Maui Nui",1
300,"interpolated",0,18.891,18.434,19.348,0.984,0.983,0.985,"Maui Nui",1
400,"interpolated",0,20.187,19.692,20.681,0.989,0.988,0.99,"Maui Nui",1
500,"interpolated",0,21.119,20.596,21.643,0.992,0.991,0.993,"Maui Nui",1
