"geo_entity2","mean_MAP","mean_PET","r_PET","m_PlotArea","sd_PlotArea"
"Hawai'i Island",3143.43057434082,1334.00289685059,169.249718017578,7132.6316,343.299857193284
"Kaua'i Island",1810.03325439453,1326.27191870117,162.947360839843,7060.7362,397.457936585887
"Maui Nui",4557.11032470703,1253.19459973145,146.880329589843,7151.5198,370.321376213645
"O'ahu Island",1908.27923693848,1331.14894311523,111.240676269531,6854.8969,362.981307979926
