"geo_entity2","PlotID","SPP_CODE3A","Abundance_ha","r_PET","meanPET","meanMAP","totPlotArea","Iteration"
"Maui Nui",160,"CHETRI",590,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",160,"CIBGLA",200,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",160,"CIBMEN",1920,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",160,"ILEANO",80,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",160,"METPOL",1060,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",160,"MYRLES",10,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",378,"PSYODO",771,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",176,"ACAKO2",230,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",176,"DIOSAN",30,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",176,"NOTSAN",20,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",168,"CHETRI",380,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",168,"CIBGLA",80,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",168,"CIBMEN",240,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",168,"METPOL",2030,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",167,"CHETRI",360,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",167,"CIBGLA",160,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",167,"CIBMEN",3920,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",167,"ILEANO",10,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",167,"METPOL",630,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",167,"MYRLES",40,180.77624511718,1227.8130859375,4598.51157226563,4672.45,1
"Maui Nui",48,"CHETRI",590,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",48,"CIBGLA",600,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",48,"CIBMEN",80,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",48,"METPOL",1230,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",407,"CHETRI",771,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",407,"CIBGLA",178,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",407,"METPOL",2729,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",31,"CHETRI",680,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",31,"CIBMEN",40,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",31,"METPOL",2230,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",31,"MYRLES",40,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",31,"POLOAH",10,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",153,"CHETRI",50,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",153,"METPOL",490,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",153,"SADSPP",40,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",224,"ACAKOA",20,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",224,"CHETRI",190,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",224,"CLEARB",20,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",224,"COPFOL",50,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",224,"ILEANO",30,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",224,"MELHAL",30,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",224,"MELVOL",30,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",224,"METPOL",170,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",224,"VACDEN",50,91.45178222656,1158.345703125,5068.62573242188,4504.34,2
"Maui Nui",26,"CHETRI",400,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",26,"CIBGLA",200,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",26,"METPOL",770,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",348,"ANTPLA",1602,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",348,"METPOL",2018,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",222,"ERYSAN",420,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",34,"ACAKOA",70,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",34,"CHETRI",70,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",34,"CIBGLA",1560,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",34,"CIBMEN",320,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",34,"MELCLU",10,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",34,"METPOL",1050,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",34,"SYZSAN",120,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"ACAKOA",140,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"ANTPLA",10,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"CHETRI",230,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"CIBGLA",1000,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"CIBMEN",1040,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"ILEANO",20,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"MELCLU",60,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"METPOL",900,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"PSYSPP",20,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"SADPAL",40,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",37,"SYZSAN",30,73.833984375,1199.74143066406,5058.48193359375,4672.45,3
"Maui Nui",176,"ACAKO2",230,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",176,"DIOSAN",30,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",176,"NOTSAN",20,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",365,"CHETRI",178,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",365,"METPOL",4450,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",365,"MYRLES",119,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",21,"CHETRI",110,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",21,"COPOCH",80,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",21,"METPOL",1040,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",21,"MYRLES",10,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",21,"SADSOU",520,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",165,"CHETRI",540,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",165,"CIBGLA",360,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",165,"CIBMEN",1040,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",165,"METPOL",1740,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",165,"MYRLES",40,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",144,"CHETRI",300,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",144,"CIBGLA",400,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",144,"CIBMEN",1680,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",144,"ILEANO",50,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",144,"METPOL",1030,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",144,"SADPAL",40,174.7216796875,1152.37917480469,4475.29204101563,4672.45,4
"Maui Nui",33,"ACAKOA",160,103.88671875,1152.49665527344,5147.1236328125,4672.45,5
