"geo_entity2","m","method","order","SC","qD","qD.LCL","qD.UCL","iteration"
"Hawai'i Island",1000,"interpolated",0,0.999,8.63,8.361,8.899,1
"Hawai'i Island",1000,"interpolated",1,0.999,1.78,1.754,1.806,1
"Hawai'i Island",1000,"interpolated",2,0.999,1.322,1.31,1.334,1
"Kaua'i Island",1000,"interpolated",0,0.994,39.136,38.459,39.812,1
"Kaua'i Island",1000,"interpolated",1,0.994,8.336,8.095,8.577,1
"Kaua'i Island",1000,"interpolated",2,0.994,4.233,4.137,4.328,1
"Maui Nui",1000,"interpolated",0,0.998,16.058,15.733,16.382,1
"Maui Nui",1000,"interpolated",1,0.998,5.397,5.321,5.473,1
"Maui Nui",1000,"interpolated",2,0.998,3.984,3.917,4.052,1
"O'ahu Island",1000,"interpolated",0,0.999,22.857,22.661,23.052,1
"O'ahu Island",1000,"interpolated",1,0.999,6.435,6.118,6.752,1
"O'ahu Island",1000,"interpolated",2,0.999,3.474,3.314,3.634,1
"Hawai'i Island",1000,"interpolated",0,0.999,7.806,7.709,7.904,2
"Hawai'i Island",1000,"interpolated",1,0.999,2.389,2.345,2.432,2
"Hawai'i Island",1000,"interpolated",2,0.999,1.731,1.705,1.758,2
"Kaua'i Island",1000,"interpolated",0,0.994,23.684,23.075,24.294,2
"Kaua'i Island",1000,"interpolated",1,0.994,6.869,6.784,6.955,2
"Kaua'i Island",1000,"interpolated",2,0.994,5.215,5.157,5.273,2
"Maui Nui",1000,"interpolated",0,0.999,10.777,10.674,10.88,2
"Maui Nui",1000,"interpolated",1,0.999,4.243,4.19,4.296,2
"Maui Nui",1000,"interpolated",2,0.999,3.343,3.302,3.384,2
"O'ahu Island",1000,"interpolated",0,0.996,15.228,14.611,15.846,2
"O'ahu Island",1000,"interpolated",1,0.996,6.148,6.076,6.219,2
"O'ahu Island",1000,"interpolated",2,0.996,5.209,5.149,5.268,2
"Hawai'i Island",1000,"interpolated",0,0.999,9.278,9.13,9.426,3
"Hawai'i Island",1000,"interpolated",1,0.999,2.896,2.866,2.926,3
"Hawai'i Island",1000,"interpolated",2,0.999,2.034,2.012,2.055,3
"Kaua'i Island",1000,"interpolated",0,0.993,28.988,28.309,29.666,3
"Kaua'i Island",1000,"interpolated",1,0.993,6.908,6.791,7.026,3
"Kaua'i Island",1000,"interpolated",2,0.993,4.677,4.608,4.746,3
"Maui Nui",1000,"interpolated",0,0.998,13.608,13.353,13.864,3
"Maui Nui",1000,"interpolated",1,0.998,5.173,5.12,5.226,3
"Maui Nui",1000,"interpolated",2,0.998,4.245,4.205,4.285,3
"O'ahu Island",1000,"interpolated",0,0.997,22.151,21.66,22.642,3
"O'ahu Island",1000,"interpolated",1,0.997,3.984,3.893,4.075,3
"O'ahu Island",1000,"interpolated",2,0.997,2.472,2.426,2.518,3
"Hawai'i Island",1000,"interpolated",0,0.999,15.89,15.638,16.141,4
"Hawai'i Island",1000,"interpolated",1,0.999,4.262,4.197,4.327,4
"Hawai'i Island",1000,"interpolated",2,0.999,2.559,2.514,2.603,4
"Kaua'i Island",1000,"interpolated",0,0.997,26.103,25.728,26.479,4
"Kaua'i Island",1000,"interpolated",1,0.997,7.529,7.411,7.647,4
"Kaua'i Island",1000,"interpolated",2,0.997,5.235,5.165,5.305,4
"Maui Nui",1000,"interpolated",0,0.998,12.706,12.49,12.922,4
"Maui Nui",1000,"interpolated",1,0.998,5.511,5.457,5.566,4
"Maui Nui",1000,"interpolated",2,0.998,4.202,4.155,4.249,4
"O'ahu Island",1000,"interpolated",0,0.997,15.161,14.714,15.608,4
"O'ahu Island",1000,"interpolated",1,0.997,4.9,4.822,4.978,4
"O'ahu Island",1000,"interpolated",2,0.997,4.034,3.987,4.08,4
"Hawai'i Island",1000,"interpolated",0,0.999,4.751,4.637,4.864,5
"Hawai'i Island",1000,"interpolated",1,0.999,1.173,1.162,1.184,5
"Hawai'i Island",1000,"interpolated",2,0.999,1.063,1.058,1.068,5
