"geo_entity2","m","method","order","SC","qD","qD.LCL","qD.UCL","iteration"
"Hawai'i Island",1000,"interpolated",0,0.999,13.162,12.993,13.332,1
"Hawai'i Island",1000,"interpolated",1,0.999,5.73,5.669,5.791,1
"Hawai'i Island",1000,"interpolated",2,0.999,4.205,4.154,4.256,1
"Kaua'i Island",1000,"interpolated",0,0.993,36.114,35.281,36.946,1
"Kaua'i Island",1000,"interpolated",1,0.993,8.49,8.295,8.684,1
"Kaua'i Island",1000,"interpolated",2,0.993,5.259,5.155,5.363,1
"Maui Nui",1000,"interpolated",0,0.997,18.239,17.785,18.693,1
"Maui Nui",1000,"interpolated",1,0.997,6.111,6.001,6.222,1
"Maui Nui",1000,"interpolated",2,0.997,3.818,3.734,3.903,1
"O'ahu Island",1000,"interpolated",0,0.998,19.412,18.997,19.827,1
"O'ahu Island",1000,"interpolated",1,0.998,7.258,7.15,7.366,1
"O'ahu Island",1000,"interpolated",2,0.998,5.696,5.611,5.781,1
"Hawai'i Island",1000,"interpolated",0,0.999,11.352,11.176,11.528,2
"Hawai'i Island",1000,"interpolated",1,0.999,2.788,2.746,2.83,2
"Hawai'i Island",1000,"interpolated",2,0.999,1.879,1.853,1.906,2
"Kaua'i Island",1000,"interpolated",0,0.993,35.9,35.103,36.697,2
"Kaua'i Island",1000,"interpolated",1,0.993,7.494,7.293,7.694,2
"Kaua'i Island",1000,"interpolated",2,0.993,4.597,4.505,4.689,2
"Maui Nui",1000,"interpolated",0,0.999,11.231,11.038,11.423,2
"Maui Nui",1000,"interpolated",1,0.999,4.637,4.587,4.687,2
"Maui Nui",1000,"interpolated",2,0.999,3.538,3.494,3.581,2
"O'ahu Island",1000,"interpolated",0,0.998,11.12,10.771,11.468,2
"O'ahu Island",1000,"interpolated",1,0.998,4.381,4.319,4.442,2
"O'ahu Island",1000,"interpolated",2,0.998,3.15,3.1,3.2,2
"Hawai'i Island",1000,"interpolated",0,0.998,15.458,15.087,15.828,3
"Hawai'i Island",1000,"interpolated",1,0.998,3.63,3.569,3.691,3
"Hawai'i Island",1000,"interpolated",2,0.998,2.318,2.282,2.354,3
"Kaua'i Island",1000,"interpolated",0,0.993,36.904,36.09,37.718,3
"Kaua'i Island",1000,"interpolated",1,0.993,8.452,8.258,8.646,3
"Kaua'i Island",1000,"interpolated",2,0.993,5.106,5.004,5.207,3
"Maui Nui",1000,"interpolated",0,0.999,10.176,9.977,10.376,3
"Maui Nui",1000,"interpolated",1,0.999,3.707,3.655,3.759,3
"Maui Nui",1000,"interpolated",2,0.999,2.497,2.454,2.54,3
"O'ahu Island",1000,"interpolated",0,0.996,18.137,17.609,18.664,3
"O'ahu Island",1000,"interpolated",1,0.996,3.558,3.492,3.623,3
"O'ahu Island",1000,"interpolated",2,0.996,2.44,2.403,2.478,3
"Hawai'i Island",1000,"interpolated",0,0.999,9.126,8.79,9.462,4
"Hawai'i Island",1000,"interpolated",1,0.999,3.93,3.867,3.993,4
"Hawai'i Island",1000,"interpolated",2,0.999,3.166,3.116,3.216,4
"Kaua'i Island",1000,"interpolated",0,0.994,37.697,36.907,38.487,4
"Kaua'i Island",1000,"interpolated",1,0.994,8.751,8.494,9.007,4
"Kaua'i Island",1000,"interpolated",2,0.994,4.959,4.84,5.078,4
"Maui Nui",1000,"interpolated",0,0.997,17.716,17.262,18.17,4
"Maui Nui",1000,"interpolated",1,0.997,5.378,5.291,5.465,4
"Maui Nui",1000,"interpolated",2,0.997,3.765,3.699,3.83,4
"O'ahu Island",1000,"interpolated",0,0.997,24.317,23.787,24.847,4
"O'ahu Island",1000,"interpolated",1,0.997,5.418,5.27,5.566,4
"O'ahu Island",1000,"interpolated",2,0.997,3.549,3.469,3.629,4
"Hawai'i Island",1000,"interpolated",0,1,10.898,10.838,10.958,5
"Hawai'i Island",1000,"interpolated",1,1,4.33,4.268,4.393,5
"Hawai'i Island",1000,"interpolated",2,1,2.977,2.931,3.022,5
"Kaua'i Island",1000,"interpolated",0,0.993,37.449,36.631,38.267,5
"Kaua'i Island",1000,"interpolated",1,0.993,8.301,8.089,8.512,5
"Kaua'i Island",1000,"interpolated",2,0.993,5.041,4.943,5.14,5
"Maui Nui",1000,"interpolated",0,0.999,9.715,9.598,9.831,5
"Maui Nui",1000,"interpolated",1,0.999,3.5,3.447,3.552,5
"Maui Nui",1000,"interpolated",2,0.999,2.27,2.234,2.306,5
"O'ahu Island",1000,"interpolated",0,0.995,19.555,18.854,20.255,5
"O'ahu Island",1000,"interpolated",1,0.995,3.164,3.093,3.236,5
"O'ahu Island",1000,"interpolated",2,0.995,2.162,2.128,2.196,5
"Hawai'i Island",1000,"interpolated",0,1,9.99,9.98,10,6
"Hawai'i Island",1000,"interpolated",1,1,4.227,4.169,4.286,6
"Hawai'i Island",1000,"interpolated",2,1,3.189,3.141,3.237,6
"Kaua'i Island",1000,"interpolated",0,0.995,29.592,28.971,30.214,6
"Kaua'i Island",1000,"interpolated",1,0.995,6.912,6.762,7.062,6
"Kaua'i Island",1000,"interpolated",2,0.995,4.262,4.176,4.347,6
"Maui Nui",1000,"interpolated",0,0.997,18.943,18.628,19.259,6
"Maui Nui",1000,"interpolated",1,0.997,5.096,5.01,5.182,6
"Maui Nui",1000,"interpolated",2,0.997,3.261,3.205,3.317,6
"O'ahu Island",1000,"interpolated",0,0.996,21.57,21.011,22.129,6
"O'ahu Island",1000,"interpolated",1,0.996,6.449,6.326,6.572,6
"O'ahu Island",1000,"interpolated",2,0.996,4.886,4.803,4.97,6
"Hawai'i Island",1000,"interpolated",0,0.999,9.21,8.997,9.423,7
"Hawai'i Island",1000,"interpolated",1,0.999,4.434,4.379,4.489,7
"Hawai'i Island",1000,"interpolated",2,0.999,3.259,3.21,3.308,7
"Kaua'i Island",1000,"interpolated",0,0.993,27.769,26.98,28.557,7
"Kaua'i Island",1000,"interpolated",1,0.993,6.196,6.064,6.328,7
"Kaua'i Island",1000,"interpolated",2,0.993,3.872,3.802,3.941,7
"Maui Nui",1000,"interpolated",0,0.998,10.987,10.778,11.195,7
"Maui Nui",1000,"interpolated",1,0.998,4.044,3.997,4.092,7
"Maui Nui",1000,"interpolated",2,0.998,3.013,2.973,3.052,7
"O'ahu Island",1000,"interpolated",0,0.998,18.137,17.877,18.396,7
"O'ahu Island",1000,"interpolated",1,0.998,6.33,6.227,6.433,7
"O'ahu Island",1000,"interpolated",2,0.998,4.877,4.807,4.948,7
"Hawai'i Island",1000,"interpolated",0,0.999,11.646,11.509,11.783,8
"Hawai'i Island",1000,"interpolated",1,0.999,4.358,4.283,4.434,8
"Hawai'i Island",1000,"interpolated",2,0.999,2.869,2.818,2.921,8
"Kaua'i Island",1000,"interpolated",0,0.994,38.367,37.649,39.086,8
"Kaua'i Island",1000,"interpolated",1,0.994,8.519,8.26,8.778,8
"Kaua'i Island",1000,"interpolated",2,0.994,4.662,4.537,4.787,8
"Maui Nui",1000,"interpolated",0,0.997,17.672,17.281,18.063,8
"Maui Nui",1000,"interpolated",1,0.997,5.59,5.511,5.669,8
"Maui Nui",1000,"interpolated",2,0.997,3.734,3.675,3.792,8
"O'ahu Island",1000,"interpolated",0,0.998,19.746,19.405,20.087,8
"O'ahu Island",1000,"interpolated",1,0.998,6.17,6.061,6.28,8
"O'ahu Island",1000,"interpolated",2,0.998,4.654,4.581,4.727,8
"Hawai'i Island",1000,"interpolated",0,0.999,12.097,11.907,12.288,9
"Hawai'i Island",1000,"interpolated",1,0.999,5.701,5.648,5.755,9
"Hawai'i Island",1000,"interpolated",2,0.999,4.463,4.417,4.508,9
"Kaua'i Island",1000,"interpolated",0,0.993,35.542,34.691,36.392,9
"Kaua'i Island",1000,"interpolated",1,0.993,7.772,7.595,7.95,9
"Kaua'i Island",1000,"interpolated",2,0.993,4.68,4.579,4.781,9
"Maui Nui",1000,"interpolated",0,0.997,18.027,17.584,18.469,9
"Maui Nui",1000,"interpolated",1,0.997,4.209,4.139,4.278,9
"Maui Nui",1000,"interpolated",2,0.997,2.59,2.55,2.631,9
"O'ahu Island",1000,"interpolated",0,0.997,16.39,15.971,16.809,9
"O'ahu Island",1000,"interpolated",1,0.997,4.275,4.207,4.344,9
"O'ahu Island",1000,"interpolated",2,0.997,2.918,2.864,2.971,9
"Hawai'i Island",1000,"interpolated",0,0.998,18.027,17.662,18.392,10
"Hawai'i Island",1000,"interpolated",1,0.998,5.868,5.763,5.973,10
"Hawai'i Island",1000,"interpolated",2,0.998,3.437,3.366,3.509,10
"Kaua'i Island",1000,"interpolated",0,0.993,27.5,26.749,28.251,10
"Kaua'i Island",1000,"interpolated",1,0.993,6.048,5.911,6.185,10
"Kaua'i Island",1000,"interpolated",2,0.993,4.02,3.953,4.088,10
"Maui Nui",1000,"interpolated",0,0.996,21.74,21.215,22.266,10
"Maui Nui",1000,"interpolated",1,0.996,5.831,5.731,5.932,10
"Maui Nui",1000,"interpolated",2,0.996,3.534,3.469,3.598,10
"O'ahu Island",1000,"interpolated",0,0.997,17.751,17.397,18.105,10
"O'ahu Island",1000,"interpolated",1,0.997,4.976,4.887,5.064,10
"O'ahu Island",1000,"interpolated",2,0.997,3.294,3.235,3.353,10
"Hawai'i Island",1000,"interpolated",0,0.998,14.825,14.58,15.07,11
"Hawai'i Island",1000,"interpolated",1,0.998,4.809,4.737,4.881,11
"Hawai'i Island",1000,"interpolated",2,0.998,3.448,3.402,3.493,11
