"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1000,"interpolated",0,14.344,14.095,14.594,0.999,0.998,0.999,"Hawai'i Island",1
10000,"interpolated",0,15.985,15.894,16.077,1,1,1,"Hawai'i Island",1
1000,"interpolated",1,3.925,3.866,3.984,0.999,0.998,0.999,"Hawai'i Island",1
10000,"interpolated",1,3.952,3.893,4.012,1,1,1,"Hawai'i Island",1
1000,"interpolated",2,2.601,2.568,2.633,0.999,0.998,0.999,"Hawai'i Island",1
10000,"interpolated",2,2.605,2.572,2.637,1,1,1,"Hawai'i Island",1
1000,"interpolated",0,11.085,10.752,11.418,0.998,0.998,0.998,"Kaua'i Island",1
10000,"interpolated",0,13.947,13.815,14.079,1,1,1,"Kaua'i Island",1
1000,"interpolated",1,1.58,1.56,1.599,0.998,0.998,0.998,"Kaua'i Island",1
10000,"interpolated",1,1.589,1.57,1.609,1,1,1,"Kaua'i Island",1
1000,"interpolated",2,1.196,1.19,1.202,0.998,0.998,0.998,"Kaua'i Island",1
10000,"interpolated",2,1.196,1.19,1.203,1,1,1,"Kaua'i Island",1
1000,"interpolated",0,11.822,11.505,12.139,0.998,0.997,0.998,"Maui Nui",1
10000,"interpolated",0,13.978,13.873,14.083,1,1,1,"Maui Nui",1
1000,"interpolated",1,2.083,2.054,2.112,0.998,0.997,0.998,"Maui Nui",1
10000,"interpolated",1,2.096,2.067,2.126,1,1,1,"Maui Nui",1
1000,"interpolated",2,1.509,1.498,1.521,0.998,0.997,0.998,"Maui Nui",1
10000,"interpolated",2,1.51,1.498,1.522,1,1,1,"Maui Nui",1
1000,"interpolated",0,14.232,14.076,14.389,0.998,0.998,0.999,"O'ahu Island",1
10000,"interpolated",0,15.938,15.756,16.121,1,1,1,"O'ahu Island",1
1000,"interpolated",1,4.661,4.613,4.709,0.998,0.998,0.999,"O'ahu Island",1
10000,"interpolated",1,4.694,4.645,4.742,1,1,1,"O'ahu Island",1
1000,"interpolated",2,3.524,3.492,3.556,0.998,0.998,0.999,"O'ahu Island",1
10000,"interpolated",2,3.532,3.5,3.564,1,1,1,"O'ahu Island",1
1000,"interpolated",0,9.539,9.317,9.76,1,0.999,1,"Hawai'i Island",2
10000,"interpolated",0,10,9.999,10.001,1,1,1,"Hawai'i Island",2
1000,"interpolated",1,4.399,4.33,4.468,1,1,1,"Hawai'i Island",2
10000,"interpolated",1,4.417,4.349,4.486,1,1,1,"Hawai'i Island",2
1000,"interpolated",2,3.369,3.302,3.435,1,0.999,1,"Hawai'i Island",2
10000,"interpolated",2,3.376,3.309,3.443,1,1,1,"Hawai'i Island",2
1000,"interpolated",0,9.318,9.038,9.599,0.998,0.998,0.998,"Kaua'i Island",2
10000,"interpolated",0,11.914,11.764,12.063,1,1,1,"Kaua'i Island",2
1000,"interpolated",1,2.986,2.959,3.012,0.998,0.998,0.998,"Kaua'i Island",2
10000,"interpolated",1,3.001,2.974,3.028,1,1,1,"Kaua'i Island",2
1000,"interpolated",2,2.087,2.067,2.106,0.998,0.998,0.998,"Kaua'i Island",2
10000,"interpolated",2,2.089,2.069,2.109,1,1,1,"Kaua'i Island",2
1000,"interpolated",0,13.608,13.469,13.747,0.999,0.999,0.999,"Maui Nui",2
9797,"interpolated",0,14,14,14,1,1,1,"Maui Nui",2
9798,"observed",0,14,14,14,1,1,1,"Maui Nui",2
9799,"extrapolated",0,14,14,14,1,1,1,"Maui Nui",2
10000,"extrapolated",0,14,14,14,1,1,1,"Maui Nui",2
1000,"interpolated",1,3.483,3.394,3.572,0.999,0.999,0.999,"Maui Nui",2
9797,"interpolated",1,3.505,3.415,3.594,1,1,1,"Maui Nui",2
9798,"observed",1,3.505,3.415,3.594,1,1,1,"Maui Nui",2
9799,"extrapolated",1,3.505,3.415,3.594,1,1,1,"Maui Nui",2
10000,"extrapolated",1,3.505,3.416,3.594,1,1,1,"Maui Nui",2
1000,"interpolated",2,2.409,2.359,2.459,0.999,0.999,0.999,"Maui Nui",2
9797,"interpolated",2,2.412,2.362,2.463,1,1,1,"Maui Nui",2
9798,"observed",2,2.412,2.362,2.463,1,1,1,"Maui Nui",2
9799,"extrapolated",2,2.412,2.362,2.463,1,1,1,"Maui Nui",2
10000,"extrapolated",2,2.412,2.362,2.463,1,1,1,"Maui Nui",2
1000,"interpolated",0,16.157,15.995,16.32,0.998,0.998,0.998,"O'ahu Island",2
10000,"interpolated",0,17.876,17.712,18.041,1,1,1,"O'ahu Island",2
1000,"interpolated",1,5.845,5.789,5.9,0.998,0.998,0.998,"O'ahu Island",2
10000,"interpolated",1,5.891,5.835,5.948,1,1,1,"O'ahu Island",2
1000,"interpolated",2,4.392,4.354,4.43,0.998,0.998,0.998,"O'ahu Island",2
10000,"interpolated",2,4.405,4.367,4.443,1,1,1,"O'ahu Island",2
1000,"interpolated",0,9.563,9.417,9.709,0.999,0.999,0.999,"Hawai'i Island",3
10000,"interpolated",0,10.871,10.664,11.077,1,1,1,"Hawai'i Island",3
1000,"interpolated",1,2.839,2.817,2.861,0.999,0.999,0.999,"Hawai'i Island",3
10000,"interpolated",1,2.852,2.829,2.874,1,1,1,"Hawai'i Island",3
1000,"interpolated",2,2.049,2.03,2.068,0.999,0.999,0.999,"Hawai'i Island",3
10000,"interpolated",2,2.051,2.032,2.07,1,1,1,"Hawai'i Island",3
1000,"interpolated",0,9.418,9.174,9.663,0.998,0.998,0.998,"Kaua'i Island",3
10000,"interpolated",0,12.883,12.728,13.039,1,1,1,"Kaua'i Island",3
1000,"interpolated",1,1.824,1.804,1.844,0.998,0.998,0.998,"Kaua'i Island",3
10000,"interpolated",1,1.834,1.814,1.855,1,1,1,"Kaua'i Island",3
1000,"interpolated",2,1.351,1.342,1.36,0.998,0.998,0.998,"Kaua'i Island",3
10000,"interpolated",2,1.351,1.343,1.36,1,1,1,"Kaua'i Island",3
1000,"interpolated",0,9.673,9.529,9.817,0.999,0.999,0.999,"Maui Nui",3
10000,"interpolated",0,10,10,10,1,1,1,"Maui Nui",3
1000,"interpolated",1,4.422,4.377,4.468,0.999,0.999,0.999,"Maui Nui",3
10000,"interpolated",1,4.441,4.396,4.487,1,1,1,"Maui Nui",3
1000,"interpolated",2,3.714,3.682,3.747,0.999,0.999,0.999,"Maui Nui",3
10000,"interpolated",2,3.723,3.691,3.756,1,1,1,"Maui Nui",3
1000,"interpolated",0,13.071,12.854,13.289,0.999,0.998,0.999,"O'ahu Island",3
10000,"interpolated",0,14.98,14.777,15.182,1,1,1,"O'ahu Island",3
1000,"interpolated",1,5.533,5.465,5.6,0.999,0.998,0.999,"O'ahu Island",3
10000,"interpolated",1,5.569,5.501,5.637,1,1,1,"O'ahu Island",3
1000,"interpolated",2,4.37,4.318,4.422,0.999,0.998,0.999,"O'ahu Island",3
10000,"interpolated",2,4.384,4.331,4.436,1,1,1,"O'ahu Island",3
1000,"interpolated",0,9.999,9.998,10.001,1,1,1,"Hawai'i Island",4
10000,"interpolated",0,10,10,10,1,1,1,"Hawai'i Island",4
1000,"interpolated",1,3.678,3.595,3.762,1,1,1,"Hawai'i Island",4
10000,"interpolated",1,3.693,3.609,3.777,1,1,1,"Hawai'i Island",4
1000,"interpolated",2,2.384,2.334,2.435,1,1,1,"Hawai'i Island",4
10000,"interpolated",2,2.387,2.337,2.438,1,1,1,"Hawai'i Island",4
1000,"interpolated",0,8.749,8.421,9.077,0.998,0.998,0.998,"Kaua'i Island",4
10000,"interpolated",0,12.745,12.426,13.064,1,1,1,"Kaua'i Island",4
1000,"interpolated",1,1.368,1.354,1.382,0.998,0.998,0.998,"Kaua'i Island",4
10000,"interpolated",1,1.375,1.361,1.389,1,1,1,"Kaua'i Island",4
1000,"interpolated",2,1.124,1.12,1.129,0.998,0.998,0.998,"Kaua'i Island",4
10000,"interpolated",2,1.124,1.12,1.129,1,1,1,"Kaua'i Island",4
1000,"interpolated",0,12.34,12.118,12.563,0.998,0.998,0.998,"Maui Nui",4
10000,"interpolated",0,14.885,14.67,15.099,1,1,1,"Maui Nui",4
1000,"interpolated",1,5.297,5.262,5.331,0.998,0.998,0.998,"Maui Nui",4
10000,"interpolated",1,5.331,5.296,5.365,1,1,1,"Maui Nui",4
1000,"interpolated",2,4.476,4.446,4.506,0.998,0.998,0.998,"Maui Nui",4
10000,"interpolated",2,4.49,4.46,4.52,1,1,1,"Maui Nui",4
1000,"interpolated",0,15.261,15.115,15.407,0.998,0.998,0.999,"O'ahu Island",4
10000,"interpolated",0,16,16,16,1,1,1,"O'ahu Island",4
1000,"interpolated",1,5.298,5.244,5.352,0.998,0.998,0.999,"O'ahu Island",4
10000,"interpolated",1,5.336,5.282,5.391,1,1,1,"O'ahu Island",4
1000,"interpolated",2,4.098,4.053,4.143,0.998,0.998,0.999,"O'ahu Island",4
10000,"interpolated",2,4.11,4.065,4.155,1,1,1,"O'ahu Island",4
1000,"interpolated",0,13.416,13.168,13.664,0.999,0.999,1,"Hawai'i Island",5
10000,"interpolated",0,14,13.958,14.042,1,1,1,"Hawai'i Island",5
1000,"interpolated",1,8.191,8.094,8.288,0.999,0.999,1,"Hawai'i Island",5
10000,"interpolated",1,8.241,8.143,8.338,1,1,1,"Hawai'i Island",5
1000,"interpolated",2,6.304,6.17,6.438,0.999,0.999,1,"Hawai'i Island",5
10000,"interpolated",2,6.334,6.199,6.469,1,1,1,"Hawai'i Island",5
1000,"interpolated",0,11.951,11.652,12.249,0.998,0.998,0.998,"Kaua'i Island",5
10000,"interpolated",0,14.943,14.831,15.055,1,1,1,"Kaua'i Island",5
1000,"interpolated",1,2.924,2.88,2.968,0.998,0.998,0.998,"Kaua'i Island",5
10000,"interpolated",1,2.943,2.899,2.987,1,1,1,"Kaua'i Island",5
1000,"interpolated",2,1.904,1.883,1.925,0.998,0.998,0.998,"Kaua'i Island",5
10000,"interpolated",2,1.905,1.885,1.926,1,1,1,"Kaua'i Island",5
1000,"interpolated",0,13.198,12.923,13.473,0.999,0.999,0.999,"Maui Nui",5
10000,"interpolated",0,14,13.999,14.001,1,1,1,"Maui Nui",5
1000,"interpolated",1,3.419,3.348,3.49,0.999,0.999,0.999,"Maui Nui",5
10000,"interpolated",1,3.44,3.369,3.512,1,1,1,"Maui Nui",5
1000,"interpolated",2,2.52,2.484,2.555,0.999,0.999,0.999,"Maui Nui",5
10000,"interpolated",2,2.523,2.488,2.558,1,1,1,"Maui Nui",5
1000,"interpolated",0,16.368,16.15,16.587,0.998,0.998,0.998,"O'ahu Island",5
10000,"interpolated",0,17.972,17.871,18.073,1,1,1,"O'ahu Island",5
1000,"interpolated",1,6.685,6.603,6.768,0.998,0.998,0.998,"O'ahu Island",5
10000,"interpolated",1,6.739,6.656,6.822,1,1,1,"O'ahu Island",5
1000,"interpolated",2,4.687,4.626,4.748,0.998,0.998,0.998,"O'ahu Island",5
10000,"interpolated",2,4.703,4.641,4.764,1,1,1,"O'ahu Island",5
1000,"interpolated",0,10.561,10.399,10.723,0.999,0.999,0.999,"Hawai'i Island",6
10000,"interpolated",0,11,11,11,1,1,1,"Hawai'i Island",6
