"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","iteration"
1,"interpolated",0,1,1,1,0.237,0.234,0.24,"Hawai'i Island",1
100,"interpolated",0,9.216,9.11,9.323,0.985,0.984,0.986,"Hawai'i Island",1
200,"interpolated",0,10.291,10.122,10.461,0.992,0.991,0.992,"Hawai'i Island",1
300,"interpolated",0,10.999,10.791,11.207,0.994,0.994,0.994,"Hawai'i Island",1
400,"interpolated",0,11.538,11.309,11.767,0.995,0.995,0.995,"Hawai'i Island",1
500,"interpolated",0,11.963,11.725,12.202,0.996,0.996,0.996,"Hawai'i Island",1
600,"interpolated",0,12.306,12.067,12.545,0.997,0.997,0.997,"Hawai'i Island",1
700,"interpolated",0,12.585,12.352,12.818,0.997,0.997,0.998,"Hawai'i Island",1
800,"interpolated",0,12.815,12.591,13.038,0.998,0.998,0.998,"Hawai'i Island",1
900,"interpolated",0,13.004,12.792,13.217,0.998,0.998,0.998,"Hawai'i Island",1
1000,"interpolated",0,13.162,12.963,13.362,0.999,0.998,0.999,"Hawai'i Island",1
1,"interpolated",0,1,1,1,0.189,0.185,0.193,"Kaua'i Island",1
100,"interpolated",0,16.61,16.269,16.952,0.922,0.919,0.924,"Kaua'i Island",1
200,"interpolated",0,22.515,22.005,23.025,0.955,0.953,0.957,"Kaua'i Island",1
300,"interpolated",0,26.196,25.576,26.816,0.97,0.969,0.971,"Kaua'i Island",1
400,"interpolated",0,28.781,28.089,29.473,0.978,0.977,0.979,"Kaua'i Island",1
500,"interpolated",0,30.723,29.986,31.461,0.983,0.982,0.984,"Kaua'i Island",1
600,"interpolated",0,32.248,31.482,33.015,0.986,0.986,0.987,"Kaua'i Island",1
700,"interpolated",0,33.484,32.702,34.266,0.989,0.988,0.989,"Kaua'i Island",1
800,"interpolated",0,34.509,33.72,35.298,0.991,0.99,0.991,"Kaua'i Island",1
900,"interpolated",0,35.374,34.586,36.162,0.992,0.992,0.992,"Kaua'i Island",1
1000,"interpolated",0,36.114,35.331,36.897,0.993,0.993,0.993,"Kaua'i Island",1
1,"interpolated",0,1,1,1,0.261,0.255,0.267,"Maui Nui",1
100,"interpolated",0,10.892,10.688,11.095,0.976,0.974,0.977,"Maui Nui",1
200,"interpolated",0,12.704,12.386,13.022,0.986,0.984,0.987,"Maui Nui",1
