"geo_entity2","Scen_Order","Scenario","order","qD","qD.LCL","qD.UCL","geo_order"
"Hawai'i","Het+Age_0","Het+Age","0",10.11317,9.62974375,10.634637,"Hawai'i_0"
"Maui Nui","Het+Age_0","Het+Age","0",13.07591,12.50141175,13.6355375,"Maui Nui_0"
"O'ahu","Het+Age_0","Het+Age","0",15.02667,14.4989455,15.499016,"O'ahu_0"
"Kaua'i","Het+Age_0","Het+Age","0",26.9568,25.876838,28.101505,"Kaua'i_0"
"Hawai'i","Age_0","Age","0",10.70756,10.1873635,11.2159735,"Hawai'i_0"
"Maui Nui","Age_0","Age","0",13.02483,12.3493425,13.806562,"Maui Nui_0"
"O'ahu","Age_0","Age","0",15.29993,14.6431485,15.95195825,"O'ahu_0"
"Kaua'i","Age_0","Age","0",26.74474,25.61223025,27.8835135,"Kaua'i_0"
"Hawai'i","Het+Age_1","Het+Age","1",3.62893,3.368582,3.88673025,"Hawai'i_1"
"Maui Nui","Het+Age_1","Het+Age","1",4.6634,4.49137675,4.83673325,"Maui Nui_1"
"O'ahu","Het+Age_1","Het+Age","1",4.05277,3.8103815,4.289644,"O'ahu_1"
"Kaua'i","Het+Age_1","Het+Age","1",6.7895,6.52866875,7.07857775,"Kaua'i_1"
"Hawai'i","Age_1","Age","1",4.043,3.7900565,4.31138925,"Hawai'i_1"
"Maui Nui","Age_1","Age","1",4.50661,4.3180475,4.70752175,"Maui Nui_1"
"O'ahu","Age_1","Age","1",3.86455,3.61646575,4.12313025,"O'ahu_1"
"Kaua'i","Age_1","Age","1",6.44868,6.234692,6.6841515,"Kaua'i_1"
"Hawai'i","Het+Age_2","Het+Age","2",2.59259,2.41221175,2.773205,"Hawai'i_2"
"Maui Nui","Het+Age_2","Het+Age","2",3.28649,3.15420925,3.40902425,"Maui Nui_2"
"O'ahu","Het+Age_2","Het+Age","2",2.98591,2.76196375,3.2214715,"O'ahu_2"
"Kaua'i","Het+Age_2","Het+Age","2",4.345,4.20283075,4.501962,"Kaua'i_2"
"Hawai'i","Age_2","Age","2",2.93808,2.73574925,3.137017,"Hawai'i_2"
"Maui Nui","Age_2","Age","2",3.14158,3.01259975,3.277337,"Maui Nui_2"
"O'ahu","Age_2","Age","2",2.79388,2.57403625,3.01833175,"O'ahu_2"
"Kaua'i","Age_2","Age","2",4.10295,3.96691575,4.232679,"Kaua'i_2"
