"m","method","order","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL","geo_entity2","qD_pred"
"69",1107604,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",54.998108680799
"70",1148626,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",55.4422251845197
"71",1189649,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",56.1409598037974
"72",1230671,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",56.738458915177
"73",1271693,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",56.9439256184469
"74",1312716,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",56.6722755367732
"75",1353738,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",56.079596896741
"76",1394760,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",55.4794535199787
"77",1435783,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",55.1856529453758
"78",1476805,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",55.3631203173973
"79",1517827,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",55.9647283236788
"80",1558850,"extrapolated",0,56,56,56,1,1,1,"Hawai'i Island",56.7912527323402
"81",1,"interpolated",0,1,1,1,0.195,0.192,0.198,"Kaua'i Island",13.2530142910439
"82",1105,"interpolated",0,35.882,35.117,36.648,0.993,0.992,0.993,"Kaua'i Island",24.2798697673106
"83",2210,"interpolated",0,40.563,39.78,41.346,0.998,0.997,0.998,"Kaua'i Island",34.132981147419
"84",3315,"interpolated",0,42.391,41.719,43.062,0.999,0.999,0.999,"Kaua'i Island",41.5884265080795
"85",4420,"interpolated",0,43.235,42.707,43.764,0.999,0.999,1,"Kaua'i Island",45.9152576649477
"86",5525,"interpolated",0,43.645,43.251,44.039,1,1,1,"Kaua'i Island",47.2034965161931
"87",6630,"interpolated",0,43.843,43.559,44.126,1,1,1,"Kaua'i Island",46.3060702150639
"88",7735,"interpolated",0,43.934,43.737,44.132,1,1,1,"Kaua'i Island",44.4767948375003
"89",8840,"interpolated",0,43.975,43.84,44.11,1,1,1,"Kaua'i Island",42.8909601803192
"90",9945,"interpolated",0,43.991,43.902,44.081,1,1,1,"Kaua'i Island",42.25593785266
"91",11050,"interpolated",0,43.997,43.939,44.055,1,1,1,"Kaua'i Island",42.6580267771025
"92",12155,"interpolated",0,43.999,43.963,44.035,1,1,1,"Kaua'i Island",43.6774395730624
"93",13260,"interpolated",0,44,43.979,44.021,1,1,1,"Kaua'i Island",44.6873529544786
"94",14365,"interpolated",0,44,43.988,44.012,1,1,1,"Kaua'i Island",45.1848406183186
"95",15470,"interpolated",0,44,43.994,44.006,1,1,1,"Kaua'i Island",45.0066720843815
"96",16575,"interpolated",0,44,43.998,44.002,1,1,1,"Kaua'i Island",44.3524988057364
"97",17680,"interpolated",0,44,43.999,44.001,1,1,1,"Kaua'i Island",43.6347916974948
"98",18785,"interpolated",0,44,44,44,1,1,1,"Kaua'i Island",43.2526176129204
"99",19890,"interpolated",0,44,44,44,1,1,1,"Kaua'i Island",43.4113224667459
"100",19891,"observed",0,44,44,44,1,1,1,"Kaua'i Island",43.4117149897391
"101",19892,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",43.4121079479869
"102",20938,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",43.9899018631991
"103",21985,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",44.6234608421234
"104",23032,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",44.95691331233
"105",24079,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",44.8250636335632
"106",25126,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",44.3087414889756
"107",26173,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",43.6756228811125
"108",27219,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",43.2383506634519
"109",28266,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",43.1984863186594
"110",29313,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",43.5559760821137
"111",30360,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",44.1163477636931
"112",31407,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",44.5943390842937
"113",32454,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",44.757234990709
"114",33500,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",44.5378472488032
"115",34547,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",44.061391100388
"116",35594,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",43.5797363669918
"117",36641,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",43.3446679798539
"118",37688,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",43.4883351512675
"119",38735,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",43.9727033307688
"120",39782,"extrapolated",0,44,44,44,1,1,1,"Kaua'i Island",44.6376853891815
"121",1,"interpolated",0,1,1,1,0.304,0.298,0.31,"O'ahu Island",8.77757855656228
"122",1343,"interpolated",0,22.811,22.199,23.423,0.997,0.997,0.997,"O'ahu Island",15.3641781060435
"123",2685,"interpolated",0,25.194,24.549,25.839,0.999,0.999,0.999,"O'ahu Island",21.2400371457587
"124",4027,"interpolated",0,26.131,25.575,26.688,1,0.999,1,"O'ahu Island",25.6777122479245
"125",5369,"interpolated",0,26.581,26.137,27.025,1,1,1,"O'ahu Island",28.2400234002193
"126",6711,"interpolated",0,26.804,26.461,27.147,1,1,1,"O'ahu Island",28.9826684305857
"127",8053,"interpolated",0,26.913,26.651,27.175,1,1,1,"O'ahu Island",28.4189936747777
"128",9395,"interpolated",0,26.964,26.764,27.163,1,1,1,"O'ahu Island",27.3023836831819
"129",10737,"interpolated",0,26.986,26.834,27.138,1,1,1,"O'ahu Island",26.3383150808411
"130",12080,"interpolated",0,26.995,26.879,27.111,1,1,1,"O'ahu Island",25.9505749435351
"131",13422,"interpolated",0,26.998,26.911,27.086,1,1,1,"O'ahu Island",26.1901786202303
"132",14764,"interpolated",0,27,26.935,27.064,1,1,1,"O'ahu Island",26.8029620124776
"133",16106,"interpolated",0,27,26.954,27.046,1,1,1,"O'ahu Island",27.4111137439659
"134",17448,"interpolated",0,27,26.969,27.031,1,1,1,"O'ahu Island",27.7115598017697
"135",18790,"interpolated",0,27,26.98,27.02,1,1,1,"O'ahu Island",27.6056418414508
"136",20132,"interpolated",0,27,26.989,27.011,1,1,1,"O'ahu Island",27.2130396409462
"137",21474,"interpolated",0,27,26.995,27.005,1,1,1,"O'ahu Island",26.7815829973767
"138",22816,"interpolated",0,27,26.999,27.001,1,1,1,"O'ahu Island",26.5512752180385
"139",24159,"interpolated",0,27,27,27,1,1,1,"O'ahu Island",26.6460503892446
"140",24160,"observed",0,27,27,27,1,1,1,"O'ahu Island",26.6462442246301
"141",24161,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",26.6464382374822
"142",25432,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",26.9934450249413
"143",26704,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",27.3741952682741
"144",27975,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",27.5746536202242
"145",29247,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",27.4957649751149
"146",30518,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",27.1860248226309
"147",31790,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",26.8056376365001
"148",33061,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",26.542678483793
"149",34333,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",26.5184928322462
"150",35604,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",26.732859773848
"151",36876,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",27.0694025328375
"152",38147,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",27.35644472891
"153",39419,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",27.4546264575823
"154",40690,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",27.3231539953598
"155",41962,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",27.0372165602421
"156",43233,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",26.7482619695825
"157",44505,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",26.6069808427959
"158",45776,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",26.6928953240795
"159",47048,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",26.9833778894233
"160",48320,"extrapolated",0,27,27,27,1,1,1,"O'ahu Island",27.3823352645703
