"geo_entity2","mean_MAP","r_MAP","mean_MAT","r_MAT","mean_PET","r_PET","r_Elev","m_PlotArea","sd_PlotArea"
"Hawai'i Island",3325.98409274631,2994.68418945313,18.8427563582526,9.36297766685487,1236.929572347,313.42632080078,1825.15318721771,7180.27464147389,337.858125911787
"Kaua'i Island",1986.27222113715,1537.88416503906,18.7717231135898,7.24175046920776,1261.89788113064,197.596588134763,1045.13183059692,7283.865552,420.749160593284
"Maui Nui",5096.81410725911,2821.76287353516,17.322655843099,6.6055403995514,1182.47981228299,155.560637207031,1184.28819976807,7651.57679,209.394645500741
"O'ahu Island",2025.62620496962,1935.05338134765,21.2012112787035,5.00278306961064,1310.89832750108,76.4160449218697,703.1746900177,7367.621212,281.29983582838
