"geo_entity2","beta_S","l.QD","h.QD"
"Hawai'i",5.46030385487528,5.21932786281179,5.71643572845805
"Maui Nui",3.8688169449598,3.67165528499279,4.08264780328798
"O'ahu",7.58698299319728,7.27771113945578,7.90047525510204
"Kaua'i",11.4222806956116,11.0058463731326,11.8119284868114
