"PlotID","Long_Dec","Lat_Dec","HFP","HII","SubstrateAge_range","SubstrateAge_code","MAT","MAP","PET","AridInd","Elev_m"
1,-157.880206,21.406344,59,38,2400000,3e+06,19.9086894989014,2973.03491210938,2961.36303710938,1.00394138606234,395.179779052734
2,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
3,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
4,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
5,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
6,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
7,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
8,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
9,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
10,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
11,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
12,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
13,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
14,-154.910211,19.443586,34,22,575,475,22.2522296905518,2904.5458984375,2672.541015625,1.08681059765073,129.657791137695
15,-156.228992,20.779832,18.8718223571777,12.5812149047852,545000,460000,11.1943397521973,2360.45703125,2529.6669921875,0.933109788181575,1844.94592285156
