"PlotIDn","Long_Dec","Lat_Dec","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET","SubstrateAge_range","SubstrateAge_code"
26,-156.104872469679,20.7056577985689,15.101393699646,5179.6142578125,30.1449146270752,131.991790771484,1409.28540039062,18,12,1143.849609375,21500,20000
27,-156.123122471808,20.7131677139381,13.3840446472168,5025.56005859375,30.66330909729,121.919822692871,1856.66162109375,23.5614547729492,15.4759092330933,1093.80102539062,21500,20000
28,-156.1110556532,20.6932679431706,14.8085508346558,5118.361328125,30.4222030639648,130.552505493164,1555.69702148438,18,12,1129.60656738281,545000,460000
29,-156.09242991326,20.683484863738,17.9929065704346,4463.966796875,30.3314247131348,135.3486328125,943.45068359375,24.3510417938232,15.6291666030884,1198.62194824219,545000,460000
30,-156.092158019284,20.6811422302236,17.9929065704346,4463.966796875,30.3314247131348,135.3486328125,943.45068359375,24.3510417938232,15.6291666030884,1198.62194824219,545000,460000
31,-156.106695471761,20.7137317487841,15.3089647293091,5214.3828125,29.9498615264893,133.138275146484,1319.6806640625,18,12,1151.33508300781,21500,20000
32,-156.099386417312,20.7141322374686,16.2944717407227,5082.20654296875,29.7493267059326,135.658309936523,1137.84997558594,18,12,1170.78845214844,21500,20000
33,-156.099415260639,20.7131216759929,16.2944717407227,5082.20654296875,29.7493267059326,135.658309936523,1137.84997558594,18,12,1170.78845214844,21500,20000
34,-156.081391960053,20.6888408184836,18.7226409912109,4204.1162109375,30.4161891937256,133.508895874023,770.795837402344,21.90207862854,14.2297592163086,1217.57739257812,21500,20000
35,-156.084016110217,20.690067833358,17.6254615783691,4540.97607421875,30.3139305114746,136.228179931641,857.963195800781,21.90207862854,14.2297592163086,1196.24755859375,21500,20000
36,-156.11202893071,20.6945571223736,14.8085508346558,5118.361328125,30.4222030639648,130.552505493164,1555.69702148438,18,12,1129.60656738281,545000,460000
37,-156.082058748661,20.6890868246579,18.7226409912109,4204.1162109375,30.4161891937256,133.508895874023,770.795837402344,21.90207862854,14.2297592163086,1217.57739257812,21500,20000
38,-156.09255117472,20.6851749961907,17.6254615783691,4540.97607421875,30.3139305114746,136.228179931641,857.963195800781,21.90207862854,14.2297592163086,1196.24755859375,545000,460000
39,-156.100350007875,20.7169378931642,15.3089647293091,5214.3828125,29.9498615264893,133.138275146484,1319.6806640625,18,12,1151.33508300781,21500,20000
40,-156.100467405907,20.7158114701556,15.3089647293091,5214.3828125,29.9498615264893,133.138275146484,1319.6806640625,18,12,1151.33508300781,21500,20000
