"Long_Dec","Lat_Dec","PlotIDn","CellID","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET"
-155.86,19.47,423,32609988,18.3835926055908,940.124755859375,19.8837280273438,133.226119995117,991.107971191406,24.7208003997803,16.1472015380859,1240.689453125
-155.22,19.48,424,32596461,17.742015838623,4612.32080078125,22.7940006256104,127.539863586426,1069.53247070312,32.0762634277344,20.922664642334,1206.69421386719
-155.15,19.44,425,32664413,19.1098651885986,4205.31201171875,22.4709205627441,123.634475708008,818.836242675781,29.3476276397705,19.0107192993164,1252.8623046875
-155.95,19.7,426,32229485,19.106029510498,869.235046386719,24.7487087249756,136.063354492188,835.100952148438,48.6488380432129,31.1401691436768,1259.71862792969
-155.22,19.61,427,32379036,18.6799144744873,4446.73779296875,23.1696319580078,127.114898681641,895.744445800781,10,7,1231.25146484375
-155.68,19.11,428,33207925,17.8793678283691,2094.91455078125,20.1973819732666,124.016311645508,1019.82385253906,15,10,1238.10986328125
-155.85,19.42,429,32691523,19.5673484802246,869.245849609375,19.2242641448975,132.56135559082,789.150939941406,20.5610218048096,13.3740148544312,1281.05969238281
-155.05,19.54,430,32501354,22.4878559112549,3860.189453125,22.259916305542,119.073143005371,300.040771484375,37,24,1344.74841308594
-155.26,19.58,431,32433388,16.8177433013916,4768.08642578125,23.166446685791,129.784133911133,1246.40112304688,17,11,1169.79797363281
-155.23,19.41,432,32705173,17.3976879119873,4414.38720703125,22.6341648101807,127.045341491699,1132.35205078125,21.3755264282227,13.9250659942627,1195.37438964844
-155.27,19.7,433,32229551,17.4861354827881,4431.6181640625,23.7260665893555,129.771362304688,1101.95385742188,17,11,1192.89086914062
-154.96,19.44,434,32664431,21.6941184997559,3896.82055664062,22.1861343383789,115.621994018555,393.460083007812,34,22,1329.96826171875
-155.35,19.98,435,31781104,17.8414535522461,3693.27172851562,24.8382053375244,128.833969116211,977.368713378906,15,10,1205.36437988281
-155.14,19.76,436,32134440,21.7531127929688,3990.13891601562,23.4871463775635,122.183685302734,399.618438720703,30.9260921478271,20.1945686340332,1310.82165527344
-157.79,21.37,437,29497904,22.1005058288574,1700.86804199219,40.6834907531738,135.782531738281,220.482177734375,65,42,1320.62939453125
-158.03,21.6,438,29117387,21.9429321289062,1485.08947753906,40.2499961853027,137.362487792969,275.955413818359,43,28,1345.27172851562
-156.3,20.89,439,30286214,21.6348724365234,4839.0029296875,27.6800708770752,127.147583007812,354.821502685547,59,38,1278.62341308594
-158.01,21.43,440,29402760,23.4001560211182,814.610412597656,43.6076889038086,136.481292724609,142.722457885742,81.0023040771484,52.0882415771484,1377.38195800781
-155.07,19.72,441,32202392,24.5019035339355,2553.80541992188,22.6810054779053,119.214500427246,6.15756607055664,65,42,1383.37768554688
-156.88,20.82,442,30394871,18.4976425170898,4967.76025390625,40.9933395385742,141.203491210938,881.537353515625,34.9488906860352,22.5930576324463,1210.6748046875
-155.87,19.11,443,33207906,23.4442691802979,706.589233398438,17.8163795471191,124.320663452148,201.107955932617,17,11,1391.18713378906
-155.2,19.95,444,31821885,23.0177040100098,3496.95190429688,24.3231410980225,121.483535766602,224.541961669922,20.4961280822754,13.6640853881836,1324.38439941406
-155.46,19.27,445,32936165,20.3645610809326,2272.83056640625,23.6381912231445,125.58113861084,629.407897949219,21,14,1297.4580078125
-155.45,20.04,446,31672381,19.7381191253662,3077.59155273438,25.5966739654541,127.976043701172,652.437744140625,26.0723743438721,16.8137683868408,1252.162109375
-155.12,19.77,447,32120853,22.8694763183594,3841.41528320312,23.4046249389648,120.98119354248,241.982498168945,50.5066108703613,32.587085723877,1338.79064941406
-155.38,20.02,448,31713155,20.3017234802246,3272.91650390625,25.0026626586914,126.477409362793,580.130798339844,15,10,1265.15161132812
-155.46,19.99,449,31753915,17.1200065612793,3189.81665039062,24.7156581878662,131.43342590332,1111.09375,15,10,1185.7587890625
-155.83,19.64,450,32338209,14.9015951156616,1791.09411621094,22.3321380615234,126.373550415039,1683.58557128906,12,8,1113.19177246094
-154.96,19.4,451,32732377,23.2749195098877,3596.47509765625,22.179069519043,114.30428314209,163.241668701172,34,22,1377.37670898438
-156.31,20.69,452,30612351,12.3796482086182,2071.65576171875,40.2049598693848,120.712966918945,2298.20288085938,28,18,1037.17797851562
-155.83,19.8,453,32066428,19.4488410949707,1074.73559570312,25.2431888580322,135.558670043945,774.282897949219,25.2763423919678,16.1842288970947,1260.41149902344
-159.7,22.02,454,28437774,20.6520252227783,1423.05004882812,32.2833480834961,142.907440185547,398.95654296875,34.0770111083984,22.0462074279785,1389.74523925781
-155.39,19.35,455,32813870,18.9959373474121,1969.95983886719,23.3343029022217,126.989349365234,860.031677246094,20.3878326416016,13.5918893814087,1253.42565917969
-158.01,21.55,456,29198924,21.0317134857178,1171.28857421875,42.2311630249023,137.349853515625,385.141967773438,58.4642715454102,37.6428489685059,1323.29565429688
-158.09,21.39,457,29470697,19.8810138702393,2841.0078125,39.7431945800781,138.858917236328,580.524780273438,73.2279968261719,47.2995567321777,1300.59729003906
-155.43,19.33,458,32841044,18.651819229126,2965.39672851562,22.4599685668945,127.550750732422,934.004211425781,18.4163017272949,12.2775344848633,1241.68359375
-156.64,20.91,459,30245414,19.8779411315918,2721.60034179688,39.3329582214355,132.028625488281,625.227111816406,53,34,1247.48840332031
-159.38,22.06,460,28369859,23.4752674102783,1644.92443847656,25.0198783874512,141.992248535156,99.3939514160156,59.9158210754395,38.6109733581543,1348.78820800781
