"Long_Dec","Lat_Dec","PlotIDn","CellID","MAT","MAP","PrecipSeasonality","TempSeasonality","Elev_m","HFP","HII","PET"
-154.873548,19.52276,280,32528549,23.6717414855957,3451.88232421875,21.6951694488525,112.69376373291,90.2083435058594,28,18,1387.48303222656
-154.873548,19.52276,281,32528549,23.6717414855957,3451.88232421875,21.6951694488525,112.69376373291,90.2083435058594,28,18,1387.48303222656
-159.479912,22.186576,282,28166013,22.5291690826416,1842.71166992188,24.2578372955322,143.156600952148,214.923385620117,28,18,1360.60864257812
-154.99774,19.54567,283,32487770,23.3840103149414,3554.2294921875,21.9240169525146,117.00666809082,159.506866455078,50.0786895751953,32.3857917785645,1375.4375
-155.983333333333,19.7333333333333,284,32175126,21.3088665008545,794.871215820312,25.2795715332031,137.306915283203,509.67236328125,51.9371185302734,33.2914123535156,1318.32958984375
-158.100992,21.413189,285,29429929,19.3164672851562,2629.85913085938,40.088550567627,142.395690917969,778.003662109375,53,34,1275.3662109375
-155.194924,19.905336,286,31903420,20.3345241546631,3957.74462890625,24.2627105712891,123.633193969727,591.85009765625,15,10,1270.98010253906
-159.626792,22.14813,287,28220356,16.2868690490723,2682.40087890625,26.700475692749,154.212295532227,1158.40759277344,28,18,1170.26049804688
-157.929437,21.533393,288,29226109,19.2891139984131,2613.5517578125,40.3107414245605,140.964782714844,616.805236816406,47.5071105957031,30.7042675018311,1273.26538085938
-155.257481,19.694877,289,32243141,17.7421703338623,4438.78173828125,23.6561546325684,129.349258422852,1060.38854980469,17,11,1198.93688964844
-155.329258,19.677957,290,32270312,15.5448656082153,4557.22607421875,23.6278038024902,128.266799926758,1520.29858398438,17,11,1119.42065429688
-155.465774,19.687161,291,32256710,13.9466342926025,3388.07177734375,22.5099983215332,121.212059020996,2005.82885742188,9.77722930908203,6.51815319061279,1052.60217285156
-155.237235,19.414151,292,32705172,17.23583984375,4310.7216796875,22.6628036499023,127.358726501465,1190.5673828125,21.0221538543701,13.6326971054077,1188.4365234375
-155.237542,19.413278,293,32705172,17.23583984375,4310.7216796875,22.6628036499023,127.358726501465,1190.5673828125,21.0221538543701,13.6326971054077,1188.4365234375
-156.546013,20.947536,294,30191067,21.4105091094971,7472.78369140625,32.5569610595703,129.247268676758,382.736206054688,37.8901672363281,24.6160278320312,1296.84826660156
-159.645938888889,22.061,295,28369833,19.8010845184326,1549.62194824219,29.1388034820557,145.80924987793,437.746185302734,31.3102779388428,20.2068519592285,1347.4228515625
-158.016838,21.623398,296,29076621,22.4281978607178,1644.24536132812,39.3461074829102,137.469940185547,222.606887817383,43,28,1355.43322753906
-158.18,21.5,297,29280442,20.3671188354492,1945.21923828125,40.7844924926758,138.585632324219,423.180633544922,52.8074340820312,33.8844604492188,1327.58154296875
-157.72,21.29,298,29633802,24.5017318725586,847.330932617188,43.9128913879395,135.012924194336,12.1471071243286,73.0368423461914,47.0230293273926,1371.48950195312
-156.64,20.97,299,30150290,22.3627090454102,3412.1396484375,37.4410438537598,129.331802368164,281.58154296875,53.9072723388672,34.6939468383789,1332.35107421875
-157.85,21.4,300,29443542,20.7614116668701,1739.11462402344,41.6789474487305,136.397491455078,391.21240234375,60.5128631591797,39.0085754394531,1308.1767578125
