"PlotID","Long_Dec","Lat_Dec","newMAT","newMAP","newPET","AridInd"
304,-159.72,22.07,20.662353515625,1405.33447265625,1502.82824707031,0.776578759765625
454,-159.7,22.02,22.0481033325195,1427.58337402344,1640.15808105469,0.8946318359375
327,-159.69,22.1,19.1008575439453,1741.25170898438,1351.87683105469,0.685335595703125
195,-159.689736111111,22.1414666666667,19.8759216308594,1922.71398925781,1436.63781738281,0.587823974609375
230,-159.683902777778,22.1267555555556,18.4452056884766,1904.88012695312,1292.04638671875,0.74322158203125
337,-159.68,22.06,19.241047668457,2021.39892578125,1356.43298339844,1.00660283203125
196,-159.667991666667,22.1477722222222,19.2353317260742,2402.31909179688,1404.48559570312,0.66031015625
194,-159.660227,22.130645,17.5959381103516,2476.16235351562,1216.93627929688,0.8794953125
308,-159.65,22.13,17.5858001708984,2758.74829101562,1216.29125976562,0.893069921875
295,-159.645938888889,22.061,22.062174987793,1633.67919921875,1644.52966308594,0.7108275390625
341,-159.64,22.17,22.747834777832,2081.52563476562,1799.25744628906,0.4532271484375
287,-159.626792,22.14813,18.5441497802734,2733.23315429688,1321.49572753906,1.33975458984375
409,-159.62,22.14,17.4362365722656,3025.56689453125,1206.31689453125,1.53796328125
223,-159.574239,22.217716,23.8667221069336,2849.26123046875,1824.94287109375,0.450840380859375
462,-159.54,22.21,24.2323699951172,2667.9140625,1880.85510253906,0.513702490234375
480,-159.48,22.03,22.2114685058594,2667.8037109375,1625.91784667969,2.461365234375
282,-159.479912,22.186576,23.0748764038086,2700.88598632812,1755.15270996094,1.2472017578125
339,-159.47,22.15,23.0527725219727,2333.84008789062,1731.62719726562,1.7109978515625
521,-159.43,22.01,22.8520370483398,2464.17895507812,1718.84350585938,1.27364423828125
218,-159.412501,22.091171,22.3981384277344,2466.02880859375,1659.88134765625,1.92853671875
460,-159.38,22.06,23.6868530273438,2211.75073242188,1827.74670410156,1.1392744140625
523,-159.33,22.14,23.3032028198242,2459.26782226562,1792.06042480469,1.0629611328125
464,-158.23,21.5,24.6,797.607727050781,1994.20910644531,0.4184056640625
173,-158.223280555556,21.5472722222222,22.8071823120117,1023.61657714844,1838.08984375,0.45530595703125
143,-158.19395,21.536533,21.8833938598633,1172.78759765625,1751.86352539062,0.697373291015625
297,-158.18,21.5,22.3164352416992,1002.80871582031,1770.26477050781,0.8604775390625
320,-158.18,21.54,21.0722900390625,1424.73767089844,1675.41735839844,1.00258271484375
524,-158.14,21.54,22.7481582641602,1310.75891113281,1825.45141601562,0.753994140625
520,-158.12,21.36,23.4404434204102,734.214050292969,1936.17468261719,0.401969091796875
342,-158.11,21.45,23.103337097168,902.714172363281,1855.12414550781,0.7352177734375
285,-158.100992,21.413189,20.7539916992188,1084.43518066406,1657.43017578125,1.04312421875
141,-158.096661111111,21.4177555555556,20.3684326171875,1229.08654785156,1627.61364746094,1.09686474609375
457,-158.09,21.39,21.5838439941406,1138.18615722656,1738.53356933594,0.88977802734375
338,-158.06,21.56,23.2890365600586,952.5927734375,1892.06921386719,0.56571640625
438,-158.03,21.6,22.7086334228516,1196.58410644531,1838.62756347656,0.6669955078125
296,-158.016838,21.623398,23.0055419921875,1212.02575683594,1855.07958984375,0.65158994140625
440,-158.01,21.43,23.8091018676758,908.342651367188,1958.19274902344,0.546595361328125
456,-158.01,21.55,22.2696029663086,1164.26342773438,1806.25354003906,0.66193154296875
376,-158.01,21.68,23.4632690429688,1471.89184570312,1903.09619140625,0.52167607421875
359,-157.99,21.52,22.2212448120117,1223.78894042969,1793.328125,0.678585888671875
319,-157.99,21.64,22.1928207397461,1683.10778808594,1762.88024902344,1.07040546875
522,-157.98,21.47,23.1103530883789,1087.52648925781,1892.58435058594,0.610202099609375
468,-157.96,21.43,23.6899978637695,978.094848632812,1967.42102050781,0.554204443359375
314,-157.95,21.5,21.9203903198242,1526.14025878906,1763.16564941406,0.99520322265625
374,-157.94,21.62,23.4302825927734,1809.09790039062,1896.17919921875,0.869870703125
288,-157.929437,21.533393,20.5825454711914,2157.36474609375,1636.17541503906,1.887364453125
1,-157.880206,21.406344,22.724983215332,1084.16577148438,1849.39709472656,0.960798046875
300,-157.85,21.4,21.5755264282227,1339.50903320312,1726.44445800781,2.3735052734375
461,-157.84,21.48,24.6,1316.16198730469,2048,0.6356494140625
344,-157.83,21.36,22.0538024902344,1015.74572753906,1785.396484375,1.56509423828125
437,-157.79,21.37,23.1991088867188,1130.83764648438,1882.16162109375,2.250245703125
229,-157.779529,21.349632,23.3099563598633,1096.22778320312,1878.01550292969,2.5311412109375
50,-157.743028,21.316545,21.2293060302734,1097.15612792969,1698.05090332031,2.69058671875
180,-156.988458333333,20.8780555555556,21.7426193237305,803.600646972656,1814.3984375,0.64957451171875
178,-156.976552777778,20.8759166666667,21.7536209106445,829.488403320312,1811.259765625,0.720657666015625
179,-156.967322222222,20.8734472222222,21.6493453979492,817.915161132812,1807.47497558594,0.735133203125
176,-156.959069444444,21.1125694444444,20.6291793823242,699.785522460938,1737.41821289062,0.69388896484375
525,-156.93,20.85,21.6578689575195,741.290466308594,1798.20874023438,0.69732158203125
174,-156.929944,21.116536,19.0038269042969,880.958740234375,1601.15466308594,0.8182166015625
175,-156.929944,21.119022,19.0038269042969,880.958740234375,1601.15466308594,0.8182166015625
153,-156.916488637046,21.1584577217569,21.5725646972656,952.967956542969,1846.75854492188,0.81332099609375
151,-156.915264716171,21.1557965495072,21.7914413452148,974.966796875,1923.93017578125,0.92086455078125
